Gaia14adh
#Date,JD,averagemag.
2014-08-02 10:59:41,2456871.958,18.79
2014-08-02 12:46:13,2456872.032,18.39
2014-08-02 16:59:47,2456872.208,null
2014-08-02 18:46:19,2456872.282,18.14
2014-08-02 22:59:51,2456872.458,18.41
2014-08-03 00:46:43,2456872.532,18.68
2014-08-03 06:46:48,2456872.783,18.25
2014-11-05 12:55:36,2456967.039,15.84
2014-11-05 17:09:21,2456967.215,15.86
2014-11-19 11:15:28,2456980.969,18.78
2014-11-19 13:02:10,2456981.043,18.80
2014-12-23 18:24:07,2457015.267,15.74
2014-12-23 22:37:25,2457015.443,15.70
2015-05-02 04:59:49,2457144.708,18.84
2015-05-02 06:46:39,2457144.782,null
2015-05-18 18:54:14,2457161.288,18.51
2015-05-18 23:08:01,2457161.464,18.43

