Gaia15abt
#Date,JD,averagemag.
2014-08-14 05:26:19,2456883.727,null
2014-08-14 11:26:28,2456883.977,19.41
2014-08-14 13:13:28,2456884.051,19.45
2014-08-14 17:27:00,2456884.227,19.41
2014-08-14 19:13:25,2456884.301,19.42
2014-08-15 01:13:36,2456884.551,19.32
2014-12-23 00:04:27,2457014.503,null
2015-01-26 03:44:51,2457048.656,18.66
2015-01-26 05:31:18,2457048.730,18.71
2015-02-08 05:38:03,2457061.735,18.51
2015-02-08 09:51:46,2457061.911,18.48
2015-05-12 17:21:19,2457155.223,17.46
2015-05-12 19:07:44,2457155.297,17.46
2015-05-12 23:21:19,2457155.473,17.40
2015-05-13 01:08:01,2457155.547,17.49
2015-05-13 05:21:37,2457155.723,17.27
2015-05-13 07:08:18,2457155.797,17.47
2015-05-13 11:21:55,2457155.974,17.20
2015-05-13 17:21:58,2457156.224,17.24
2015-05-13 19:08:33,2457156.298,17.36
2015-05-14 01:08:51,2457156.548,17.32
2015-05-15 13:10:17,2457158.049,17.69
2015-05-15 19:10:32,2457158.299,17.64
2015-05-15 23:24:09,2457158.475,17.55
2015-05-16 01:10:42,2457158.549,17.69
2015-05-16 05:24:22,2457158.725,17.51
2015-05-16 07:11:14,2457158.799,17.75
2015-05-16 11:24:51,2457158.976,17.49
2015-05-16 13:11:18,2457159.050,17.65
2015-05-16 17:24:34,2457159.225,17.53
2015-05-16 19:11:35,2457159.300,17.67
2015-05-16 23:25:14,2457159.476,17.73

