Gaia15aea
#Date,JD,averagemag.
2015-03-14 06:49:56,2457095.785,untrusted
2015-03-14 08:36:30,2457095.859,18.98
2015-03-14 12:50:09,2457096.035,18.87
2015-03-14 14:36:42,2457096.109,18.51
2015-03-20 20:41:15,2457102.362,18.69
2015-03-21 00:55:20,2457102.538,null
2015-03-21 02:41:28,2457102.612,18.80
2015-03-21 06:55:07,2457102.788,19.03
2015-04-30 17:58:02,2457143.249,null
2015-04-30 19:44:46,2457143.323,null
2015-06-23 05:35:47,2457196.733,null
2015-06-23 07:22:32,2457196.807,null
2015-06-23 11:35:43,2457196.983,19.23
2015-06-23 13:22:17,2457197.057,19.32
2015-10-29 23:48:01,2457325.492,null
2015-12-02 19:01:23,2457359.293,19.32
2015-12-18 17:20:45,2457375.223,19.15
2015-12-18 19:07:20,2457375.297,19.13
2016-03-21 01:46:11,2457468.574,19.25
2016-03-21 03:32:45,2457468.648,19.19
2016-04-04 15:37:09,2457483.151,18.78
2016-06-22 20:21:07,2457562.348,19.18
2016-06-23 00:34:47,2457562.524,19.17
2016-06-23 02:21:21,2457562.598,19.17
2016-06-23 06:35:00,2457562.774,untrusted
2016-06-23 08:21:34,2457562.848,19.22
2016-06-23 12:35:38,2457563.025,null
2016-06-23 14:21:48,2457563.098,null
2016-06-23 18:35:32,2457563.275,null
2016-06-24 00:36:01,2457563.525,null
2016-06-28 00:39:01,2457567.527,null
2016-06-28 06:39:30,2457567.777,null
2016-06-28 08:25:40,2457567.851,null
2016-06-28 12:39:24,2457568.027,null
2016-06-28 14:26:08,2457568.101,null
2016-06-28 18:39:53,2457568.278,null
2016-06-28 20:26:37,2457568.352,null
2016-06-29 00:39:47,2457568.528,null
2016-06-29 02:26:31,2457568.602,null
2016-06-29 06:40:15,2457568.778,null
2016-06-29 08:27:00,2457568.852,null
2016-09-18 08:57:33,2457649.873,null
2016-09-18 13:10:46,2457650.049,18.84
2016-09-18 14:57:20,2457650.123,18.86
2016-10-04 07:21:37,2457665.807,null
2016-10-04 09:07:46,2457665.880,untrusted
2016-11-08 18:58:21,2457701.291,19.07
2016-12-16 12:12:51,2457739.009,untrusted
2016-12-16 13:59:43,2457739.083,null
2016-12-26 00:20:36,2457748.514,null
2016-12-26 02:06:44,2457748.588,19.15
2016-12-26 06:20:32,2457748.764,null
2017-03-30 10:09:49,2457842.923,null
2017-03-30 11:56:33,2457842.998,null
2017-04-19 10:07:57,2457862.922,19.00
2017-04-19 11:54:31,2457862.996,18.91
2017-05-22 03:37:39,2457895.651,null
2017-05-22 05:24:03,2457895.725,19.32
2017-09-27 21:42:27,2458024.404,18.84
2017-09-27 23:29:02,2458024.478,18.95
2017-10-20 11:33:55,2458046.982,null
2017-11-19 09:30:44,2458076.896,19.06
2018-04-09 13:00:40,2458218.042,null
2018-05-04 06:49:38,2458242.784,18.77
2018-06-02 10:46:46,2458271.949,untrusted
2018-06-02 12:33:20,2458272.023,19.27
2018-10-08 10:53:34,2458399.954,null
2018-10-08 12:40:20,2458400.028,null
2018-11-04 10:47:19,2458426.950,null
2018-11-04 12:33:49,2458427.023,untrusted
2018-11-29 16:39:11,2458452.194,null
2018-11-29 18:25:48,2458452.268,18.99
2019-05-19 11:59:28,2458623.000,18.97
2019-05-19 13:46:16,2458623.074,null
2019-06-13 11:56:02,2458647.997,untrusted
2019-06-13 13:42:39,2458648.071,null
2019-10-24 07:32:56,2458780.815,19.36
2019-11-21 20:49:02,2458809.367,null
2019-11-21 22:35:22,2458809.441,18.81
2019-12-15 03:36:45,2458832.651,19.07
2019-12-15 05:23:50,2458832.725,null
2020-04-15 21:11:55,2458955.383,18.92

