Gaia16afh
#Date,JD,averagemag.
2014-09-28 21:46:20,2456929.407,untrusted
2014-11-02 15:06:56,2456964.130,20.51
2014-11-02 16:53:55,2456964.204,null
2014-12-04 16:31:07,2456996.188,untrusted
2015-01-02 08:35:16,2457024.858,null
2015-01-02 10:21:44,2457024.932,untrusted
2015-02-09 02:10:37,2457062.591,20.80
2015-02-09 03:57:11,2457062.665,20.61
2015-03-10 09:48:10,2457091.908,20.07
2015-04-11 03:30:41,2457123.646,null
2015-04-11 07:43:52,2457123.822,null
2015-05-17 01:06:23,2457159.546,null
2015-05-17 02:52:32,2457159.620,20.57
2015-06-09 08:49:16,2457182.868,null
2015-07-20 01:43:48,2457223.572,20.11
2015-08-08 17:58:02,2457243.249,null
2015-08-08 19:44:46,2457243.323,null
2015-09-17 06:42:05,2457282.779,20.14
2015-10-12 06:32:21,2457307.772,null
2015-11-14 16:13:24,2457341.176,null
2015-11-14 17:59:32,2457341.250,20.61
2015-12-18 11:35:25,2457374.983,20.35
2016-01-15 11:29:10,2457402.979,20.16
2016-02-21 21:18:46,2457440.388,untrusted
2016-02-21 23:05:20,2457440.462,17.21
2016-03-23 09:05:35,2457470.879,20.93
2016-03-23 10:52:09,2457470.953,untrusted
2016-04-22 08:50:45,2457500.869,null
2016-04-22 10:37:30,2457500.943,null
2016-05-29 14:06:18,2457538.088,null
2016-05-29 15:53:03,2457538.162,null
2016-06-20 09:51:03,2457559.910,20.42
2016-07-31 12:57:22,2457601.040,null
2016-07-31 14:43:32,2457601.114,null
2016-08-20 14:43:08,2457621.113,20.49
2016-09-28 05:59:08,2457659.749,null
2016-10-24 19:31:49,2457686.314,20.28
2016-11-25 23:19:37,2457718.472,20.04
2016-12-31 04:54:30,2457753.705,20.32
2016-12-31 06:41:04,2457753.779,19.98
2017-01-27 22:49:58,2457781.451,19.92
2017-01-28 00:36:32,2457781.525,20.01
2017-03-05 11:49:42,2457817.993,null
2017-03-05 13:36:27,2457818.067,null
2017-04-06 05:31:17,2457849.730,null
2017-04-06 07:17:30,2457849.804,20.43
2017-05-04 11:18:54,2457877.971,20.34
2017-05-04 13:05:27,2457878.045,null
2017-06-11 22:28:27,2457916.436,null
2017-07-02 16:28:12,2457937.186,20.54
2017-08-12 15:19:29,2457978.139,16.12
2017-08-12 17:06:03,2457978.213,15.94
2017-09-02 15:17:37,2457999.137,untrusted
2017-09-02 17:04:12,2457999.211,19.30
2017-10-10 02:25:25,2458036.601,19.80
2017-10-10 04:12:06,2458036.675,null
2017-11-07 09:55:20,2458064.913,null
2017-12-08 07:49:16,2458095.826,null
2018-01-13 21:10:17,2458132.382,20.42
2018-02-10 19:19:22,2458160.305,20.38
2018-02-10 21:05:56,2458160.379,untrusted
2018-03-18 00:58:04,2458195.540,null
2018-04-20 02:19:46,2458228.597,null
2018-05-16 12:24:22,2458255.017,null
2018-05-16 14:10:32,2458255.091,untrusted
2018-06-24 23:27:30,2458294.477,18.78
2018-06-25 01:14:05,2458294.551,18.73
2018-07-14 23:28:21,2458314.478,19.73
2018-08-24 16:20:34,2458355.181,null
2018-08-24 18:06:49,2458355.255,20.17
2018-09-15 22:16:15,2458377.428,20.28
2018-10-21 21:30:29,2458413.396,null
2018-10-21 23:16:39,2458413.470,null
2018-11-21 03:10:14,2458443.632,20.13
2018-11-21 04:56:50,2458443.706,null
2018-12-20 20:56:23,2458473.372,20.41
2019-01-27 04:17:42,2458510.679,20.25
2019-01-27 08:31:23,2458510.855,19.93
2019-02-24 20:25:29,2458539.351,20.48
2019-03-30 08:05:24,2458572.837,null
2019-05-03 19:34:09,2458607.315,20.29
2019-05-03 21:20:54,2458607.390,null
2019-05-28 13:28:05,2458632.061,20.72
2019-05-28 15:14:39,2458632.135,untrusted
2019-07-07 18:26:40,2458672.269,19.55
2019-07-07 20:13:15,2458672.343,19.20
2019-07-31 08:42:03,2458695.863,null
2019-07-31 10:28:37,2458695.937,20.28
2019-08-30 09:43:38,2458725.905,20.33
2019-08-30 11:30:12,2458725.979,20.20
2019-10-03 17:08:13,2458760.214,null
2019-11-06 18:44:28,2458794.281,20.70
2019-11-30 07:36:03,2458817.817,17.09
2019-11-30 09:22:37,2458817.891,17.18
2020-01-07 03:52:08,2458855.661,null
2020-01-25 10:26:50,2458873.935,null
2020-01-25 12:13:35,2458874.009,null
2020-03-03 18:47:14,2458912.283,null
2020-03-26 19:38:21,2458935.318,null
2020-03-26 21:24:41,2458935.392,20.30
2020-04-30 23:09:40,2458970.465,17.65

