Gaia16afv
#Date,JD,averagemag.
2014-09-25 18:53:21,2456926.287,untrusted
2014-09-25 20:39:55,2456926.361,untrusted
2014-11-04 07:36:11,2456965.817,null
2014-11-29 17:40:02,2456991.236,untrusted
2014-12-30 11:21:13,2457021.973,untrusted
2015-02-08 04:57:38,2457061.707,16.52
2015-02-08 06:44:12,2457061.781,16.57
2015-03-03 17:05:15,2457085.212,null
2015-03-03 18:52:00,2457085.286,null
2015-04-15 10:39:48,2457127.944,16.87
2015-04-15 12:26:22,2457128.018,16.90
2015-05-16 12:10:25,2457159.007,17.04
2015-06-13 22:08:44,2457187.423,17.46
2015-06-13 23:55:18,2457187.497,17.41
2015-07-23 22:53:32,2457227.454,null
2015-07-24 03:07:17,2457227.630,null
2015-08-09 15:10:33,2457244.132,null
2015-08-09 16:57:18,2457244.206,null
2015-09-21 19:46:51,2457287.324,null
2015-09-21 21:33:36,2457287.398,null
2015-10-08 15:37:11,2457304.151,18.46
2015-11-15 12:55:03,2457342.038,18.81
2015-11-15 14:41:37,2457342.112,18.83
2015-12-13 12:41:18,2457370.029,19.09
2016-01-11 08:17:12,2457398.845,19.41
2016-02-23 00:07:38,2457441.505,19.70
2016-02-23 01:54:13,2457441.579,19.78
2016-03-17 14:00:42,2457465.084,19.85
2016-03-17 18:14:22,2457465.260,19.82
2016-03-17 20:00:56,2457465.334,19.84
2016-04-26 23:48:27,2457505.492,null
2016-04-27 01:35:12,2457505.566,null
2016-05-29 23:23:22,2457538.475,19.80
2016-06-24 17:13:01,2457564.217,19.66
2016-06-24 18:59:35,2457564.291,19.58
2016-08-05 04:04:00,2457605.669,null
2016-08-05 05:50:07,2457605.743,19.32
2016-08-20 10:08:32,2457620.923,19.28
2016-08-20 11:55:06,2457620.997,untrusted
2016-10-02 02:46:39,2457663.616,18.19
2016-10-02 04:33:13,2457663.690,untrusted
2016-11-25 21:48:26,2457718.409,17.23
2016-12-26 13:44:02,2457749.072,17.13
2017-01-22 13:40:35,2457776.070,17.03
2017-01-22 15:27:09,2457776.144,16.99
2017-03-07 20:40:09,2457820.361,17.04
2017-03-07 22:26:43,2457820.435,17.10
2017-03-08 02:40:23,2457820.611,null
2017-04-01 22:30:35,2457845.438,17.10
2017-04-02 02:44:15,2457845.614,17.17
2017-05-09 04:05:08,2457882.670,17.30
2017-06-13 01:44:09,2457917.572,17.47
2017-06-13 03:30:43,2457917.646,17.52
2017-07-06 07:38:37,2457940.818,null
2017-07-06 09:25:22,2457940.893,null
2017-08-17 18:22:35,2457983.266,17.99
2017-08-17 20:09:10,2457983.340,untrusted
2017-09-01 06:28:09,2457997.770,17.99
2017-09-01 08:14:43,2457997.844,18.00
2017-10-13 06:57:05,2458039.790,null
2017-11-02 23:09:25,2458060.465,18.41
2017-11-03 00:56:00,2458060.539,18.41
2017-12-07 10:32:18,2458094.939,18.76
2018-01-09 22:11:06,2458128.424,19.05
2018-01-09 23:57:40,2458128.498,18.99
2018-02-04 05:59:45,2458153.750,19.29
2018-02-04 10:13:25,2458153.926,19.26
2018-02-04 11:59:59,2458154.000,19.31
2018-03-21 09:50:14,2458198.910,19.76
2018-03-21 11:36:48,2458198.984,19.59
2018-04-17 03:49:04,2458225.659,19.82
2018-04-17 05:35:38,2458225.733,19.80
2018-05-21 09:25:52,2458259.893,untrusted
2018-06-27 02:41:49,2458296.612,19.95
2018-06-27 04:28:23,2458296.686,19.98
2018-07-17 22:26:41,2458317.435,19.95
2018-08-29 21:05:53,2458360.379,20.06
2018-08-30 01:19:33,2458360.555,19.89
2018-09-13 13:25:07,2458375.059,19.87
2018-09-13 15:11:42,2458375.133,19.82
2018-10-24 12:13:41,2458416.010,18.89
2018-12-18 23:40:48,2458471.487,untrusted
2019-01-24 17:17:50,2458508.221,17.09
2019-01-24 19:04:25,2458508.295,17.14
2019-02-17 17:23:40,2458532.225,17.00
2019-02-17 19:10:14,2458532.299,16.98
2019-04-03 04:59:37,2458576.708,16.95
2019-04-03 06:46:11,2458576.782,16.97
2019-05-02 00:38:13,2458605.527,17.08
2019-05-02 04:51:52,2458605.703,17.08
2019-07-10 21:38:57,2458675.402,17.19
2019-07-28 17:50:36,2458693.243,17.28
2019-07-28 19:37:10,2458693.317,17.29
2019-08-23 00:31:15,2458718.522,17.43
2019-08-23 02:17:49,2458718.596,17.44
2019-08-23 06:31:29,2458718.772,17.48
2019-08-23 08:18:03,2458718.846,17.47
2019-10-07 14:20:46,2458764.098,17.69
2019-10-07 16:07:21,2458764.172,17.77
2019-11-05 03:23:46,2458792.642,18.05
2019-11-05 05:10:21,2458792.716,17.95
2019-12-04 18:27:07,2458822.269,18.14
2020-01-10 00:45:23,2458858.532,18.62
2020-01-10 02:31:57,2458858.606,18.54
2020-01-27 07:17:31,2458875.804,18.70
2020-01-27 09:04:05,2458875.878,18.69
2020-03-08 16:01:23,2458917.168,19.06
2020-03-08 17:47:57,2458917.242,19.09
2020-03-23 18:11:47,2458932.258,19.27
2020-03-23 22:25:27,2458932.434,19.16
2020-05-02 12:44:09,2458972.031,null
2020-05-02 14:30:28,2458972.104,19.63

