Gaia16ajc
#Date,JD,averagemag.
2014-11-24 22:21:05,2456986.431,null
2014-11-25 00:07:51,2456986.505,null
2014-11-25 04:21:37,2456986.682,null
2014-11-25 06:08:22,2456986.756,null
2015-03-06 12:29:07,2457088.020,null
2015-03-06 14:15:52,2457088.094,null
2015-03-22 12:32:24,2457104.023,null
2015-04-25 11:56:00,2457137.997,null
2015-04-25 13:42:10,2457138.071,null
2015-09-07 18:22:50,2457273.266,null
2015-09-07 20:09:35,2457273.340,null
2015-09-26 18:31:02,2457292.272,null
2015-09-26 20:17:12,2457292.345,null
2015-10-28 19:57:32,2457324.332,null
2016-03-14 13:32:06,2457462.064,19.12
2016-03-14 15:18:40,2457462.138,19.09
2016-04-05 09:13:29,2457483.884,19.57
2016-05-05 07:04:20,2457513.795,20.42
2016-05-05 08:50:54,2457513.869,20.37
2016-09-16 13:32:07,2457648.064,null
2016-11-07 07:20:42,2457699.806,null
2017-03-24 16:00:26,2457837.167,null
2017-04-20 09:44:21,2457863.906,null
2017-04-20 11:31:06,2457863.980,null
2017-05-15 21:35:25,2457889.400,null
2017-05-15 23:22:10,2457889.474,null
2017-09-26 22:05:26,2458023.420,null
2017-09-26 23:52:11,2458023.495,null
2017-10-25 23:38:56,2458052.485,null
2017-11-17 03:51:47,2458074.661,null
2017-11-17 05:37:57,2458074.735,null
2018-04-04 00:54:26,2458212.538,null
2018-05-05 22:40:24,2458244.445,null
2018-05-25 22:43:00,2458264.447,null
2018-05-26 00:29:45,2458264.521,null
2018-10-07 17:17:03,2458399.220,null
2018-10-07 19:03:48,2458399.294,null
2018-11-09 16:50:45,2458432.202,null
2018-11-09 18:37:30,2458432.276,null
2018-11-26 06:43:19,2458448.780,null
2018-11-26 10:57:05,2458448.956,null
2019-02-27 12:59:45,2458542.041,null
2019-02-27 14:46:30,2458542.116,null
2019-02-27 19:00:14,2458542.292,null
2019-02-27 20:46:58,2458542.366,null
2019-03-06 08:51:09,2458548.869,null
2019-03-06 13:04:53,2458549.045,null
2019-03-06 14:51:37,2458549.119,null
2019-03-06 19:05:21,2458549.295,null
2019-04-14 18:15:51,2458588.261,null
2019-04-14 20:02:35,2458588.335,null
2019-05-23 01:26:47,2458626.560,null
2019-05-23 05:40:31,2458626.736,null
2019-05-23 07:26:41,2458626.810,null
2019-05-23 11:40:24,2458626.986,null
2019-06-02 11:47:07,2458636.991,null
2019-06-02 13:33:52,2458637.065,null
2019-06-02 17:47:36,2458637.241,null
2019-06-02 19:33:45,2458637.315,null
2019-09-01 13:01:14,2458728.043,null
2019-09-01 17:14:25,2458728.218,null
2019-09-01 19:01:10,2458728.292,null
2019-09-01 23:14:56,2458728.469,null
2019-09-09 17:24:15,2458736.225,null
2019-09-09 19:11:00,2458736.299,null
2019-09-09 23:24:46,2458736.476,null
2019-09-10 01:10:57,2458736.549,null

