Gaia16ajr
#Date,JD,averagemag.
2015-02-16 11:44:10,2457069.989,null
2015-02-16 13:30:19,2457070.063,null
2015-03-17 13:12:58,2457099.051,null
2015-04-11 19:00:07,2457124.292,null
2015-05-27 11:44:19,2457169.989,null
2015-05-27 15:58:03,2457170.165,null
2015-05-27 17:44:48,2457170.239,null
2015-05-27 21:58:33,2457170.416,null
2015-05-27 23:44:42,2457170.489,null
2015-05-28 03:58:27,2457170.666,null
2015-05-28 05:45:12,2457170.740,null
2015-05-28 09:58:56,2457170.916,null
2015-05-28 11:45:06,2457170.990,null
2015-05-28 15:58:51,2457171.166,null
2015-05-28 17:45:36,2457171.240,null
2015-05-28 21:59:20,2457171.416,null
2015-05-28 23:45:30,2457171.490,null
2015-05-29 03:59:15,2457171.666,null
2015-05-29 05:46:00,2457171.740,null
2015-05-29 09:59:44,2457171.916,null
2015-05-29 11:46:29,2457171.991,null
2015-05-29 15:59:39,2457172.166,null
2015-05-29 17:46:23,2457172.241,null
2015-05-29 22:00:08,2457172.417,null
2015-05-29 23:46:53,2457172.491,null
2015-05-30 04:00:02,2457172.667,null
2015-05-30 05:46:47,2457172.741,null
2015-05-30 11:47:17,2457172.991,null
2015-07-20 22:04:51,2457224.420,null
2015-07-21 02:18:36,2457224.596,null
2015-07-31 20:26:11,2457235.352,null
2015-07-31 22:12:56,2457235.426,null
2015-09-10 19:30:46,2457276.313,null
2015-10-11 07:15:07,2457306.802,null
2015-11-05 07:16:39,2457331.803,null
2015-11-05 09:03:24,2457331.877,null
2016-01-07 19:15:03,2457395.302,null
2016-01-08 01:15:33,2457395.552,null
2016-01-08 07:15:27,2457395.802,null
2016-01-08 09:02:12,2457395.877,null
2016-01-08 13:15:57,2457396.053,null
2016-01-08 15:02:41,2457396.127,null
2016-01-08 19:15:51,2457396.303,null
2016-01-08 21:02:36,2457396.377,null
2016-01-09 01:16:20,2457396.553,null
2016-01-09 03:03:05,2457396.627,null
2016-01-09 07:16:15,2457396.803,null
2016-01-09 09:03:00,2457396.877,null
2016-01-09 13:16:44,2457397.053,null
2016-01-09 15:03:29,2457397.127,null
2016-01-09 19:17:14,2457397.304,null
2016-01-09 21:03:24,2457397.377,null
2016-01-10 01:17:08,2457397.554,null
2016-01-10 03:03:53,2457397.628,null
2016-01-10 07:17:38,2457397.804,null
2016-01-10 09:03:47,2457397.878,null
2016-01-10 13:17:32,2457398.054,null
2016-01-10 19:18:01,2457398.304,null
2016-02-27 18:52:30,2457446.286,null
2016-02-27 20:39:15,2457446.361,null
2016-03-30 18:22:06,2457478.265,16.82
2016-03-30 20:08:40,2457478.339,untrusted
2016-04-21 12:16:59,2457500.012,16.83
2016-04-21 14:03:32,2457500.086,16.83
2016-07-29 21:16:52,2457599.387,null
2016-07-29 23:03:03,2457599.460,null
2016-08-14 05:10:14,2457614.715,null
2016-09-21 02:39:35,2457652.611,18.64
2016-10-25 20:19:22,2457687.347,null
2016-10-25 22:05:32,2457687.421,null
2016-11-15 08:28:05,2457707.853,null
2016-11-15 10:14:18,2457707.927,untrusted
2016-11-15 14:27:58,2457708.103,18.65
2017-01-14 20:21:56,2457768.349,18.70
2017-01-14 22:08:30,2457768.423,18.69
2017-01-15 02:22:14,2457768.599,null
2017-01-15 04:08:43,2457768.673,18.71
2017-01-30 20:30:54,2457784.355,18.68
2017-01-30 22:17:28,2457784.429,18.67
2017-01-31 02:31:07,2457784.605,18.70
2017-03-09 21:23:07,2457822.391,null
2017-03-09 23:09:52,2457822.465,null
2017-04-13 22:26:32,2457857.435,18.66
2017-05-02 02:41:13,2457875.612,18.68
2017-08-09 05:40:30,2457974.736,18.68
2017-08-09 07:27:04,2457974.810,18.68
2017-08-28 17:43:58,2457994.239,18.68
2017-10-02 11:12:14,2458028.967,18.70
2017-10-02 12:58:49,2458029.041,18.65
2017-11-11 22:49:52,2458069.451,null
2017-11-12 00:36:38,2458069.525,null
2017-11-12 06:37:09,2458069.776,null
2017-11-25 17:00:39,2458083.209,null
2017-11-25 18:47:24,2458083.283,null
2017-11-25 23:01:09,2458083.459,null
2017-11-26 00:47:19,2458083.533,null
2017-11-26 05:01:05,2458083.709,null
2018-01-25 10:54:15,2458143.954,null
2018-01-25 12:40:24,2458144.028,null
2018-02-16 04:57:28,2458165.707,null
2018-02-16 06:44:13,2458165.781,null
2018-03-21 04:30:46,2458198.688,null
2018-04-28 03:35:13,2458236.649,null
2018-04-28 05:21:58,2458236.724,null
2018-05-12 03:40:36,2458250.653,null
2018-05-12 05:27:20,2458250.727,null
2018-08-20 00:45:00,2458350.531,null
2018-09-12 00:42:35,2458373.530,null
2018-09-12 02:29:21,2458373.604,null
2018-10-13 20:09:53,2458405.340,null
2019-02-05 12:03:32,2458520.002,null
2019-02-05 13:50:17,2458520.077,null
2019-03-03 05:57:10,2458545.748,null
2019-03-03 07:43:54,2458545.822,null
2019-04-01 05:37:21,2458574.734,null
2019-04-01 07:23:31,2458574.808,null
2019-05-12 12:17:06,2458616.012,null
2019-05-12 16:30:50,2458616.188,null
2019-05-21 16:36:39,2458625.192,null
2019-05-21 18:22:49,2458625.266,null
2019-05-21 22:36:34,2458625.442,null
2019-05-22 00:23:18,2458625.516,null
2019-07-11 22:39:05,2458676.444,null
2019-07-12 02:52:51,2458676.620,null
2019-07-12 04:39:36,2458676.694,null
2019-07-12 08:52:46,2458676.870,null
2019-08-10 01:14:33,2458705.552,null
2019-08-10 05:28:18,2458705.728,null
2019-09-06 06:25:28,2458732.768,null
2019-09-06 08:12:13,2458732.842,null

