Gaia16and
#Date,JD,averagemag.
2014-08-06 21:40:23,2456876.403,null
2014-08-07 01:54:09,2456876.579,null
2014-08-07 03:40:19,2456876.653,null
2014-08-07 07:54:05,2456876.829,null
2014-08-07 09:40:50,2456876.903,null
2014-08-07 13:54:36,2456877.080,null
2014-11-07 04:17:12,2456968.679,null
2014-11-07 08:30:56,2456968.855,null
2014-11-22 08:34:22,2456983.857,null
2015-02-03 13:14:56,2457057.052,null
2015-02-03 15:01:40,2457057.126,null
2015-02-03 19:15:24,2457057.302,null
2015-02-03 21:02:09,2457057.376,null
2015-02-14 13:22:38,2457068.057,null
2015-02-14 15:09:23,2457068.132,null
2015-02-14 19:23:07,2457068.308,null
2015-02-14 21:09:52,2457068.382,null
2015-04-27 19:36:37,2457140.317,null
2015-04-27 21:23:23,2457140.391,null
2015-04-28 01:37:08,2457140.567,null
2015-05-15 01:47:31,2457157.575,null
2015-05-15 03:34:16,2457157.649,null
2015-06-21 01:26:29,2457194.560,null
2015-06-21 03:13:14,2457194.634,null
2015-07-30 00:44:00,2457233.531,null
2015-07-30 02:30:45,2457233.605,null
2015-08-11 20:38:42,2457246.360,null
2015-08-12 00:52:27,2457246.536,null
2015-11-16 17:18:10,2457343.221,null
2015-12-06 09:29:04,2457362.895,null
2015-12-06 11:15:13,2457362.969,null
2016-01-06 20:56:03,2457394.372,null
2016-01-06 22:42:48,2457394.446,null
2016-05-06 22:33:08,2457515.440,18.33
2016-05-07 02:46:49,2457515.616,18.34
2016-05-30 14:51:52,2457539.119,19.39
2016-05-30 16:38:27,2457539.193,19.44
2016-07-01 10:23:23,2457570.933,null
2016-08-14 01:43:15,2457614.572,null
2016-08-14 03:30:01,2457614.646,null
2016-08-14 07:43:11,2457614.822,null
2016-08-14 09:29:57,2457614.896,null
2016-08-14 15:30:28,2457615.146,null
2016-08-18 13:47:19,2457619.075,null
2016-08-18 15:34:04,2457619.149,null
2016-08-18 19:47:50,2457619.325,null
2016-08-18 21:34:35,2457619.399,null
2016-08-19 01:47:46,2457619.575,null
2016-11-25 18:21:43,2457718.265,null
2016-12-19 12:10:23,2457742.007,null
2017-01-16 16:04:26,2457770.170,null
2017-01-16 17:51:11,2457770.244,null
2017-05-18 01:07:22,2457891.547,null
2017-05-18 05:21:08,2457891.723,null
2017-06-15 05:16:06,2457919.720,null
2017-06-15 07:02:51,2457919.794,null
2017-07-12 12:54:38,2457947.038,null
2017-12-06 01:02:53,2458093.544,null
2017-12-06 02:49:03,2458093.617,null
2018-01-02 18:42:05,2458121.279,null
2018-01-02 20:28:49,2458121.353,null
2018-01-27 06:35:51,2458145.775,null
2018-01-27 08:22:36,2458145.849,null
2018-05-29 08:19:06,2458267.847,null
2018-05-29 12:32:52,2458268.023,null
2018-06-30 06:15:31,2458299.761,null
2018-06-30 08:02:16,2458299.835,null
2018-07-23 08:01:51,2458322.835,null
2018-10-29 21:02:34,2458421.377,null
2018-10-29 22:49:18,2458421.451,null
2018-11-07 22:54:54,2458430.455,null
2018-11-08 03:08:03,2458430.631,null
2018-12-16 15:55:43,2458469.164,null
2019-01-17 19:40:21,2458501.320,null
2019-01-17 21:27:06,2458501.394,null
2019-02-06 13:44:40,2458521.073,null
2019-02-06 15:31:25,2458521.147,null
2019-06-09 21:30:53,2458644.396,null
2019-07-15 07:14:17,2458679.802,null
2019-07-15 09:01:02,2458679.876,null
2019-07-21 15:15:58,2458686.136,null
2019-07-21 17:02:08,2458686.210,null
2019-08-10 23:35:12,2458706.483,null
2019-08-11 03:48:57,2458706.659,null

