Gaia16aoq
#Date,JD,averagemag.
2014-08-11 05:06:39,2456880.713,null
2014-08-11 06:52:48,2456880.787,null
2014-08-11 11:06:32,2456880.963,null
2014-08-11 12:53:17,2456881.037,null
2014-08-11 17:07:01,2456881.213,null
2014-08-11 18:53:10,2456881.287,null
2014-11-09 12:49:29,2456971.034,null
2014-11-09 17:03:15,2456971.211,null
2014-11-09 18:50:01,2456971.285,null
2014-11-09 23:03:47,2456971.461,null
2014-11-10 00:50:32,2456971.535,null
2014-11-15 05:09:00,2456976.715,null
2014-11-15 11:08:56,2456976.965,null
2014-11-15 12:55:42,2456977.039,null
2014-11-15 17:09:28,2456977.215,null
2014-11-15 18:55:39,2456977.289,null
2015-01-29 16:01:54,2457052.168,null
2015-01-29 17:48:04,2457052.242,null
2015-01-29 22:01:50,2457052.418,null
2015-01-29 23:48:36,2457052.492,null
2015-02-08 17:56:54,2457062.248,null
2015-02-08 22:10:40,2457062.424,null
2015-02-08 23:56:51,2457062.498,null
2015-02-09 04:10:37,2457062.674,null
2015-05-07 23:11:23,2457150.466,null
2015-05-08 00:58:07,2457150.540,null
2015-05-08 05:11:51,2457150.717,null
2015-05-08 06:58:36,2457150.791,null
2015-05-08 11:12:20,2457150.967,null
2015-05-08 12:58:29,2457151.041,null
2015-05-15 17:17:21,2457158.220,null
2015-05-15 19:04:05,2457158.295,null
2015-05-15 23:17:49,2457158.471,null
2015-05-16 01:03:59,2457158.544,null
2015-05-16 05:17:43,2457158.721,null
2015-06-25 04:41:47,2457198.696,null
2015-06-25 06:27:56,2457198.769,null
2015-08-03 23:41:35,2457238.487,null
2015-08-04 03:55:19,2457238.663,null
2015-08-04 05:42:04,2457238.738,null
2015-08-04 09:55:47,2457238.914,null
2015-08-12 16:00:57,2457247.167,null
2015-08-12 17:47:41,2457247.241,null
2015-11-16 07:48:50,2457342.826,null
2015-11-16 12:02:36,2457343.002,null
2015-12-02 00:09:49,2457358.507,null
2016-01-03 23:40:40,2457391.487,null
2016-05-14 00:14:06,2457522.510,17.53
2016-05-14 02:00:40,2457522.584,17.53
2016-06-02 00:18:13,2457541.513,null
2016-06-02 02:04:58,2457541.587,null
2016-07-05 05:49:48,2457574.743,null
2016-07-05 07:36:33,2457574.817,null
2016-11-24 08:53:37,2457716.871,null
2016-11-24 13:07:23,2457717.047,null
2016-12-15 13:07:51,2457738.047,null
2016-12-15 14:54:36,2457738.121,null
2017-01-13 06:51:48,2457766.786,null
2017-01-13 08:38:34,2457766.860,null
2017-05-23 14:44:01,2457897.114,null
2017-05-23 16:30:10,2457897.188,null
2017-06-17 20:37:00,2457922.359,null
2017-06-17 22:23:44,2457922.433,null
2017-07-16 02:20:15,2457950.597,null
2017-07-16 04:06:59,2457950.672,null
2017-12-04 03:37:56,2458091.651,null
2017-12-04 05:24:41,2458091.725,null
2017-12-29 23:15:02,2458117.469,null
2018-01-23 09:25:11,2458141.892,null
2018-01-23 11:11:22,2458141.966,null
2018-06-03 09:52:19,2458272.911,null
2018-07-03 05:18:42,2458302.721,null
2018-07-26 15:26:54,2458326.144,null
2018-07-26 17:13:03,2458326.217,null
2018-12-14 10:47:54,2458466.950,null
2019-01-13 16:28:05,2458497.186,null
2019-01-13 18:14:16,2458497.260,null
2019-02-01 18:20:48,2458516.264,null
2019-02-01 22:34:34,2458516.441,null
2019-07-17 02:06:24,2458681.588,null
2019-07-17 06:20:08,2458681.764,null
2019-08-06 00:49:41,2458701.535,null
2019-08-06 02:36:26,2458701.609,null

