Gaia16aqn
#Date,JD,averagemag.
2015-01-16 20:14:16,2457039.343,null
2015-02-10 06:15:09,2457063.761,null
2015-07-06 14:06:21,2457210.088,null
2015-08-06 07:52:16,2457240.828,null
2015-08-06 09:39:02,2457240.902,null
2015-08-30 09:42:23,2457264.904,null
2015-08-30 13:56:09,2457265.081,null
2015-12-31 07:52:59,2457387.828,null
2016-01-31 01:22:31,2457418.557,null
2016-02-20 03:05:30,2457438.629,null
2016-05-27 03:52:57,2457535.662,18.97
2016-05-27 05:39:31,2457535.736,18.94
2016-05-27 09:53:12,2457535.912,18.96
2016-06-06 10:00:51,2457545.917,19.22
2016-06-06 11:47:26,2457545.991,19.16
2016-07-16 17:02:40,2457586.210,untrusted
2016-08-21 14:55:26,2457622.122,null
2016-08-21 16:42:11,2457622.196,null
2016-09-08 09:06:20,2457639.879,null
2016-09-08 10:52:31,2457639.953,null
2016-09-08 15:06:17,2457640.129,null
2016-11-24 09:29:26,2457716.895,null
2016-11-24 15:29:54,2457717.146,null
2016-11-24 17:16:04,2457717.219,null
2016-11-24 21:29:48,2457717.396,null
2016-11-24 23:16:33,2457717.470,null
2016-11-25 03:30:17,2457717.646,null
2016-11-25 05:17:02,2457717.720,null
2016-11-25 09:30:11,2457717.896,null
2016-11-25 11:16:56,2457717.970,null
2016-11-25 15:30:40,2457718.146,null
2016-11-25 17:17:25,2457718.220,null
2016-11-25 21:30:34,2457718.396,null
2016-11-25 23:17:18,2457718.470,null
2016-11-26 03:31:03,2457718.647,null
2016-11-26 05:17:47,2457718.721,null
2016-11-26 09:31:31,2457718.897,null
2016-11-26 11:17:41,2457718.971,null
2016-11-26 17:18:10,2457719.221,null
2016-11-26 23:18:04,2457719.471,null
2016-11-27 05:18:33,2457719.721,null
2016-11-27 11:18:26,2457719.971,null
2016-11-27 15:32:10,2457720.147,null
2016-11-27 17:18:55,2457720.221,null
2016-11-27 21:32:39,2457720.398,null
2016-11-27 23:19:24,2457720.472,null
2016-11-28 03:32:33,2457720.648,null
2016-11-28 05:19:18,2457720.722,null
2016-11-28 09:33:02,2457720.898,null
2016-11-28 11:19:46,2457720.972,null
2016-11-28 15:32:56,2457721.148,null
2016-11-28 17:19:40,2457721.222,null
2016-11-28 21:33:24,2457721.398,null
2016-11-28 23:20:09,2457721.472,null
2016-11-29 03:33:53,2457721.649,null
2016-11-29 05:20:03,2457721.722,null
2016-11-29 09:33:47,2457721.898,null
2017-01-09 22:47:33,2457763.450,null
2017-02-13 03:39:22,2457797.652,null
2017-02-13 05:26:07,2457797.726,null
2017-02-28 15:42:30,2457813.155,null
2017-02-28 17:29:14,2457813.229,null
2017-06-05 06:15:12,2457909.761,null
2017-06-05 08:01:57,2457909.835,null
2017-06-22 00:22:24,2457926.516,null
2017-06-22 02:09:09,2457926.590,null
2017-07-28 01:36:24,2457962.567,null
2017-11-30 17:55:52,2458088.247,null
2017-11-30 19:42:36,2458088.321,null
2017-12-18 07:48:28,2458105.825,null
2017-12-18 12:02:12,2458106.002,null
2018-03-08 22:39:57,2458186.444,null
2018-03-09 00:26:42,2458186.519,null
2018-03-09 04:40:26,2458186.695,null
2018-03-09 06:26:36,2458186.768,null
2018-06-15 07:19:34,2458284.805,null
2018-07-07 01:21:12,2458306.556,null
2018-07-07 03:07:22,2458306.630,null
2018-08-08 13:01:30,2458339.043,null
2018-12-10 08:50:35,2458462.868,null
2018-12-10 13:04:19,2458463.045,null
2019-01-02 14:47:12,2458486.116,null
2019-01-02 19:00:55,2458486.292,null
2019-06-25 20:26:15,2458660.352,null
2019-08-04 10:43:09,2458699.947,null

