Gaia16aqz
#Date,JD,averagemag.
2014-08-16 22:58:15,2456886.457,null
2014-08-17 00:44:24,2456886.531,null
2014-08-17 04:58:08,2456886.707,null
2014-08-17 06:44:53,2456886.781,null
2014-08-17 10:58:37,2456886.957,null
2014-08-17 12:45:22,2456887.032,null
2014-11-10 17:19:24,2456972.222,null
2014-11-10 19:06:09,2456972.296,null
2014-11-10 23:19:55,2456972.472,null
2014-11-18 23:26:44,2456980.477,null
2014-11-19 01:12:54,2456980.551,null
2014-11-19 05:26:40,2456980.727,null
2014-11-19 07:13:26,2456980.801,null
2015-01-30 00:02:46,2457052.502,null
2015-01-30 04:16:32,2457052.678,null
2015-01-30 06:02:43,2457052.752,null
2015-02-16 00:12:14,2457069.508,null
2015-02-16 04:26:00,2457069.685,null
2015-06-23 10:26:58,2457196.935,null
2015-06-23 12:13:43,2457197.010,null
2015-07-29 17:32:07,2457233.231,null
2015-07-29 21:45:51,2457233.407,null
2015-08-14 21:49:57,2457249.410,null
2015-08-14 23:36:07,2457249.483,null
2015-11-19 00:18:17,2457345.513,null
2015-11-19 02:05:03,2457345.587,null
2015-12-04 00:24:48,2457360.517,null
2015-12-04 02:11:33,2457360.591,null
2016-01-07 05:49:42,2457394.743,null
2016-01-07 07:35:52,2457394.817,null
2016-05-11 05:57:40,2457519.748,null
2016-05-11 07:44:25,2457519.823,null
2016-05-11 11:58:09,2457519.999,null
2016-05-11 13:44:53,2457520.073,null
2016-05-28 19:51:19,2457537.327,18.73
2016-05-29 00:04:58,2457537.503,18.73
2016-07-03 19:21:57,2457573.307,19.58
2016-08-13 10:41:46,2457613.946,null
2016-08-13 12:27:56,2457614.019,null
2016-08-13 16:41:40,2457614.196,null
2016-08-22 10:47:19,2457622.950,null
2016-08-22 12:34:04,2457623.024,null
2016-08-22 16:47:48,2457623.200,null
2016-08-22 18:34:33,2457623.274,null
2016-11-27 07:21:43,2457719.807,null
2016-11-27 09:07:53,2457719.880,null
2016-12-17 07:22:40,2457739.807,null
2016-12-17 09:09:26,2457739.882,null
2017-01-16 20:46:51,2457770.366,null
2017-01-17 01:00:37,2457770.542,null
2017-05-21 04:15:08,2457894.677,null
2017-05-21 08:28:52,2457894.853,null
2017-05-21 10:15:02,2457894.927,null
2017-06-14 08:26:58,2457918.852,null
2017-06-14 10:13:43,2457918.926,null
2017-07-15 02:05:54,2457949.587,null
2017-12-07 03:49:44,2458094.660,null
2017-12-07 05:36:30,2458094.734,null
2017-12-31 09:42:58,2458118.905,null
2017-12-31 11:29:44,2458118.979,null
2018-01-27 11:20:37,2458145.973,null
2018-01-27 15:34:23,2458146.149,null
2018-06-01 03:37:58,2458270.651,null
2018-06-01 05:24:08,2458270.725,null
2018-06-29 21:23:46,2458299.392,null
2018-07-25 21:11:54,2458325.383,null
2018-07-25 22:58:39,2458325.457,null
2018-12-17 10:58:24,2458469.957,null
2019-01-14 22:42:40,2458498.446,null
2019-01-15 00:29:26,2458498.520,null
2019-02-06 18:31:29,2458521.272,null
2019-02-06 22:45:15,2458521.448,null
2019-06-12 10:47:19,2458646.950,null
2019-06-12 12:33:28,2458647.023,null
2019-07-14 22:19:36,2458679.430,null
2019-07-15 00:06:21,2458679.504,null
2019-07-18 12:07:40,2458683.005,null
2019-08-11 06:48:27,2458706.784,null
2019-08-11 08:35:11,2458706.858,null
2019-08-11 12:48:55,2458707.034,null

