Gaia16asc
#Date,JD,averagemag.
2014-10-30 05:05:10,2456960.712,null
2014-10-30 09:18:54,2456960.888,null
2015-01-06 02:56:59,2457028.623,null
2015-01-06 04:43:10,2457028.697,null
2015-02-10 10:21:09,2457063.931,null
2015-03-15 15:50:50,2457097.160,null
2015-04-07 20:00:09,2457120.333,null
2015-04-07 21:46:19,2457120.407,null
2015-05-18 18:50:17,2457161.285,null
2015-05-18 20:36:27,2457161.359,null
2015-07-16 05:38:27,2457219.735,null
2015-07-16 07:25:12,2457219.809,null
2015-08-07 05:35:09,2457241.733,null
2015-09-12 04:53:52,2457277.704,null
2015-09-12 06:40:37,2457277.778,null
2015-10-16 04:30:29,2457311.688,null
2015-11-12 04:28:00,2457338.686,null
2015-11-12 06:14:45,2457338.760,null
2015-12-24 17:50:08,2457381.243,null
2015-12-24 22:03:53,2457381.419,null
2016-01-20 11:49:20,2457407.993,null
2016-02-22 03:42:42,2457440.655,null
2016-03-28 03:03:43,2457475.628,null
2016-03-28 04:50:28,2457475.702,null
2016-04-18 04:49:19,2457496.701,null
2016-05-30 01:47:49,2457538.575,null
2016-05-30 03:33:59,2457538.649,null
2016-06-15 03:38:25,2457554.652,18.39
2016-06-15 07:52:05,2457554.828,18.39
2016-07-26 20:26:54,2457596.352,20.24
2016-08-20 00:33:30,2457620.523,null
2016-08-20 02:19:40,2457620.597,null
2016-09-23 06:00:28,2457654.750,null
2016-09-23 07:47:13,2457654.824,null
2016-10-29 19:21:24,2457691.307,null
2016-10-29 23:35:09,2457691.483,null
2016-11-24 11:37:07,2457716.984,null
2016-11-24 13:23:52,2457717.058,null
2017-01-05 11:13:19,2457758.968,null
2017-01-05 13:00:04,2457759.042,null
2017-02-02 17:06:35,2457787.213,null
2017-02-02 18:53:20,2457787.287,null
2017-03-04 18:12:46,2457817.259,null
2017-04-10 11:25:00,2457853.976,null
2017-04-29 17:26:28,2457873.227,null
2017-06-11 04:08:05,2457915.672,null
2017-06-11 05:54:50,2457915.746,null
2017-06-27 23:58:14,2457932.499,null
2017-06-28 04:11:59,2457932.675,null
2017-08-07 15:06:20,2457973.129,null
2017-08-07 16:53:05,2457973.204,null
2017-09-03 02:54:32,2457999.621,null
2017-09-03 04:41:17,2457999.695,null
2017-10-05 14:31:03,2458032.105,null
2017-10-05 16:17:12,2458032.179,null
2017-11-13 14:04:42,2458071.087,null
2017-11-13 15:51:27,2458071.161,null
2017-11-13 20:05:12,2458071.337,null
2017-12-08 09:55:16,2458095.913,null
2017-12-08 14:09:01,2458096.090,null
2017-12-08 15:55:46,2458096.164,null
2018-01-17 19:45:13,2458136.323,null
2018-01-17 21:31:58,2458136.397,null
2018-02-16 15:18:06,2458166.138,null
2018-03-16 07:18:49,2458193.805,null
2018-04-23 12:23:22,2458232.016,null
2018-04-23 14:10:08,2458232.090,null
2018-05-11 06:26:49,2458249.769,null
2018-06-22 23:06:38,2458292.463,null
2018-06-23 00:53:23,2458292.537,null
2018-07-11 05:09:16,2458310.715,null
2018-07-11 06:55:25,2458310.788,null
2018-08-19 11:57:30,2458349.998,null
2018-09-17 09:54:24,2458378.913,null
2018-10-17 21:38:53,2458409.402,null
2018-10-17 23:25:38,2458409.476,null
2018-11-27 22:59:41,2458450.458,null
2018-11-28 03:13:26,2458450.634,null
2018-11-28 05:00:11,2458450.708,null
2018-12-22 21:17:41,2458475.387,null
2018-12-22 23:04:26,2458475.461,null
2019-01-29 20:54:29,2458513.371,null
2019-01-29 22:41:14,2458513.445,null
2019-03-02 08:32:44,2458544.856,null
2019-03-02 10:19:29,2458544.930,null
2019-03-27 16:11:04,2458570.174,null
2019-05-06 09:07:51,2458609.880,null
2019-05-23 01:25:47,2458626.560,null
2019-07-04 18:06:12,2458669.254,null
2019-07-04 19:52:57,2458669.328,null
2019-08-03 02:24:20,2458698.600,null
2019-08-03 04:11:04,2458698.674,null
2019-09-05 05:34:06,2458731.732,null
2019-09-05 09:47:50,2458731.908,null

