Gaia16avd
#Date,JD,averagemag.
2015-01-15 13:55:56,2457038.081,null
2015-01-15 15:42:41,2457038.155,null
2015-01-15 19:56:26,2457038.331,null
2015-01-15 21:42:35,2457038.405,null
2015-01-16 01:56:20,2457038.581,null
2015-01-16 03:43:04,2457038.655,null
2015-01-16 07:56:49,2457038.831,null
2015-01-16 09:42:58,2457038.905,null
2015-01-16 13:56:43,2457039.081,null
2015-01-16 15:43:27,2457039.155,null
2015-01-16 19:57:12,2457039.331,null
2015-01-16 21:43:57,2457039.406,null
2015-01-17 01:57:06,2457039.581,null
2015-01-17 03:43:51,2457039.655,null
2015-01-17 07:57:35,2457039.832,null
2015-01-17 09:44:20,2457039.906,null
2015-01-17 13:58:04,2457040.082,null
2015-01-17 15:44:14,2457040.156,null
2015-01-17 19:57:58,2457040.332,null
2015-01-17 21:44:43,2457040.406,null
2015-01-18 01:58:27,2457040.582,null
2015-01-18 03:44:37,2457040.656,null
2015-01-18 07:58:21,2457040.832,null
2015-01-18 09:45:06,2457040.906,null
2015-03-01 20:37:16,2457083.359,null
2015-03-30 20:15:59,2457112.344,null
2015-03-31 00:29:43,2457112.521,null
2015-04-24 20:12:35,2457137.342,null
2015-04-25 00:26:19,2457137.518,null
2015-08-27 18:23:33,2457262.266,null
2015-08-27 20:10:19,2457262.340,null
2015-09-28 18:03:49,2457294.253,null
2015-09-28 19:50:34,2457294.327,null
2015-10-20 12:03:37,2457316.003,null
2016-01-22 20:48:44,2457410.367,null
2016-01-22 22:35:29,2457410.441,null
2016-02-02 20:54:40,2457421.371,null
2016-02-02 22:40:50,2457421.445,null
2016-03-11 15:44:27,2457459.156,null
2016-04-14 13:29:03,2457493.062,null
2016-04-14 15:15:47,2457493.136,null
2016-05-04 13:35:08,2457513.066,null
2016-05-04 15:21:53,2457513.140,null
2016-07-17 09:34:05,2457586.899,18.59
2016-07-17 13:47:46,2457587.075,18.60
2016-07-17 15:34:21,2457587.149,untrusted
2016-07-17 19:48:13,2457587.325,null
2016-07-17 21:34:36,2457587.399,18.59
2016-07-18 01:48:16,2457587.575,18.59
2016-07-18 03:34:51,2457587.649,18.57
2016-07-18 07:48:31,2457587.825,18.56
2016-07-24 13:54:29,2457594.080,18.65
2016-07-24 15:41:03,2457594.154,18.62
2016-07-24 19:54:44,2457594.330,18.63
2016-07-24 21:41:18,2457594.404,18.65
2016-07-25 01:54:59,2457594.580,18.64
2016-07-25 03:41:34,2457594.654,18.61
2016-07-25 07:55:33,2457594.830,null
2016-07-25 09:41:49,2457594.904,18.66
2016-09-07 03:21:06,2457638.640,19.15
2016-09-07 07:34:48,2457638.816,null
2016-10-12 02:48:28,2457673.617,20.74
2016-10-29 07:06:53,2457690.796,null
2016-10-29 08:53:38,2457690.871,null
2017-01-30 21:47:08,2457784.408,null
2017-01-30 23:33:18,2457784.481,null
2017-02-15 23:11:14,2457800.466,null
2017-02-16 00:57:59,2457800.540,null
2017-03-22 16:28:11,2457835.186,null
2017-03-22 18:14:20,2457835.260,null
2017-05-02 17:43:34,2457876.239,null
2017-05-02 21:57:19,2457876.415,null
2017-05-02 23:43:28,2457876.489,null
2017-05-03 03:57:12,2457876.665,null
2017-05-03 05:43:57,2457876.739,null
2017-05-13 04:04:49,2457886.670,null
2017-05-13 05:51:34,2457886.744,null
2017-05-13 10:05:18,2457886.920,null
2017-05-13 11:51:28,2457886.994,null
2017-05-13 16:05:12,2457887.170,null
2017-05-13 17:51:57,2457887.244,null
2017-07-25 12:04:20,2457960.003,null
2017-07-25 16:18:05,2457960.179,null
2017-07-25 18:04:51,2457960.253,null
2017-08-13 22:28:31,2457979.436,null
2017-08-14 00:15:17,2457979.511,null
2017-09-18 11:54:38,2458014.996,null
2017-10-26 11:08:48,2458052.964,null
2017-10-26 15:22:34,2458053.141,null
2017-11-07 11:16:18,2458064.970,null
2017-11-07 15:30:04,2458065.146,null
2017-11-07 17:16:14,2458065.220,null
2018-02-09 12:10:57,2458159.008,null
2018-02-09 13:57:07,2458159.081,null
2018-03-02 01:52:42,2458179.578,null
2018-04-02 19:23:11,2458211.308,null
2018-08-05 07:15:22,2458335.802,null
2018-08-05 11:29:08,2458335.979,null
2018-08-30 05:32:46,2458360.731,null
2018-08-30 07:18:57,2458360.805,null
2018-09-29 13:04:15,2458391.045,null
2018-11-10 16:20:17,2458433.181,null
2018-11-10 18:07:02,2458433.255,null
2018-11-10 22:20:48,2458433.431,null
2018-11-11 00:06:58,2458433.505,null
2018-11-15 00:11:09,2458437.508,null
2018-11-15 04:24:54,2458437.684,null
2018-11-15 06:11:05,2458437.758,null
2018-11-15 10:24:50,2458437.934,null
2018-11-15 12:11:36,2458438.008,null
2018-11-15 16:25:21,2458438.184,null
2019-02-19 15:00:40,2458534.125,null
2019-03-16 08:48:21,2458558.867,null
2019-04-14 00:45:14,2458587.531,null
2019-04-14 02:31:59,2458587.606,null
2019-08-24 22:45:10,2458720.448,null
2019-09-19 17:46:40,2458746.241,null
2019-09-19 19:33:25,2458746.315,null

