Gaia16avp
#Date,JD,averagemag.
2015-01-10 11:53:17,2457032.995,null
2015-01-10 17:53:49,2457033.246,null
2015-01-10 22:07:35,2457033.422,null
2015-01-10 23:53:45,2457033.496,null
2015-01-11 04:07:31,2457033.672,null
2015-01-11 05:54:17,2457033.746,null
2015-01-11 10:08:03,2457033.922,null
2015-01-11 11:54:48,2457033.996,null
2015-01-11 16:07:59,2457034.172,null
2015-01-11 17:54:45,2457034.246,null
2015-01-11 22:08:31,2457034.423,null
2015-01-11 23:55:16,2457034.497,null
2015-01-12 04:09:03,2457034.673,null
2015-01-12 05:55:13,2457034.747,null
2015-01-12 10:08:59,2457034.923,null
2015-01-12 11:55:45,2457034.997,null
2015-01-12 16:09:31,2457035.173,null
2015-01-12 17:55:41,2457035.247,null
2015-01-12 22:09:27,2457035.423,null
2015-01-12 23:56:13,2457035.497,null
2015-01-13 05:56:09,2457035.747,null
2015-02-22 11:20:01,2457075.972,null
2015-03-31 10:51:09,2457112.952,null
2015-03-31 15:04:56,2457113.128,null
2015-03-31 16:51:41,2457113.203,null
2015-04-10 11:00:02,2457122.958,null
2015-04-10 15:13:13,2457123.134,null
2015-04-10 16:59:58,2457123.208,null
2015-07-12 16:30:52,2457216.188,null
2015-07-12 18:17:01,2457216.262,null
2015-07-12 22:30:45,2457216.438,null
2015-07-13 00:17:30,2457216.512,null
2015-07-21 10:36:56,2457224.942,null
2015-07-21 12:23:40,2457225.016,null
2015-07-21 16:37:24,2457225.193,null
2015-07-21 18:23:34,2457225.266,null
2015-08-29 23:45:27,2457264.490,null
2015-10-09 10:59:50,2457304.958,null
2015-10-09 15:13:33,2457305.134,null
2015-10-09 17:00:18,2457305.209,null
2015-10-09 21:14:02,2457305.385,null
2015-10-09 23:00:11,2457305.458,null
2015-10-10 03:13:55,2457305.635,null
2015-10-14 03:17:25,2457309.637,null
2015-10-14 09:17:19,2457309.887,null
2015-10-14 11:04:03,2457309.961,null
2015-10-14 15:17:47,2457310.137,null
2015-10-14 17:03:57,2457310.211,null
2015-10-14 21:17:41,2457310.387,null
2015-10-14 23:04:25,2457310.461,null
2016-01-15 18:51:13,2457403.286,null
2016-01-15 23:05:00,2457403.462,null
2016-01-30 17:12:22,2457418.217,null
2016-01-30 18:59:08,2457418.291,null
2016-03-04 00:31:10,2457451.522,null
2016-07-18 23:32:39,2457588.481,18.79
2016-07-19 01:19:13,2457588.555,18.75
2016-07-19 05:32:52,2457588.731,18.96
2016-08-07 05:36:10,2457607.733,null
2016-08-07 07:22:54,2457607.808,null
2016-09-08 23:07:50,2457640.464,null
2017-01-23 12:09:52,2457777.007,null
2017-01-23 13:56:38,2457777.081,null
2017-02-13 13:33:47,2457798.065,null
2017-02-13 15:19:58,2457798.139,null
2017-03-14 13:18:21,2457827.054,null
2017-03-14 15:05:07,2457827.129,null
2017-07-28 20:01:59,2457963.335,null
2017-07-28 21:48:43,2457963.409,null
2017-08-22 19:54:22,2457988.329,null
2017-08-22 21:41:07,2457988.404,null
2017-09-19 13:37:44,2458016.068,null
2018-02-02 04:27:10,2458151.686,null
2018-03-24 20:28:52,2458202.353,null
2018-08-08 09:10:19,2458338.882,null
2018-08-08 10:56:29,2458338.956,null
2018-09-07 02:49:14,2458368.618,null
2018-09-07 04:35:58,2458368.692,null
2018-09-29 14:43:59,2458391.114,null
2018-09-29 16:30:44,2458391.188,null
2019-02-12 09:50:59,2458526.910,null
2019-03-15 05:17:54,2458557.721,null
2019-04-03 09:37:40,2458576.901,null
2019-04-03 11:24:26,2458576.975,null
2019-08-17 07:53:28,2458712.829,null
2019-09-18 15:14:06,2458745.135,18.31
2019-09-18 17:00:39,2458745.209,18.30

