Gaia16awa
#Date,JD,averagemag.
2015-02-25 18:36:30,2457079.275,null
2015-02-25 20:22:39,2457079.349,null
2015-03-29 07:54:23,2457110.829,null
2015-03-29 12:07:31,2457111.005,null
2015-04-17 12:10:34,2457130.007,null
2015-04-17 13:57:19,2457130.081,null
2015-08-30 12:44:38,2457265.031,null
2015-08-30 14:31:24,2457265.105,null
2015-10-03 14:04:16,2457299.086,null
2015-10-20 00:24:28,2457315.517,null
2015-10-20 02:11:13,2457315.591,null
2016-01-21 02:27:33,2457408.602,null
2016-01-21 04:14:18,2457408.677,null
2016-01-21 08:28:02,2457408.853,null
2016-01-21 10:14:47,2457408.927,null
2016-01-29 10:19:27,2457416.930,null
2016-01-29 14:33:10,2457417.106,null
2016-01-29 16:19:55,2457417.180,null
2016-03-07 07:44:10,2457454.822,null
2016-03-07 09:30:54,2457454.896,null
2016-04-14 14:53:54,2457493.121,null
2016-04-14 19:07:38,2457493.297,null
2016-04-14 20:54:23,2457493.371,null
2016-04-15 01:08:07,2457493.547,null
2016-04-23 13:14:19,2457502.052,null
2016-04-23 15:00:28,2457502.125,null
2016-04-23 19:14:12,2457502.302,null
2016-04-23 21:00:57,2457502.376,null
2016-07-22 08:12:12,2457591.842,18.53
2016-07-22 09:58:47,2457591.916,18.50
2016-07-22 14:12:28,2457592.092,18.53
2016-07-22 15:59:03,2457592.166,untrusted
2016-07-22 20:12:44,2457592.342,18.55
2016-08-01 08:21:10,2457601.848,null
2016-08-01 10:07:56,2457601.922,null
2016-08-01 14:21:42,2457602.098,null
2016-08-01 16:08:28,2457602.173,null
2016-09-09 13:56:14,2457641.081,null
2016-10-18 13:17:20,2457680.054,null
2016-10-18 15:04:05,2457680.128,null
2016-10-18 19:17:51,2457680.304,null
2016-10-18 21:04:37,2457680.378,null
2016-10-26 09:10:48,2457687.883,18.46
2016-10-26 13:24:29,2457688.059,18.50
2016-10-26 15:11:04,2457688.133,18.50
2017-01-27 15:26:15,2457781.143,19.32
2017-01-27 17:12:49,2457781.217,19.37
2017-02-13 00:37:57,2457797.526,null
2017-02-13 04:51:40,2457797.703,null
2017-03-18 00:01:58,2457830.501,null
2017-07-30 00:26:40,2457964.519,18.66
2017-07-30 04:40:21,2457964.695,18.70
2017-07-30 06:26:55,2457964.769,18.70
2017-08-19 04:48:45,2457984.701,null
2017-09-20 10:29:43,2458016.937,18.35
2018-03-28 17:23:59,2458206.225,null
2018-03-28 19:10:44,2458206.299,null
2018-08-09 01:36:48,2458339.567,null
2018-08-09 05:50:34,2458339.743,null
2018-09-03 17:48:55,2458365.242,null
2018-09-03 19:35:05,2458365.316,null
2018-09-30 23:40:03,2458392.486,null
2018-10-01 01:26:48,2458392.560,null
2019-02-15 18:58:15,2458530.290,null
2019-02-15 20:44:25,2458530.364,null
2019-03-14 12:40:23,2458557.028,null
2019-04-08 00:32:29,2458581.523,null
2019-04-08 02:18:38,2458581.596,null
2019-08-20 18:40:20,2458716.278,null
2019-09-17 18:03:54,2458744.253,null
2019-09-17 19:50:40,2458744.327,null

