Gaia16axi
#Date,JD,averagemag.
2015-02-16 17:43:05,2457070.238,null
2015-02-16 19:29:14,2457070.312,null
2015-03-17 05:27:09,2457098.727,null
2015-04-12 05:13:23,2457124.718,null
2015-05-26 15:58:33,2457169.166,null
2015-05-26 17:45:18,2457169.240,null
2015-05-26 21:59:02,2457169.416,null
2015-05-26 23:45:47,2457169.490,null
2015-05-27 03:58:57,2457169.666,null
2015-05-31 04:02:42,2457173.669,null
2015-05-31 05:48:51,2457173.742,null
2015-05-31 10:02:36,2457173.918,null
2015-05-31 11:49:21,2457173.993,null
2015-07-21 10:06:21,2457224.921,null
2015-07-21 14:20:07,2457225.097,null
2015-07-21 16:06:52,2457225.171,null
2015-07-31 14:27:17,2457235.102,null
2015-07-31 16:14:02,2457235.176,null
2015-09-11 03:16:04,2457276.636,null
2015-10-10 19:15:35,2457306.302,null
2015-10-10 21:02:20,2457306.377,null
2015-11-05 15:01:59,2457332.126,null
2015-11-05 19:15:45,2457332.303,null
2016-03-30 12:23:34,2457478.016,null
2016-04-22 00:17:18,2457500.512,null
2016-07-30 09:17:26,2457599.887,16.77
2016-07-30 11:04:00,2457599.961,16.61
2016-08-14 03:24:39,2457614.642,16.89
2016-08-14 05:11:13,2457614.716,16.86
2016-09-21 10:25:11,2457652.934,18.46
2016-10-25 04:05:15,2457686.670,19.41
2016-11-15 16:12:55,2457708.176,19.86
2016-11-15 20:26:36,2457708.352,19.83
2016-11-15 22:13:10,2457708.426,19.86
2017-01-14 20:20:40,2457768.348,null
2017-01-14 22:07:24,2457768.422,null
2017-01-15 02:20:34,2457768.598,null
2017-01-15 04:07:19,2457768.672,null
2017-01-15 08:21:03,2457768.848,null
2017-01-15 10:07:48,2457768.922,null
2017-01-29 20:29:57,2457783.354,null
2017-01-29 22:16:42,2457783.428,null
2017-01-30 02:30:26,2457783.604,null
2017-03-10 03:22:04,2457822.640,null
2017-03-10 05:08:49,2457822.714,null
2017-04-13 16:27:59,2457857.186,null
2017-05-02 10:28:12,2457875.936,null
2017-08-09 17:41:12,2457975.237,null
2017-08-09 19:27:57,2457975.311,null
2017-08-28 11:45:22,2457993.990,null
2017-08-28 13:32:07,2457994.064,null
2017-10-02 18:57:50,2458029.290,null
2017-11-10 22:48:48,2458068.451,null
2017-11-11 00:35:33,2458068.525,null
2017-11-26 06:45:58,2458083.782,null
2017-11-26 10:59:43,2458083.958,null
2017-11-26 12:46:28,2458084.032,null
2017-11-26 17:00:14,2458084.208,null
2017-11-26 18:46:59,2458084.283,null
2018-01-25 16:52:31,2458144.203,null
2018-01-25 18:39:16,2458144.277,null
2018-02-15 16:57:17,2458165.206,null
2018-02-15 18:44:02,2458165.281,null
2018-03-21 10:29:44,2458198.937,null
2018-04-27 21:36:42,2458236.400,null
2018-04-27 23:23:27,2458236.475,null
2018-05-12 15:41:09,2458251.154,null
2018-05-12 17:27:54,2458251.228,null
2018-08-20 08:31:31,2458350.855,null
2018-08-20 12:45:17,2458351.031,null
2018-09-11 20:30:20,2458373.354,null
2018-10-14 02:08:25,2458405.589,null
2018-10-14 06:22:11,2458405.765,null
2019-02-05 18:02:25,2458520.252,null
2019-02-05 19:48:35,2458520.325,null
2019-03-02 19:44:21,2458545.322,null
2019-03-02 23:58:05,2458545.499,null
2019-04-01 11:36:19,2458574.984,null
2019-04-01 13:23:04,2458575.058,null
2019-05-12 04:31:48,2458615.689,null
2019-05-12 06:18:32,2458615.763,null
2019-05-22 10:38:15,2458625.943,null
2019-05-22 12:24:25,2458626.017,null
2019-05-22 16:38:09,2458626.193,null
2019-05-22 18:24:54,2458626.267,null
2019-07-12 16:41:08,2458677.195,null
2019-07-12 20:54:54,2458677.371,null
2019-07-12 22:41:39,2458677.446,null
2019-07-13 02:55:24,2458677.622,null
2019-07-13 04:41:34,2458677.696,null
2019-07-13 08:55:20,2458677.872,null
2019-08-10 07:16:04,2458705.803,null
2019-08-10 11:29:50,2458705.979,null
2019-09-05 20:10:21,2458732.341,null

