Gaia16bfz
#Date,JD,averagemag.
2014-11-19 09:58:00,2456980.915,null
2014-11-19 11:44:46,2456980.989,null
2015-03-07 00:51:32,2457088.536,null
2015-03-07 02:37:42,2457088.610,null
2015-03-27 14:33:59,2457109.107,null
2015-04-29 06:16:17,2457141.761,null
2015-04-29 08:02:26,2457141.835,null
2015-08-30 13:50:12,2457265.077,null
2015-08-30 18:03:57,2457265.253,null
2015-09-24 00:07:34,2457289.505,null
2015-09-24 01:54:19,2457289.579,null
2015-10-24 17:52:03,2457320.244,null
2015-12-03 10:54:51,2457359.955,null
2015-12-03 12:41:36,2457360.029,null
2015-12-03 16:55:22,2457360.205,null
2015-12-03 18:42:07,2457360.279,null
2015-12-11 18:48:10,2457368.283,null
2015-12-11 23:01:55,2457368.460,null
2015-12-12 00:48:41,2457368.534,null
2016-03-16 07:54:28,2457463.829,null
2016-03-16 09:41:13,2457463.904,null
2016-04-10 01:43:28,2457488.572,null
2016-05-09 19:25:02,2457518.309,null
2016-05-09 21:11:46,2457518.383,null
2016-09-09 21:01:39,2457641.376,18.78
2016-09-10 01:15:20,2457641.552,18.76
2016-10-08 01:08:56,2457669.548,19.08
2016-10-08 02:55:31,2457669.622,19.09
2016-11-03 12:59:55,2457696.042,null
2017-02-07 16:04:20,2457792.170,null
2017-02-07 17:51:05,2457792.244,null
2017-02-07 22:04:50,2457792.420,null
2017-02-07 23:50:59,2457792.494,null
2017-02-08 04:04:44,2457792.670,null
2017-02-08 05:51:28,2457792.744,null
2017-02-12 17:31:03,2457797.230,null
2017-02-12 19:17:48,2457797.304,null
2017-02-12 23:31:32,2457797.480,null
2017-02-13 01:17:42,2457797.554,null
2017-03-26 22:22:23,2457839.432,null
2017-03-27 00:08:32,2457839.506,null
2017-04-24 22:03:00,2457868.419,null
2017-05-21 09:57:19,2457894.915,null
2017-05-21 11:44:03,2457894.989,null
2017-09-21 09:49:33,2458017.909,null
2017-09-21 11:36:19,2458017.984,null
2017-10-22 15:31:35,2458049.147,null
2017-11-13 21:28:54,2458071.395,null
2018-02-16 00:20:47,2458165.514,null
2018-02-16 02:07:32,2458165.589,null
2018-04-06 23:28:56,2458215.478,null
2018-04-07 01:15:40,2458215.553,null
2018-05-10 11:02:24,2458248.960,null
2018-05-10 12:49:09,2458249.034,null
2018-06-01 11:07:08,2458270.963,null
2018-06-01 12:53:17,2458271.037,null
2018-06-01 17:07:02,2458271.213,null
2018-06-01 18:53:46,2458271.287,null
2018-08-10 18:59:21,2458341.291,null
2018-08-10 23:13:07,2458341.467,null
2018-08-11 00:59:17,2458341.541,null
2018-08-11 05:13:02,2458341.717,null
2018-08-11 06:59:48,2458341.792,null
2018-08-11 11:13:33,2458341.968,null
2018-08-11 12:59:44,2458342.041,null
2018-08-11 17:13:29,2458342.218,null
2018-08-19 05:20:46,2458349.723,null
2018-08-19 11:20:42,2458349.973,null
2018-08-19 13:07:28,2458350.047,null
2018-08-19 17:21:13,2458350.223,null
2018-08-19 19:07:24,2458350.297,null
2018-08-19 23:21:09,2458350.473,null
2018-08-20 01:07:55,2458350.547,null
2018-10-02 18:46:58,2458394.283,null
2018-11-05 16:29:23,2458428.187,null
2018-11-05 18:16:08,2458428.261,null
2018-11-23 22:32:40,2458446.439,null
2019-02-25 07:19:08,2458539.805,null
2019-02-25 09:05:18,2458539.879,null
2019-03-13 19:21:27,2458556.307,null
2019-04-18 06:36:31,2458591.775,null
2019-05-27 19:53:17,2458631.329,null
2019-05-28 00:06:26,2458631.504,null
2019-05-28 01:53:11,2458631.579,null
2019-05-28 06:06:55,2458631.755,null
2019-06-11 18:15:39,2458646.261,null
2019-06-11 20:02:24,2458646.335,null
2019-06-12 00:16:08,2458646.511,null
2019-06-12 02:02:53,2458646.585,null
2019-06-12 08:02:47,2458646.835,null
2019-08-30 18:37:58,2458726.276,null
2019-08-30 22:51:44,2458726.453,null
2019-09-16 23:22:05,2458743.474,null
2019-09-17 01:08:15,2458743.547,null

