Gaia16bgg
#Date,JD,averagemag.
2015-01-15 06:33:32,2457037.773,null
2015-02-12 00:13:12,2457065.509,null
2015-07-08 08:02:25,2457211.835,null
2015-07-08 09:48:35,2457211.909,null
2015-08-04 13:54:53,2457239.080,null
2015-08-04 15:41:38,2457239.154,null
2015-09-01 07:50:02,2457266.826,null
2016-01-01 13:48:19,2457389.075,null
2016-01-01 15:34:28,2457389.149,null
2016-01-29 15:15:51,2457417.136,null
2016-02-22 07:18:16,2457440.804,null
2016-07-18 09:11:28,2457587.883,null
2016-07-18 10:58:13,2457587.957,null
2016-08-19 02:55:42,2457619.622,16.53
2016-09-10 22:47:33,2457642.450,17.01
2016-09-11 03:01:14,2457642.626,untrusted
2017-02-11 21:46:21,2457796.407,null
2017-03-03 03:44:08,2457815.656,null
2017-03-03 05:30:53,2457815.730,null
2017-06-08 08:05:00,2457912.837,null
2017-06-08 12:18:11,2457913.013,null
2017-06-08 14:04:56,2457913.087,null
2017-06-20 06:26:24,2457924.768,null
2017-06-20 08:13:09,2457924.842,null
2017-07-29 13:30:44,2457964.063,null
2017-07-29 17:44:30,2457964.239,null
2017-09-04 17:22:28,2458001.224,null
2017-09-04 19:09:14,2458001.298,null
2017-09-20 13:19:58,2458017.056,null
2017-09-20 17:33:44,2458017.232,null
2017-09-20 19:19:55,2458017.305,null
2017-12-04 11:53:55,2458091.996,null
2017-12-04 13:40:40,2458092.070,null
2017-12-04 17:53:49,2458092.246,null
2017-12-04 19:40:33,2458092.320,null
2017-12-04 23:54:18,2458092.496,null
2017-12-05 01:41:02,2458092.570,null
2017-12-13 18:00:34,2458101.250,null
2017-12-13 19:47:19,2458101.325,null
2017-12-14 00:01:03,2458101.501,null
2017-12-14 01:47:12,2458101.574,null
2017-12-14 06:00:56,2458101.751,null
2018-01-21 23:27:17,2458140.477,null
2018-01-22 01:14:02,2458140.551,null
2018-03-12 10:44:35,2458189.948,null
2018-03-12 12:31:20,2458190.022,null
2018-06-17 19:19:08,2458287.305,null
2018-07-05 15:11:45,2458305.133,null
2018-08-10 00:55:52,2458340.539,null
2018-12-12 08:45:58,2458464.865,null
2018-12-12 12:59:42,2458465.041,null
2018-12-12 14:46:26,2458465.116,null
2018-12-31 08:50:32,2458483.868,null
2018-12-31 13:04:16,2458484.045,null
2019-03-13 01:22:08,2458555.557,null
2019-03-13 05:35:52,2458555.733,null
2019-03-13 07:22:37,2458555.807,null
2019-03-20 11:41:00,2458562.987,null
2019-03-20 13:27:45,2458563.061,null
2019-03-20 17:41:29,2458563.237,null
2019-03-20 19:27:39,2458563.311,null
2019-06-27 22:10:17,2458662.424,null
2019-08-05 22:49:10,2458701.451,null
2019-08-06 00:35:55,2458701.525,null
2019-09-16 13:06:16,2458743.046,null
2019-09-16 14:52:27,2458743.120,null
2019-09-16 19:06:13,2458743.296,null
2019-09-16 20:52:58,2458743.370,null
2019-09-23 09:00:39,2458749.875,null
2019-09-23 13:14:25,2458750.052,null
2019-09-23 15:00:35,2458750.125,null
2019-09-23 19:14:21,2458750.302,null

