Gaia16bgo
#Date,JD,averagemag.
2014-11-24 12:52:25,2456986.036,null
2014-11-24 14:39:09,2456986.111,null
2014-11-24 18:52:54,2456986.287,null
2014-11-24 20:39:03,2456986.360,null
2014-11-25 00:52:47,2456986.537,null
2014-11-25 02:39:32,2456986.611,null
2014-11-25 06:53:16,2456986.787,null
2014-11-27 18:55:09,2456989.288,null
2014-11-27 20:41:54,2456989.362,null
2014-11-28 00:55:38,2456989.539,null
2014-11-28 02:41:48,2456989.612,null
2014-11-28 06:55:32,2456989.789,null
2014-11-28 08:42:17,2456989.863,null
2015-03-04 09:35:26,2457085.900,null
2015-03-04 11:22:12,2457085.974,null
2015-03-27 03:32:56,2457108.648,null
2015-04-26 03:18:31,2457138.638,null
2015-04-26 05:05:17,2457138.712,null
2015-08-31 21:25:02,2457266.392,null
2015-08-31 23:11:46,2457266.467,null
2015-09-27 03:17:16,2457292.637,null
2015-09-27 05:04:01,2457292.711,null
2015-10-24 14:59:59,2457320.125,null
2016-03-13 16:42:51,2457461.196,null
2016-05-06 04:30:23,2457514.688,null
2016-09-10 22:33:58,2457642.440,18.53
2016-09-11 00:20:32,2457642.514,18.57
2016-10-10 22:12:49,2457672.426,19.22
2016-10-10 23:59:22,2457672.500,19.24
2016-11-02 22:04:42,2457695.420,19.54
2017-02-07 02:27:00,2457791.602,null
2017-02-07 06:40:45,2457791.778,null
2017-02-07 08:27:31,2457791.852,null
2017-02-07 12:40:42,2457792.028,null
2017-02-07 14:27:27,2457792.102,null
2017-02-07 18:41:13,2457792.279,null
2017-02-07 20:27:58,2457792.353,null
2017-02-08 00:41:44,2457792.529,null
2017-02-08 02:27:54,2457792.603,null
2017-02-08 06:41:40,2457792.779,null
2017-02-08 12:42:11,2457793.029,null
2017-02-08 20:04:58,2457793.337,null
2017-02-09 02:04:54,2457793.587,null
2017-02-09 08:05:25,2457793.837,null
2017-02-09 09:51:35,2457793.911,null
2017-02-09 14:05:21,2457794.087,null
2017-02-09 15:51:51,2457794.161,20.68
2017-02-09 20:05:52,2457794.337,null
2017-02-09 21:52:38,2457794.412,null
2017-02-10 02:05:49,2457794.587,null
2017-02-10 03:52:34,2457794.662,null
2017-02-10 09:53:05,2457794.912,null
2017-03-24 07:14:18,2457836.802,null
2017-04-25 06:55:57,2457868.789,null
2017-04-25 08:42:43,2457868.863,null
2017-05-16 14:50:08,2457890.118,null
2017-05-16 19:03:54,2457890.294,null
2017-09-22 02:52:13,2458018.620,null
2017-10-25 08:16:33,2458051.845,null
2017-10-25 12:30:17,2458052.021,null
2017-11-12 14:16:37,2458070.095,null
2018-02-13 22:44:21,2458163.447,null
2018-02-14 02:58:07,2458163.624,null
2018-04-04 04:10:48,2458212.674,null
2018-05-12 08:01:11,2458250.834,null
2018-05-12 09:47:57,2458250.908,null
2018-05-12 14:01:43,2458251.085,null
2018-05-12 15:47:53,2458251.158,null
2018-05-25 14:11:57,2458264.092,null
2018-05-25 15:58:42,2458264.166,null
2018-05-25 20:12:28,2458264.342,null
2018-05-25 21:58:38,2458264.416,null
2018-08-12 14:37:35,2458343.109,null
2018-08-12 16:24:20,2458343.184,null
2018-08-12 20:38:04,2458343.360,null
2018-08-12 22:24:48,2458343.434,null
2018-08-13 02:38:33,2458343.610,null
2018-08-13 04:24:42,2458343.684,null
2018-08-25 08:46:13,2458355.865,null
2018-08-25 10:32:57,2458355.940,null
2018-08-25 14:46:06,2458356.115,null
2018-08-25 16:32:51,2458356.189,null
2018-10-03 08:14:05,2458394.843,null
2018-11-08 21:11:36,2458431.383,null
2018-11-09 01:24:45,2458431.559,null
2018-11-21 13:29:53,2458444.062,null
2018-11-21 15:16:38,2458444.137,null
2019-02-22 21:59:15,2458537.416,null
2019-02-22 23:46:00,2458537.490,null
2019-03-12 22:03:24,2458555.419,null
2019-03-12 23:50:10,2458555.493,null
2019-04-15 05:22:15,2458588.724,null
2019-08-28 08:06:41,2458723.838,null
2019-09-16 04:24:10,2458742.683,null

