Gaia16bhu
#Date,JD,averagemag.
2015-02-17 02:59:24,2457070.625,null
2015-04-09 02:35:09,2457121.608,null
2015-04-09 04:21:54,2457121.682,null
2015-07-16 11:09:14,2457219.965,null
2015-07-16 12:55:24,2457220.038,null
2015-07-30 07:01:10,2457233.792,null
2015-07-30 11:14:53,2457233.969,null
2015-09-05 22:27:35,2457271.436,null
2015-09-06 00:13:44,2457271.510,null
2015-10-14 23:41:06,2457310.487,null
2015-10-15 03:54:50,2457310.663,null
2015-10-15 05:41:34,2457310.737,null
2015-10-15 09:55:18,2457310.913,null
2015-10-26 04:02:28,2457321.668,null
2015-10-26 05:49:13,2457321.743,null
2015-10-26 10:02:57,2457321.919,null
2015-10-26 11:49:07,2457321.992,null
2015-10-26 17:49:36,2457322.243,null
2016-01-09 00:10:30,2457396.507,null
2016-01-09 04:24:16,2457396.684,null
2016-01-09 06:11:02,2457396.758,null
2016-01-22 10:34:29,2457409.941,null
2016-01-22 12:21:14,2457410.015,null
2016-02-27 22:10:19,2457446.424,null
2016-04-04 21:28:02,2457483.394,null
2016-04-04 23:14:48,2457483.469,null
2016-04-17 05:22:58,2457495.724,null
2016-04-17 09:36:09,2457495.900,null
2016-07-25 00:09:37,2457594.507,null
2016-07-25 01:55:46,2457594.580,null
2016-08-13 12:09:43,2457614.007,null
2016-08-13 13:56:27,2457614.081,null
2016-09-16 05:35:42,2457647.733,18.34
2016-09-16 07:22:16,2457647.807,18.38
2017-01-16 19:19:09,2457770.305,null
2017-01-16 23:32:55,2457770.481,null
2017-02-06 17:38:45,2457791.235,null
2017-02-06 19:24:55,2457791.309,null
2017-03-09 14:29:09,2457822.104,null
2017-04-22 05:51:06,2457865.744,null
2017-04-22 11:51:37,2457865.994,null
2017-04-22 13:38:23,2457866.068,null
2017-04-22 17:52:09,2457866.245,null
2017-04-22 19:38:19,2457866.318,null
2017-04-22 23:52:05,2457866.495,null
2017-04-23 01:38:50,2457866.569,null
2017-04-23 05:52:36,2457866.745,null
2017-04-23 07:38:46,2457866.819,null
2017-04-23 11:52:32,2457866.995,null
2017-04-23 17:53:03,2457867.245,null
2017-08-04 08:35:17,2457969.858,null
2017-08-04 10:22:02,2457969.932,null
2017-08-28 10:14:04,2457993.926,null
2017-09-27 08:07:13,2458023.838,null
2017-09-27 09:53:57,2458023.912,null
2018-01-26 21:52:14,2458145.411,null
2018-01-27 02:06:00,2458145.588,null
2018-03-20 03:38:21,2458197.652,null
2018-08-15 03:41:19,2458345.654,null
2018-08-15 05:27:28,2458345.727,null
2018-09-12 11:09:52,2458373.965,null
2018-10-08 03:16:14,2458399.636,null
2018-10-08 05:02:58,2458399.710,null
2019-02-06 15:16:51,2458521.137,null
2019-03-08 03:00:50,2458550.626,null
2019-03-08 04:47:00,2458550.699,null
2019-03-30 10:45:12,2458572.948,null
2019-03-30 14:58:58,2458573.124,null
2019-07-08 23:42:10,2458673.488,null
2019-07-09 01:28:55,2458673.562,null
2019-07-09 05:42:39,2458673.738,null
2019-07-09 07:29:24,2458673.812,null
2019-07-13 19:32:48,2458678.314,null
2019-07-13 23:46:32,2458678.491,null
2019-07-14 01:32:41,2458678.564,null
2019-07-14 05:46:25,2458678.741,null
2019-07-14 07:33:10,2458678.815,null
2019-07-14 11:46:54,2458678.991,null
2019-08-11 02:16:30,2458706.595,null
2019-08-11 04:03:15,2458706.669,null
2019-09-11 05:17:44,2458737.721,null

