Gaia16biq
#Date,JD,averagemag.
2015-02-21 02:49:34,2457074.618,null
2015-03-20 02:42:16,2457101.613,null
2015-03-20 04:28:26,2457101.686,null
2015-04-14 08:35:57,2457126.858,null
2015-10-08 03:54:55,2457303.663,null
2015-10-31 03:52:07,2457326.661,null
2015-10-31 05:38:51,2457326.735,null
2016-03-02 16:01:04,2457450.167,null
2016-03-02 17:47:50,2457450.242,null
2016-04-23 11:29:35,2457501.979,null
2016-08-01 12:13:50,2457602.010,null
2016-08-01 18:13:44,2457602.260,null
2016-08-01 20:00:29,2457602.334,null
2016-08-02 00:14:13,2457602.510,null
2016-08-02 02:00:57,2457602.584,null
2016-08-07 18:18:47,2457608.263,null
2016-08-07 20:04:57,2457608.337,null
2016-08-08 00:18:41,2457608.513,null
2016-08-08 02:05:25,2457608.587,null
2016-09-18 11:23:45,2457649.975,untrusted
2016-09-18 13:10:18,2457650.049,18.89
2016-10-22 22:53:20,2457684.454,null
2016-10-23 00:40:05,2457684.528,null
2016-11-08 10:59:33,2457700.958,null
2016-11-08 12:45:43,2457701.032,null
2016-11-08 16:59:27,2457701.208,null
2016-11-08 18:46:11,2457701.282,null
2017-03-13 12:34:51,2457826.024,null
2017-04-17 18:01:59,2457861.251,null
2017-05-03 00:08:54,2457876.506,18.84
2017-05-03 01:55:29,2457876.580,18.83
2017-08-09 08:32:34,2457974.856,null
2017-08-09 10:19:18,2457974.930,null
2017-08-24 08:37:38,2457989.859,null
2017-08-24 10:24:23,2457989.934,null
2017-09-29 09:40:55,2458025.903,19.82
2018-02-02 01:58:54,2458151.583,null
2018-02-02 03:45:40,2458151.657,null
2018-02-02 07:59:26,2458151.833,null
2018-02-17 20:08:42,2458167.339,null
2018-02-17 21:55:27,2458167.414,null
2018-03-24 07:45:50,2458201.823,null
2018-03-24 09:32:36,2458201.898,null
2018-05-03 13:01:04,2458242.042,null
2018-05-03 14:47:14,2458242.116,null
2018-05-03 19:01:00,2458242.292,null
2018-05-03 20:47:46,2458242.367,null
2018-05-10 19:07:28,2458249.297,null
2018-05-10 20:54:14,2458249.371,null
2018-05-11 01:08:00,2458249.547,null
2018-08-18 21:34:36,2458349.399,null
2018-08-18 23:20:46,2458349.473,null
2018-09-08 11:19:04,2458369.972,null
2018-10-10 09:03:29,2458401.877,null
2018-10-10 10:49:39,2458401.951,null
2019-02-11 03:07:36,2458525.630,null
2019-02-11 04:54:22,2458525.704,null
2019-03-05 15:10:56,2458548.133,null
2019-04-04 02:56:13,2458577.622,null
2019-08-15 20:34:22,2458711.357,null
2019-08-15 22:21:07,2458711.431,null
2019-09-08 15:16:09,2458735.136,null
2019-09-08 17:02:19,2458735.210,null

