Gaia16bjy
#Date,JD,averagemag.
2014-10-29 03:07:09,2456959.630,null
2014-10-29 04:53:54,2456959.704,null
2015-01-01 02:50:20,2457023.618,null
2015-01-01 04:37:05,2457023.692,null
2015-02-12 20:27:24,2457066.352,null
2015-02-12 22:14:10,2457066.427,null
2015-03-14 22:00:02,2457096.417,null
2015-04-10 15:49:48,2457123.160,null
2015-05-21 01:01:54,2457163.543,null
2015-06-04 19:07:59,2457178.297,null
2015-06-04 20:54:09,2457178.371,null
2015-07-19 07:26:42,2457222.810,null
2015-08-04 23:43:32,2457239.489,null
2015-08-05 01:30:17,2457239.563,null
2015-09-13 04:45:07,2457278.698,null
2015-10-12 16:25:53,2457308.185,null
2015-10-12 18:12:37,2457308.259,null
2015-11-10 04:16:10,2457336.678,null
2015-11-10 06:02:20,2457336.752,null
2015-12-25 09:51:41,2457381.911,null
2015-12-25 11:37:51,2457381.985,null
2015-12-25 15:51:36,2457382.161,null
2016-01-16 05:46:47,2457403.741,null
2016-01-16 10:00:32,2457403.917,null
2016-01-16 11:47:18,2457403.991,null
2016-02-24 17:23:39,2457443.225,null
2016-03-27 21:14:10,2457475.385,null
2016-03-27 23:00:56,2457475.459,null
2016-04-20 22:55:23,2457499.455,null
2016-04-21 03:09:08,2457499.631,null
2016-06-01 19:58:25,2457541.332,null
2016-06-01 21:45:10,2457541.406,null
2016-06-15 08:05:14,2457554.837,null
2016-06-15 09:51:24,2457554.911,null
2016-07-29 18:39:29,2457599.277,null
2016-08-17 14:26:28,2457618.102,null
2016-08-17 18:40:12,2457618.278,null
2016-09-23 17:50:31,2457655.243,18.64
2016-09-23 19:37:05,2457655.317,18.60
2016-10-26 07:14:03,2457687.801,null
2016-10-26 11:27:48,2457687.978,null
2016-11-21 11:25:14,2457713.976,null
2016-11-21 13:11:59,2457714.050,null
2017-01-07 00:49:02,2457760.534,null
2017-01-07 05:02:47,2457760.710,null
2017-01-30 17:08:43,2457784.214,null
2017-01-30 18:55:28,2457784.289,null
2017-03-07 12:09:18,2457820.006,null
2017-04-10 17:36:11,2457854.233,null
2017-04-10 19:22:56,2457854.308,null
2017-05-02 05:35:11,2457875.733,null
2017-05-02 07:21:57,2457875.807,null
2017-06-14 10:17:38,2457918.929,null
2017-06-14 12:03:48,2457919.003,null
2017-06-27 10:23:49,2457931.933,null
2017-08-31 10:45:49,2457996.948,null
2017-08-31 14:59:33,2457997.125,null
2017-10-05 14:19:58,2458032.097,null
2017-10-05 16:06:43,2458032.171,null
2017-11-10 07:53:53,2458067.829,null
2017-11-10 09:40:02,2458067.903,null
2017-12-04 07:57:44,2458091.832,null
2017-12-04 09:44:29,2458091.906,null
2018-01-19 19:35:36,2458138.316,null
2018-01-19 21:22:21,2458138.391,null
2018-02-14 13:37:12,2458164.068,null
2018-02-14 15:23:22,2458164.141,null
2018-03-19 01:17:49,2458196.554,null
2018-05-13 12:37:39,2458252.026,null
2018-06-26 11:14:00,2458295.968,null
2018-06-26 13:00:10,2458296.042,null
2018-07-09 23:20:23,2458309.472,null
2018-08-21 10:05:14,2458351.920,null
2018-08-21 11:51:23,2458351.994,null
2018-09-14 11:43:18,2458375.988,null
2018-10-17 09:27:44,2458408.894,null
2018-10-17 11:14:29,2458408.968,null
2018-11-25 16:46:51,2458448.199,null
2018-11-25 21:00:35,2458448.375,null
2018-12-17 21:07:56,2458470.381,null
2018-12-17 22:54:41,2458470.455,null
2019-02-01 02:45:51,2458515.615,null
2019-02-01 04:32:36,2458515.689,null
2019-03-01 02:40:45,2458543.612,null
2019-03-30 14:25:45,2458573.101,null
2019-05-07 21:19:20,2458611.388,null
2019-05-24 15:23:53,2458628.142,null
2019-05-24 19:37:38,2458628.318,null
2019-07-08 06:10:51,2458672.758,null
2019-07-08 07:57:36,2458672.832,null
2019-08-05 14:37:14,2458701.109,null
2019-08-05 16:23:24,2458701.183,null
2019-09-03 21:37:15,2458730.401,null
2019-09-03 23:24:00,2458730.475,null

