Gaia16bna
#Date,JD,averagemag.
2014-11-21 03:37:07,2456982.651,null
2014-11-21 05:23:17,2456982.725,null
2014-11-21 09:37:02,2456982.901,null
2014-11-21 11:23:47,2456982.975,null
2014-11-21 15:37:33,2456983.151,null
2014-11-21 17:23:43,2456983.225,null
2014-11-21 23:24:13,2456983.475,null
2014-11-24 05:26:28,2456985.727,null
2014-11-24 09:40:13,2456985.903,null
2014-11-24 11:26:23,2456985.977,null
2014-11-24 15:40:09,2456986.153,null
2014-11-24 17:26:54,2456986.227,null
2014-11-24 21:40:39,2456986.403,null
2014-11-24 23:26:49,2456986.477,null
2015-01-11 07:56:38,2457033.831,null
2015-01-11 09:42:48,2457033.905,null
2015-01-23 03:48:02,2457045.658,null
2015-03-02 07:00:03,2457083.792,null
2015-03-02 08:46:13,2457083.865,null
2015-04-02 02:22:49,2457114.599,null
2015-04-02 06:36:33,2457114.775,null
2015-04-27 00:35:29,2457139.525,null
2015-04-27 02:22:14,2457139.599,null
2015-04-27 06:35:58,2457139.775,null
2015-06-28 14:15:11,2457202.094,null
2015-06-28 18:28:56,2457202.270,null
2015-06-28 20:15:41,2457202.344,null
2015-06-29 00:29:26,2457202.520,null
2015-06-29 02:15:37,2457202.594,null
2015-06-29 06:29:22,2457202.770,null
2015-06-29 08:16:07,2457202.845,null
2015-06-29 12:29:52,2457203.021,null
2015-07-10 00:39:04,2457213.527,null
2015-07-10 02:25:49,2457213.601,null
2015-07-10 06:38:59,2457213.777,null
2015-07-10 08:25:45,2457213.851,null
2015-07-10 12:39:30,2457214.027,null
2015-07-10 14:26:15,2457214.102,null
2015-08-25 06:20:19,2457259.764,null
2015-09-27 17:54:34,2457293.246,null
2015-09-27 19:41:19,2457293.320,null
2015-10-18 17:54:48,2457314.246,null
2015-10-18 19:41:33,2457314.321,null
2016-01-20 20:53:49,2457408.371,null
2016-01-20 22:40:34,2457408.445,null
2016-02-05 16:42:47,2457424.196,null
2016-03-12 08:06:40,2457459.838,null
2016-03-12 09:53:25,2457459.912,null
2016-04-17 01:38:24,2457495.568,null
2016-04-17 03:25:09,2457495.642,null
2016-05-07 19:45:46,2457516.323,null
2016-05-07 21:32:31,2457516.398,null
2016-07-08 21:26:14,2457578.393,null
2016-07-09 01:39:59,2457578.569,null
2016-07-09 03:26:45,2457578.644,null
2016-07-09 07:40:30,2457578.820,null
2016-07-28 13:51:39,2457598.078,null
2016-07-28 15:38:24,2457598.152,null
2016-07-28 19:52:10,2457598.328,null
2016-07-28 21:38:21,2457598.402,null
2016-09-04 19:30:51,2457636.313,null
2016-09-04 21:17:36,2457636.387,null
2016-10-10 18:52:39,2457672.287,18.73
2016-10-10 20:39:13,2457672.361,18.72
2016-10-28 00:57:12,2457689.540,null
2017-01-29 21:54:10,2457783.413,null
2017-01-29 23:40:55,2457783.487,null
2017-02-18 11:13:56,2457802.968,null
2017-03-23 16:37:11,2457836.192,null
2017-03-23 18:23:20,2457836.266,null
2017-05-04 22:08:23,2457878.422,null
2017-05-04 23:55:08,2457878.497,null
2017-05-05 04:08:18,2457878.672,null
2017-05-05 05:55:02,2457878.747,null
2017-05-05 10:08:47,2457878.923,null
2017-05-18 22:18:12,2457892.429,null
2017-05-19 00:04:57,2457892.503,null
2017-05-19 04:18:41,2457892.680,null
2017-05-19 06:04:51,2457892.753,null
2017-05-19 12:05:20,2457893.004,null
2017-07-20 18:00:45,2457955.251,null
2017-07-20 22:14:31,2457955.427,null
2017-07-21 00:01:16,2457955.501,null
2017-08-14 10:20:36,2457979.931,null
2017-08-14 12:07:22,2457980.005,null
2017-09-16 05:49:18,2458012.743,null
2017-09-16 10:03:04,2458012.919,null
2017-10-24 15:12:31,2458051.134,null
2017-10-24 16:59:17,2458051.208,null
2017-11-06 21:19:31,2458064.389,null
2017-11-06 23:06:16,2458064.463,null
2017-12-25 01:39:05,2458112.569,null
2017-12-25 03:25:50,2458112.643,null
2017-12-25 07:38:59,2458112.819,null
2017-12-25 09:25:44,2458112.893,null
2017-12-25 13:39:29,2458113.069,null
2017-12-25 15:26:14,2458113.143,null
2017-12-25 19:39:58,2458113.319,null
2017-12-25 21:26:08,2458113.393,null
2017-12-26 01:39:53,2458113.569,null
2017-12-26 03:26:38,2458113.643,null
2017-12-26 07:40:23,2458113.820,null
2017-12-26 09:26:32,2458113.893,null
2017-12-26 13:40:17,2458114.070,null
2017-12-26 19:40:47,2458114.320,null
2018-03-04 07:56:12,2458181.831,null
2018-08-01 17:26:24,2458332.227,null
2018-08-01 19:12:34,2458332.300,null
2018-08-29 19:09:57,2458360.299,null
2018-09-27 11:11:22,2458388.966,null
2018-09-27 12:58:08,2458389.040,null
2018-11-07 10:09:13,2458429.923,null
2018-11-07 11:55:58,2458429.997,null
2018-11-16 06:02:15,2458438.752,null
2018-11-16 10:16:00,2458438.928,null
2019-01-02 08:30:34,2458485.855,null
2019-01-02 10:16:44,2458485.928,null
2019-01-09 16:22:08,2458493.182,null
2019-01-09 20:35:52,2458493.358,null
2019-01-09 22:22:37,2458493.432,null
2019-02-19 19:22:52,2458534.308,null
2019-03-18 14:52:37,2458561.120,null
2019-04-15 18:54:52,2458589.288,null
2019-04-15 20:41:02,2458589.362,null
2019-08-24 22:36:06,2458720.442,null
2019-08-25 00:22:52,2458720.516,null
2019-09-21 23:46:07,2458748.490,null
2019-09-22 01:32:18,2458748.564,null

