Gaia16bom
#Date,JD,averagemag.
2014-08-24 10:44:51,2456893.948,null
2014-08-24 12:31:01,2456894.022,null
2014-11-11 13:32:26,2456973.064,null
2014-11-11 17:46:11,2456973.240,null
2014-11-24 17:52:27,2456986.245,null
2014-11-24 19:38:37,2456986.318,null
2015-01-01 22:53:10,2457024.454,null
2015-01-30 00:25:03,2457052.517,null
2015-02-26 06:20:32,2457079.764,null
2015-04-18 10:17:16,2457130.929,null
2015-04-18 12:04:01,2457131.003,null
2015-04-18 16:17:46,2457131.179,null
2015-04-18 18:03:56,2457131.253,null
2015-04-18 22:17:41,2457131.429,null
2015-04-19 00:04:26,2457131.503,null
2015-05-05 22:29:11,2457148.437,null
2015-05-06 00:15:21,2457148.511,null
2015-05-06 04:29:05,2457148.687,null
2015-05-06 06:15:50,2457148.761,null
2015-06-20 10:03:39,2457193.919,null
2015-06-20 11:50:23,2457193.993,null
2015-07-23 11:24:45,2457226.976,null
2015-08-16 21:30:37,2457251.396,null
2015-08-16 23:16:47,2457251.470,null
2015-09-29 02:11:20,2457294.591,null
2015-09-29 03:58:05,2457294.665,null
2015-10-08 08:17:24,2457303.845,null
2015-10-08 10:04:09,2457303.920,null
2015-11-21 20:31:00,2457348.355,null
2015-11-22 00:44:46,2457348.531,null
2015-12-07 18:48:44,2457364.284,null
2015-12-07 20:35:29,2457364.358,null
2016-01-12 19:47:34,2457400.325,null
2016-02-13 13:27:38,2457432.061,null
2016-03-09 05:44:51,2457456.739,null
2016-03-09 07:31:36,2457456.814,null
2016-05-01 11:29:38,2457509.979,null
2016-05-01 13:16:23,2457510.053,null
2016-05-01 17:29:32,2457510.229,null
2016-05-01 19:16:17,2457510.303,null
2016-05-22 13:25:24,2457531.059,null
2016-05-22 17:39:09,2457531.236,null
2016-05-22 19:25:53,2457531.310,null
2016-07-01 11:12:22,2457570.967,null
2016-07-01 12:59:07,2457571.041,null
2016-08-05 22:35:44,2457606.441,null
2016-08-26 22:32:53,2457627.440,null
2016-08-27 00:19:38,2457627.514,null
