Gaia16brl
#Date,JD,averagemag.
2015-01-13 10:37:05,2457035.942,null
2015-01-13 12:23:15,2457036.016,null
2015-01-13 16:37:01,2457036.192,null
2015-01-13 18:23:46,2457036.267,null
2015-01-13 22:37:32,2457036.443,null
2015-01-18 10:41:37,2457040.946,null
2015-01-18 12:27:48,2457041.019,null
2015-01-18 16:41:33,2457041.196,null
2015-01-18 18:28:19,2457041.270,null
2015-02-28 11:34:08,2457081.982,null
2015-03-31 15:29:42,2457113.146,null
2015-03-31 17:16:27,2457113.220,null
2015-04-22 17:22:30,2457135.224,null
2015-04-22 21:36:15,2457135.400,null
2015-08-27 15:33:22,2457262.148,null
2015-08-27 17:20:07,2457262.222,null
2015-09-30 02:59:28,2457295.625,null
2015-09-30 04:46:13,2457295.699,null
2015-10-19 08:58:33,2457314.874,null
2016-01-21 01:19:18,2457408.555,null
2016-01-21 05:33:04,2457408.731,null
2016-02-02 23:39:55,2457421.486,null
2016-03-10 06:43:51,2457457.780,null
2016-04-16 04:34:26,2457494.691,null
2016-04-16 06:21:12,2457494.765,null
2016-04-16 10:34:58,2457494.941,null
2016-04-16 12:21:08,2457495.015,null
2016-05-01 06:32:05,2457509.772,null
2016-05-01 10:45:51,2457509.949,null
2016-05-01 12:32:01,2457510.022,null
2016-07-15 23:04:01,2457585.461,null
2016-07-16 00:50:46,2457585.535,null
2016-07-16 05:04:30,2457585.711,null
2016-07-16 06:51:15,2457585.786,null
2016-07-16 12:51:08,2457586.036,null
2016-07-29 06:59:16,2457598.791,null
2016-07-29 11:13:00,2457598.967,null
2016-07-29 12:59:44,2457599.041,null
2016-07-29 17:13:28,2457599.218,null
2016-09-06 22:42:01,2457638.446,null
2016-09-07 00:28:45,2457638.520,null
2016-10-13 15:54:32,2457675.163,null
2016-10-13 17:40:42,2457675.237,null
2016-10-27 15:58:37,2457689.166,18.15
2016-10-27 17:45:11,2457689.240,18.15
2017-01-29 06:34:06,2457782.774,null
2017-02-16 01:59:56,2457800.583,null
2017-02-16 03:46:42,2457800.657,null
2017-03-21 07:30:46,2457833.813,null
2017-07-25 07:34:28,2457959.816,null
2017-07-25 09:20:37,2457959.889,null
2017-07-25 13:34:21,2457960.066,null
2017-07-25 15:21:06,2457960.140,null
2017-08-16 01:38:28,2457981.568,null
2017-08-16 03:25:12,2457981.643,null
2017-09-18 01:12:25,2458014.550,null
2017-09-18 02:58:34,2458014.624,null
2017-10-28 18:12:28,2458055.259,null
2017-10-28 19:58:38,2458055.332,null
2017-10-29 00:12:22,2458055.509,null
2017-11-04 18:17:11,2458062.262,null
2017-11-04 20:03:56,2458062.336,null
2017-11-05 00:17:40,2458062.512,null
2017-11-05 02:03:50,2458062.586,null
2018-02-07 22:47:04,2458157.449,null
2018-03-02 08:58:23,2458179.874,null
2018-03-02 10:44:33,2458179.948,null
2018-04-01 08:42:07,2458209.863,null
2018-08-05 08:43:32,2458335.864,null
2018-08-05 10:30:17,2458335.938,null
2018-08-31 20:36:58,2458362.359,null
2019-02-18 04:07:43,2458532.672,null
2019-02-18 05:53:53,2458532.746,null
2019-03-16 21:57:25,2458559.415,null
2019-04-12 09:53:59,2458585.912,null
2019-08-23 07:48:36,2458718.825,null
2019-08-23 09:34:46,2458718.899,null
2019-09-20 04:37:58,2458746.693,null

