Gaia16btg
#Date,JD,averagemag.
2015-01-08 03:13:49,2457030.635,null
2015-01-08 05:00:34,2457030.709,null
2015-01-08 09:14:20,2457030.885,null
2015-02-12 14:51:52,2457066.119,null
2015-02-12 16:38:03,2457066.193,null
2015-03-19 20:12:09,2457101.342,null
2015-03-19 21:58:54,2457101.416,null
2015-04-06 08:16:29,2457118.845,null
2015-05-24 12:45:39,2457167.032,null
2015-05-24 14:32:24,2457167.106,null
2015-05-24 18:46:08,2457167.282,null
2015-05-24 20:32:53,2457167.356,null
2015-05-25 00:46:38,2457167.532,null
2015-05-25 02:32:48,2457167.606,null
2015-05-25 06:46:33,2457167.782,null
2015-05-25 08:33:18,2457167.856,null
2015-05-25 12:47:03,2457168.033,null
2015-05-25 14:33:13,2457168.106,null
2015-05-25 18:46:58,2457168.283,null
2015-05-25 20:33:43,2457168.357,null
2015-05-26 00:47:28,2457168.533,null
2015-05-26 02:33:38,2457168.607,null
2015-05-26 06:47:23,2457168.783,null
2015-05-26 08:34:08,2457168.857,null
2015-05-26 12:47:53,2457169.033,null
2015-05-26 14:34:38,2457169.107,null
2015-05-26 18:47:48,2457169.283,null
2015-05-26 20:34:33,2457169.357,null
2015-05-27 00:48:17,2457169.534,null
2015-05-27 02:35:02,2457169.608,null
2015-05-27 06:48:47,2457169.784,null
2015-07-14 05:22:16,2457217.724,null
2015-07-14 07:09:01,2457217.798,null
2015-08-04 11:19:09,2457238.972,null
2015-08-04 13:05:53,2457239.046,null
2015-09-07 22:44:58,2457273.448,null
2015-10-19 16:16:37,2457315.178,null
2015-10-19 18:03:22,2457315.252,null
2015-10-19 22:17:06,2457315.429,null
2015-10-20 00:03:16,2457315.502,null
2015-11-04 04:27:07,2457330.685,null
2015-11-04 06:13:17,2457330.759,null
2015-11-04 10:27:01,2457330.935,null
2015-11-04 12:13:46,2457331.010,null
2015-12-30 16:15:46,2457387.178,null
2015-12-30 18:02:31,2457387.252,null
2015-12-30 22:15:42,2457387.428,null
2016-01-23 16:19:02,2457411.180,null
2016-01-23 18:05:47,2457411.254,null
2016-02-23 17:47:30,2457442.241,null
2016-04-01 15:09:36,2457480.132,null
2016-04-01 16:56:22,2457480.206,null
2016-04-15 11:02:37,2457493.960,null
2016-04-15 15:16:23,2457494.136,null
2016-06-02 19:38:20,2457542.318,null
2016-06-02 21:25:05,2457542.392,null
2016-06-03 01:38:50,2457542.569,null
2016-06-03 03:25:34,2457542.643,null
2016-06-08 15:30:00,2457548.146,null
2016-06-08 19:43:45,2457548.322,null
2016-06-08 21:29:55,2457548.396,null
2016-06-09 01:43:40,2457548.572,null
2016-07-24 06:25:01,2457593.767,null
2016-08-18 00:16:08,2457618.511,null
2016-08-18 02:02:18,2457618.585,null
2016-09-18 13:39:58,2457650.069,null
2016-11-07 13:17:14,2457700.054,19.15
2016-11-07 17:30:54,2457700.230,19.10
2016-11-07 19:17:28,2457700.304,19.08
2016-11-07 23:31:08,2457700.480,19.03
2016-11-08 01:17:42,2457700.554,19.06
2016-11-08 05:31:22,2457700.730,18.97
2016-11-08 07:17:56,2457700.804,18.96
2016-11-08 11:31:36,2457700.980,18.99
2016-11-08 13:18:10,2457701.054,18.93
2016-11-08 17:31:50,2457701.230,18.93
2016-11-08 19:18:24,2457701.304,18.90
2016-11-08 23:32:03,2457701.481,18.88
2016-11-09 05:32:17,2457701.731,18.86
2016-11-13 23:36:30,2457706.484,18.41
2016-11-14 05:36:44,2457706.734,18.42
2016-11-14 07:23:18,2457706.808,18.41
2016-11-14 11:36:57,2457706.984,18.40
2016-11-14 13:23:32,2457707.058,18.38
2016-11-14 17:37:11,2457707.234,18.33
2016-11-14 19:23:46,2457707.308,18.37
2016-11-14 23:37:25,2457707.484,18.37
2016-11-15 01:24:00,2457707.558,18.37
2016-11-15 05:37:40,2457707.734,18.36
2016-11-15 07:24:14,2457707.808,18.37
2016-11-15 11:37:54,2457707.985,18.35
2016-11-15 13:24:28,2457708.059,18.38
2017-01-10 01:13:00,2457763.551,20.16
2017-01-10 05:26:41,2457763.727,20.12
2017-02-06 05:21:10,2457790.723,null
2017-02-06 07:07:30,2457790.797,20.53
2017-03-05 18:31:15,2457818.272,null
2017-04-15 05:28:35,2457858.728,null
2017-04-15 07:15:21,2457858.802,null
2017-04-15 11:29:06,2457858.979,null
2017-04-25 13:22:21,2457869.057,null
2017-04-25 17:36:07,2457869.233,null
2017-06-12 21:54:57,2457917.413,null
2017-06-12 23:41:42,2457917.487,null
2017-06-22 22:01:04,2457927.417,null
2017-06-22 23:47:49,2457927.492,null
2017-08-04 10:39:00,2457969.944,null
2017-09-01 20:36:25,2457998.359,null
2017-09-30 08:25:29,2458026.851,null
2017-09-30 10:11:38,2458026.925,null
2017-11-25 15:56:32,2458083.164,null
2017-11-25 21:57:02,2458083.415,null
2017-11-26 02:10:47,2458083.591,null
2017-11-26 03:56:57,2458083.665,null
2017-11-26 08:10:42,2458083.841,null
2017-11-26 09:57:27,2458083.915,null
2017-11-26 14:11:12,2458084.091,null
2017-11-26 15:57:57,2458084.165,null
2017-11-26 20:11:07,2458084.341,null
2017-11-26 21:57:53,2458084.415,null
2017-11-27 02:11:38,2458084.591,null
2017-11-27 03:58:23,2458084.666,null
2017-11-27 08:11:33,2458084.841,null
2017-11-27 09:58:18,2458084.915,null
2017-11-27 14:12:03,2458085.092,null
2017-11-27 20:12:33,2458085.342,null
2017-11-28 02:12:28,2458085.592,null
2017-11-28 08:12:59,2458085.842,null
2017-11-30 08:14:40,2458087.844,null
2017-11-30 14:14:36,2458088.093,null
2017-11-30 20:15:06,2458088.344,null
2017-11-30 22:01:51,2458088.418,null
2017-12-01 02:15:36,2458088.594,null
2017-12-01 04:01:46,2458088.668,null
2017-12-01 08:15:31,2458088.844,null
2017-12-01 10:02:16,2458088.918,null
2017-12-01 14:16:02,2458089.094,null
2017-12-01 16:02:12,2458089.168,null
2017-12-01 20:15:57,2458089.344,null
2017-12-01 22:02:42,2458089.419,null
2017-12-02 02:16:27,2458089.595,null
2017-12-02 04:02:37,2458089.668,null
2017-12-02 08:16:23,2458089.845,null
2017-12-02 10:03:08,2458089.919,null
2017-12-02 14:16:53,2458090.095,null
2017-12-02 16:03:38,2458090.169,null
2018-01-21 09:46:32,2458139.907,null
2018-01-21 14:00:18,2458140.084,null
2018-03-16 13:37:47,2458194.068,null
2018-04-29 00:24:59,2458237.517,null
2018-04-29 02:11:45,2458237.591,null
2018-04-29 06:24:55,2458237.767,null
2018-04-29 08:11:40,2458237.841,null
2018-05-05 08:16:51,2458243.845,null
2018-05-05 12:30:37,2458244.021,null
2018-05-05 14:17:22,2458244.095,null
2018-05-05 18:30:32,2458244.271,null
2018-06-23 04:51:25,2458292.702,null
2018-06-23 06:37:34,2458292.776,null
2018-07-07 00:43:13,2458306.530,null
2018-07-07 04:56:57,2458306.706,null
2018-08-15 21:58:44,2458346.416,null
2018-08-15 23:44:54,2458346.490,null
2018-09-16 21:35:35,2458378.400,null
2018-09-16 23:22:19,2458378.474,null
2018-10-12 03:35:03,2458403.649,null
2018-10-12 05:21:48,2458403.723,null
2018-12-07 21:22:01,2458460.390,null
2018-12-07 23:08:46,2458460.464,null
2018-12-08 03:21:56,2458460.640,null
2018-12-08 05:08:42,2458460.714,null
2018-12-08 09:22:27,2458460.891,null
2018-12-22 09:32:57,2458474.898,null
2018-12-22 11:19:43,2458474.972,null
2018-12-22 15:33:28,2458475.148,null
2018-12-22 17:20:14,2458475.222,null
2019-02-01 16:57:01,2458516.206,null
2019-03-27 02:42:32,2458569.613,null
2019-03-27 04:28:43,2458569.687,null
2019-05-12 19:20:31,2458616.306,null
2019-05-12 21:07:16,2458616.380,null
2019-05-13 01:21:01,2458616.556,null
2019-05-13 03:07:46,2458616.630,null
2019-05-13 07:20:57,2458616.806,null
2019-05-13 09:07:42,2458616.880,null
2019-05-13 13:21:27,2458617.057,null
2019-05-13 15:08:12,2458617.131,null
2019-05-13 19:21:57,2458617.307,null
2019-05-13 21:08:07,2458617.381,null
2019-05-14 03:08:37,2458617.631,null
2019-05-14 09:08:32,2458617.881,null
2019-05-14 15:09:03,2458618.131,null
2019-05-14 19:22:48,2458618.308,null
2019-05-14 21:08:58,2458618.381,null
2019-05-15 01:22:43,2458618.557,null
2019-05-15 03:09:28,2458618.632,null
2019-05-15 07:23:13,2458618.808,null
2019-05-15 09:09:58,2458618.882,null
2019-05-15 13:23:08,2458619.058,null
2019-05-15 15:09:53,2458619.132,null
2019-05-15 19:23:38,2458619.308,null
2019-07-03 17:49:58,2458668.243,null
2019-07-03 19:36:43,2458668.317,null
2019-08-06 02:13:34,2458701.593,null
2019-08-06 04:00:19,2458701.667,null
2019-09-09 09:45:29,2458735.907,null
2019-09-30 10:25:02,2458756.934,null

