Gaia16bto
#Date,JD,averagemag.
2015-02-16 17:52:06,2457070.245,null
2015-02-16 19:38:50,2457070.319,null
2015-03-19 13:11:36,2457101.050,null
2015-04-10 17:19:05,2457123.222,null
2015-04-10 19:05:49,2457123.296,null
2015-07-18 21:55:39,2457222.414,null
2015-07-19 02:09:24,2457222.590,null
2015-07-31 02:16:51,2457234.595,null
2015-07-31 04:03:36,2457234.669,null
2015-09-08 15:16:06,2457274.136,null
2015-10-12 13:10:08,2457308.049,null
2015-10-12 14:56:54,2457308.123,null
2015-11-01 21:04:46,2457328.378,null
2015-11-02 01:18:32,2457328.555,null
2015-11-02 03:05:18,2457328.629,null
2016-01-08 13:24:43,2457396.059,null
2016-01-08 19:25:12,2457396.309,null
2016-01-08 21:11:22,2457396.383,null
2016-01-09 01:25:06,2457396.559,null
2016-01-09 03:11:51,2457396.633,null
2016-01-09 07:25:35,2457396.809,null
2016-01-09 09:11:45,2457396.883,null
2016-01-16 15:17:37,2457404.137,null
2016-01-16 19:31:21,2457404.313,null
2016-01-16 21:18:06,2457404.388,null
2016-01-17 01:31:50,2457404.564,null
2016-01-17 03:18:00,2457404.638,null
2016-01-17 07:31:44,2457404.814,null
2016-02-27 19:00:58,2457446.292,null
2016-02-27 20:47:08,2457446.366,null
2016-04-01 20:06:47,2457480.338,null
2016-04-19 20:07:45,2457498.339,null
2016-07-27 16:55:49,2457597.205,null
2016-07-27 21:09:35,2457597.382,null
2016-08-13 21:14:50,2457614.385,null
2016-08-13 23:01:36,2457614.459,null
2016-09-18 22:26:49,2457650.435,null
2016-10-28 20:17:23,2457690.345,null
2016-10-28 22:04:08,2457690.420,null
2016-10-29 02:17:27,2457690.595,20.22
2016-10-29 04:04:01,2457690.669,19.98
2016-11-09 22:13:40,2457702.426,19.00
2016-11-10 02:27:20,2457702.602,18.99
2016-11-10 04:13:55,2457702.676,18.95
2016-11-10 08:27:35,2457702.852,18.99
2016-11-10 10:14:10,2457702.927,18.97
2016-11-10 14:27:51,2457703.103,19.00
2017-01-15 20:31:20,2457769.355,19.52
2017-01-15 22:17:54,2457769.429,19.49
2017-01-16 02:31:33,2457769.605,19.44
2017-01-16 04:18:07,2457769.679,19.44
2017-02-03 08:37:52,2457787.860,19.59
2017-02-03 10:24:26,2457787.934,19.59
2017-03-09 17:17:44,2457822.221,null
2017-04-16 08:37:32,2457859.859,null
2017-04-29 14:43:05,2457873.113,null
2017-04-29 16:29:49,2457873.187,null
2017-08-07 01:21:44,2457972.557,null
2017-09-30 05:13:36,2458026.718,null
2017-09-30 07:00:22,2458026.792,null
2018-01-26 05:02:57,2458144.710,null
2018-01-26 06:49:41,2458144.785,null
2018-03-20 16:38:05,2458198.193,null
2018-03-20 18:24:14,2458198.267,null
2018-05-01 05:19:40,2458239.722,null
2018-05-01 09:33:24,2458239.898,null
2018-05-01 11:19:34,2458239.972,null
2018-05-08 03:38:17,2458246.652,null
2018-05-08 05:25:01,2458246.726,null
2018-05-08 09:38:11,2458246.902,null
2018-05-08 11:24:56,2458246.976,null
2018-08-17 18:40:59,2458348.278,null
2018-09-12 06:35:22,2458373.775,null
2018-09-12 08:22:08,2458373.849,null
2018-10-11 12:25:22,2458403.018,null
2018-10-11 14:11:33,2458403.091,null
2019-02-06 00:12:08,2458520.508,null
2019-02-06 01:58:52,2458520.583,null
2019-03-05 11:58:09,2458547.999,null
2019-03-05 13:44:53,2458548.073,null
2019-03-31 11:43:33,2458573.989,null
2019-07-10 20:42:42,2458675.363,null
2019-07-10 22:29:28,2458675.437,null
2019-07-11 02:43:13,2458675.613,null
2019-07-11 04:29:23,2458675.687,null
2019-07-11 08:43:09,2458675.863,null
2019-07-15 02:46:48,2458679.616,null
2019-07-15 08:47:19,2458679.866,null
2019-07-15 10:33:29,2458679.940,null
2019-07-15 14:47:15,2458680.116,null
2019-07-15 16:34:00,2458680.190,null
2019-08-10 13:06:49,2458706.046,null
2019-08-10 17:20:35,2458706.223,null
2019-09-08 14:15:35,2458735.094,null

