Gaia16buq
#Date,JD,averagemag.
2014-07-29 08:45:11,2456867.865,null
2014-07-29 10:31:57,2456867.939,null
2014-07-29 14:45:08,2456868.115,null
2014-07-29 16:31:53,2456868.189,null
2014-07-29 20:45:39,2456868.365,null
2014-07-29 22:32:24,2456868.439,null
2014-07-30 02:46:10,2456868.615,null
2014-11-11 13:33:43,2456973.065,null
2014-11-11 15:19:53,2456973.139,null
2014-11-11 19:33:37,2456973.315,null
2015-01-22 19:52:45,2457045.328,null
2015-01-23 00:06:29,2457045.505,null
2015-01-31 18:11:31,2457054.258,null
2015-01-31 19:58:15,2457054.332,null
2015-05-07 20:42:54,2457150.363,null
2015-05-07 22:29:40,2457150.437,null
2015-06-30 10:11:19,2457203.925,null
2015-11-04 20:34:09,2457331.357,null
2015-11-04 22:20:53,2457331.431,null
2015-11-27 08:32:13,2457353.856,null
2015-11-27 10:18:58,2457353.930,null
2016-05-17 03:49:06,2457525.659,null
2016-05-17 05:35:51,2457525.733,null
2016-06-11 15:44:54,2457551.156,null
2016-07-10 15:36:26,2457580.150,null
2016-07-10 17:23:11,2457580.224,null
2016-11-14 03:42:27,2457706.654,18.69
2016-11-14 05:29:01,2457706.728,18.68
2016-12-10 23:14:45,2457733.469,19.24
2017-01-04 15:14:29,2457758.135,null
2017-01-04 17:00:55,2457758.209,untrusted
2017-05-28 00:20:26,2457901.514,null
2017-06-27 00:07:47,2457931.505,null
2017-06-27 01:53:57,2457931.579,null
2017-07-21 13:56:44,2457956.081,null
2017-07-21 18:10:30,2457956.257,null
2017-11-24 20:00:14,2458082.333,null
2017-12-25 05:45:59,2458112.740,null
2018-01-14 11:41:27,2458132.987,null
2018-01-14 13:27:37,2458133.061,null
2018-04-20 08:10:13,2458228.840,null
2018-04-20 09:56:23,2458228.914,null
2018-04-20 14:10:09,2458229.090,null
2018-04-27 20:16:31,2458236.345,null
2018-04-27 22:03:16,2458236.419,null
2018-06-08 01:30:41,2458277.563,null
2018-07-13 07:10:24,2458312.799,null
2018-07-13 08:56:35,2458312.873,null
2018-07-31 15:06:53,2458331.130,null
2018-07-31 19:20:39,2458331.306,null
2018-07-31 21:07:25,2458331.380,null
2018-12-05 13:22:19,2458458.057,null
2018-12-05 15:09:03,2458458.131,null
2019-01-08 08:26:40,2458491.852,null
2019-01-08 12:39:49,2458492.028,null
2019-01-23 18:43:00,2458507.280,null
2019-01-23 20:29:09,2458507.354,null
2019-04-28 10:54:42,2458601.955,null
2019-04-28 15:08:28,2458602.131,null
2019-05-13 15:15:29,2458617.136,null
2019-05-13 17:02:15,2458617.210,null
2019-06-19 08:41:29,2458653.862,null
2019-07-27 10:24:34,2458691.934,null
2019-07-27 12:10:44,2458692.007,null

