Gaia16buu
#Date,JD,averagemag.
2015-02-20 08:36:49,2457073.859,null
2015-02-20 10:23:00,2457073.933,null
2015-03-17 02:36:31,2457098.609,null
2015-03-17 04:23:17,2457098.683,null
2015-04-14 20:23:25,2457127.350,null
2015-04-14 22:10:11,2457127.424,null
2015-09-11 10:22:20,2457276.932,null
2015-09-11 12:09:04,2457277.006,null
2015-10-07 22:07:59,2457303.422,null
2015-10-07 23:54:44,2457303.496,null
2015-11-04 03:55:11,2457330.663,null
2015-11-04 05:41:56,2457330.737,null
2016-03-02 03:48:04,2457449.658,null
2016-03-02 05:34:14,2457449.732,null
2016-03-30 21:36:37,2457478.400,null
2016-03-30 23:23:23,2457478.475,null
2016-04-24 15:31:52,2457503.147,null
2016-08-04 12:28:01,2457605.019,null
2016-08-04 14:14:46,2457605.094,null
2016-08-04 18:28:30,2457605.270,null
2016-08-04 20:14:40,2457605.344,null
2016-08-05 00:28:24,2457605.520,null
2016-08-05 02:15:09,2457605.594,null
2016-08-08 08:17:55,2457608.846,null
2016-08-08 12:31:39,2457609.022,null
2016-08-08 14:17:49,2457609.096,null
2016-08-08 18:31:33,2457609.272,null
2016-08-08 20:18:18,2457609.346,null
2016-08-09 00:32:02,2457609.522,null
2016-08-09 02:18:47,2457609.596,null
2016-10-21 23:05:03,2457683.462,null
2016-11-13 18:50:36,2457706.285,16.60
2016-11-13 23:04:15,2457706.461,16.35
2016-11-14 00:50:49,2457706.535,16.35
2017-03-13 02:07:51,2457825.589,null
2017-03-13 06:21:37,2457825.765,null
2017-04-14 11:57:50,2457857.998,null
2017-04-14 13:44:36,2457858.073,null
2017-05-04 23:59:40,2457878.500,null
2017-05-05 01:46:26,2457878.574,null
2017-08-12 08:45:07,2457977.865,null
2017-08-12 10:31:17,2457977.938,null
2017-08-25 02:50:50,2457990.619,null
2017-08-25 04:37:35,2457990.693,null
2017-10-02 07:58:10,2458028.832,null
2017-10-02 09:44:54,2458028.906,null
2017-11-06 19:27:41,2458064.311,null
2017-11-06 21:14:26,2458064.385,null
2017-11-23 13:35:13,2458081.066,null
2017-11-23 15:21:57,2458081.140,null
2017-11-23 19:35:07,2458081.316,null
2017-11-23 21:21:51,2458081.390,null
2018-02-01 21:33:13,2458151.398,null
2018-02-02 01:46:58,2458151.574,null
2018-02-02 03:33:09,2458151.648,null
2018-02-02 07:46:54,2458151.824,null
2018-02-02 09:33:40,2458151.898,null
2018-02-12 07:56:01,2458161.831,null
2018-02-12 13:55:57,2458162.081,null
2018-02-12 15:42:42,2458162.155,null
2018-02-12 19:56:28,2458162.331,null
2018-02-12 21:42:38,2458162.405,null
2018-03-24 03:19:13,2458201.638,null
2018-03-24 07:32:24,2458201.814,null
2018-04-29 00:56:06,2458237.539,null
2018-04-29 02:42:52,2458237.613,null
2018-05-14 20:49:03,2458253.367,null
2018-05-15 01:02:49,2458253.544,null
2018-08-21 21:44:24,2458352.406,null
2018-08-21 23:30:34,2458352.480,null
2018-09-08 21:45:53,2458370.407,null
2018-09-08 23:32:02,2458370.481,null
2018-10-13 10:53:05,2458404.954,null
2019-02-10 08:54:29,2458524.871,null
2019-02-10 10:41:15,2458524.945,null
2019-02-10 14:55:01,2458525.122,null
2019-03-02 03:03:13,2458544.627,null
2019-03-02 04:49:58,2458544.701,null
2019-04-04 04:29:27,2458577.687,null
2019-04-04 08:43:13,2458577.863,null
2019-05-14 01:54:03,2458617.579,null
2019-05-14 03:40:48,2458617.653,null
2019-05-23 21:48:15,2458627.409,null
2019-05-24 02:02:01,2458627.585,null
2019-05-24 03:48:47,2458627.659,null
2019-08-15 02:46:16,2458710.615,null
2019-08-15 04:32:25,2458710.689,null
2019-08-15 08:46:09,2458710.865,null
2019-09-05 03:16:54,2458731.637,null
2019-09-05 05:03:39,2458731.711,null

