Gaia16bvs
#Date,JD,averagemag.
2015-01-14 18:19:54,2457037.264,null
2015-02-09 06:04:31,2457062.753,null
2015-02-09 07:51:15,2457062.827,null
2015-03-24 18:36:04,2457106.275,null
2015-03-24 22:49:49,2457106.451,null
2015-03-25 00:36:34,2457106.525,null
2015-03-25 04:49:43,2457106.701,null
2015-03-25 06:36:28,2457106.775,null
2015-03-25 10:50:12,2457106.952,null
2015-03-25 16:50:07,2457107.201,null
2015-03-27 10:51:47,2457108.953,null
2015-03-27 16:52:16,2457109.203,null
2015-03-27 18:38:26,2457109.277,null
2015-03-27 22:52:10,2457109.453,null
2015-03-28 00:38:55,2457109.527,null
2015-03-28 04:52:40,2457109.703,null
2015-03-28 06:39:25,2457109.777,null
2015-05-18 04:53:57,2457160.704,null
2015-05-18 09:07:42,2457160.880,null
2015-05-18 10:54:27,2457160.954,null
2015-05-26 21:14:41,2457169.385,null
2015-05-26 23:00:51,2457169.459,null
2015-07-08 14:16:21,2457212.095,null
2015-08-07 14:03:09,2457242.086,null
2015-08-07 15:49:54,2457242.160,null
2015-09-03 08:03:10,2457268.836,null
2015-09-03 09:49:56,2457268.910,null
2015-12-29 03:29:35,2457385.646,null
2016-01-28 19:15:48,2457416.303,null
2016-02-19 19:08:30,2457438.298,null
2016-05-26 22:04:50,2457535.420,null
2016-05-26 23:51:00,2457535.494,null
2016-06-09 16:12:21,2457549.175,null
2016-06-09 17:58:31,2457549.249,null
2016-07-18 23:11:58,2457588.467,null
2016-08-22 09:06:47,2457622.880,null
2016-08-22 10:53:33,2457622.954,null
2016-09-13 17:01:21,2457645.209,null
2016-09-13 21:15:06,2457645.385,null
2016-09-13 23:01:52,2457645.460,null
2016-11-16 03:12:38,2457708.634,17.68
2016-11-16 04:59:12,2457708.708,17.68
2016-11-16 09:12:52,2457708.884,17.71
2016-11-16 10:59:26,2457708.958,17.73
2016-11-28 23:08:02,2457721.464,18.42
2016-11-29 03:21:41,2457721.640,18.39
2016-11-29 05:08:15,2457721.714,untrusted
2016-11-29 09:21:54,2457721.890,18.40
2016-11-29 11:08:28,2457721.964,untrusted
2017-01-08 02:51:03,2457761.619,19.91
2017-01-08 04:37:37,2457761.693,20.02
2017-02-10 15:33:31,2457795.148,null
2017-02-28 21:32:41,2457813.398,null
2017-02-28 23:19:26,2457813.472,null
2017-06-24 06:32:33,2457928.773,null
2017-06-24 08:19:19,2457928.847,null
2017-07-30 13:44:47,2457965.073,null
2017-09-08 11:36:48,2458004.984,null
2017-09-08 13:22:59,2458005.058,null
2017-09-08 17:36:44,2458005.234,null
2017-09-08 19:23:30,2458005.308,null
2017-09-24 11:48:13,2458020.992,null
2017-09-24 13:34:58,2458021.066,null
2017-09-24 17:48:09,2458021.242,null
2017-09-24 19:34:54,2458021.316,null
2017-11-26 05:44:19,2458083.739,null
2017-11-26 07:31:04,2458083.813,null
2017-11-26 11:44:48,2458083.989,null
2017-11-26 13:30:58,2458084.063,null
2017-12-16 07:36:49,2458103.817,null
2017-12-16 11:49:58,2458103.993,null
2018-03-10 16:31:56,2458188.189,null
2018-03-10 18:18:41,2458188.263,null
2018-06-16 13:31:14,2458286.063,null
2018-06-16 15:17:24,2458286.137,null
2018-07-08 19:31:15,2458308.313,null
2018-07-08 21:17:26,2458308.387,null
2018-08-11 07:09:05,2458341.798,null
2018-12-07 06:53:37,2458459.787,null
2018-12-07 08:40:22,2458459.861,null
2018-12-31 14:36:59,2458484.109,null
2019-01-30 00:27:49,2458513.519,null
2019-03-10 07:09:19,2458552.798,null
2019-03-10 11:23:03,2458552.974,null
2019-03-19 23:28:36,2458562.478,null
2019-03-20 01:14:46,2458562.552,null
2019-03-20 05:28:30,2458562.728,null
2019-03-20 07:15:15,2458562.802,null
2019-06-27 14:37:04,2458662.109,null
2019-08-03 00:37:21,2458698.526,null
2019-08-03 04:51:07,2458698.702,null
2019-09-13 13:13:58,2458740.051,null
2019-09-13 15:00:08,2458740.125,null
2019-09-23 01:25:57,2458749.560,null
2019-09-23 03:12:42,2458749.634,null
2019-09-23 07:26:28,2458749.810,null

