Gaia16bxc
#Date,JD,averagemag.
2014-10-30 16:29:24,2456961.187,null
2014-11-30 16:05:23,2456992.170,null
2015-02-20 03:53:07,2457073.662,null
2015-02-20 08:06:17,2457073.838,null
2015-02-20 09:53:03,2457073.912,null
2015-02-20 14:06:48,2457074.088,null
2015-02-20 15:53:33,2457074.162,null
2015-02-20 20:07:18,2457074.338,null
2015-03-05 14:17:36,2457087.096,null
2015-03-05 16:03:47,2457087.169,null
2015-03-05 20:17:32,2457087.346,null
2015-03-05 22:04:17,2457087.420,null
2015-04-17 13:56:14,2457130.081,null
2015-06-11 19:30:23,2457185.313,null
2015-06-11 21:16:33,2457185.386,null
2015-09-19 04:35:40,2457284.691,null
2015-10-06 04:37:57,2457301.693,null
2015-11-10 21:50:20,2457337.410,null
2015-12-15 23:07:28,2457372.464,null
2015-12-16 03:21:12,2457372.640,null
2015-12-16 05:07:22,2457372.713,null
2016-01-04 15:27:59,2457392.144,null
2016-01-04 17:14:09,2457392.218,null
2016-01-04 21:27:53,2457392.394,null
2016-01-04 23:14:38,2457392.468,null
2016-03-02 11:04:09,2457449.961,null
2016-03-02 15:17:55,2457450.137,null
2016-03-02 17:04:05,2457450.211,null
2016-03-22 09:27:46,2457469.894,null
2016-03-22 11:14:32,2457469.968,null
2016-04-28 03:06:42,2457506.630,null
2016-04-28 04:52:53,2457506.703,null
2016-06-03 20:27:46,2457543.353,null
2016-06-03 22:14:31,2457543.427,null
2016-06-21 14:33:11,2457561.106,null
2016-09-28 11:36:28,2457659.984,null
2016-09-28 13:22:38,2457660.057,null
2016-10-19 01:19:43,2457680.555,null
2016-11-20 22:57:22,2457713.457,17.97
2016-11-21 00:43:56,2457713.531,18.00
2017-01-01 04:28:08,2457754.686,null
2017-01-01 06:14:53,2457754.760,null
2017-01-01 10:28:37,2457754.937,null
2017-01-01 12:14:47,2457755.010,null
2017-01-14 16:37:36,2457768.193,null
2017-01-14 18:23:56,2457768.267,untrusted
2017-01-14 22:38:05,2457768.443,null
2017-01-15 00:24:15,2457768.517,null
2017-03-13 23:51:23,2457826.494,null
2017-03-14 01:38:09,2457826.568,null
2017-03-14 05:51:19,2457826.744,null
2017-04-07 11:55:43,2457850.997,null
2017-05-09 13:25:06,2457883.059,null
2017-06-18 04:47:54,2457922.700,null
2017-06-18 06:34:40,2457922.774,null
2017-07-01 22:55:18,2457936.455,null
2017-07-02 00:42:04,2457936.529,null
2017-08-20 15:17:16,2457986.137,null
2017-08-20 17:03:26,2457986.211,null
2017-08-20 21:17:11,2457986.387,null
2017-08-20 23:03:56,2457986.461,null
2017-08-21 05:03:50,2457986.711,null
2017-08-24 17:07:14,2457990.213,null
2017-08-24 21:20:59,2457990.390,null
2017-08-24 23:07:08,2457990.463,null
2017-08-25 03:20:53,2457990.640,null
2017-08-25 05:07:38,2457990.714,null
2017-08-25 09:21:23,2457990.890,null
2017-10-09 03:48:22,2458035.659,null
2017-11-02 01:51:47,2458059.578,null
2017-11-02 03:37:56,2458059.651,null
2017-12-02 07:28:42,2458089.812,null
2017-12-02 09:14:52,2458089.885,null
2018-03-25 14:48:53,2458203.117,null
2018-04-22 12:57:44,2458231.040,null
2018-04-22 14:44:30,2458231.114,null
2018-05-21 00:47:03,2458259.533,null
2018-07-02 11:44:59,2458301.990,null
2018-07-02 13:31:44,2458302.064,null
2018-07-11 23:52:11,2458311.495,null
2018-07-12 01:38:57,2458311.569,null
2018-07-12 05:52:42,2458311.745,null
2018-08-30 04:10:02,2458360.674,null
2018-08-30 05:56:46,2458360.748,null
2018-08-30 10:10:31,2458360.924,null
2018-09-08 06:02:22,2458369.752,17.60
2018-09-08 10:16:24,2458369.928,null
2018-09-08 12:02:35,2458370.002,17.60
2018-11-16 08:48:48,2458438.867,null
2018-12-13 14:37:43,2458466.110,null
2018-12-13 16:23:53,2458466.183,null
2019-04-06 04:00:22,2458579.667,null
2019-04-06 08:14:08,2458579.843,null
2019-05-07 07:58:43,2458610.832,null
2019-06-01 03:40:15,2458635.653,null

