Gaia16bxw
#Date,JD,averagemag.
2014-07-25 10:34:21,2456863.941,null
2014-07-25 16:34:50,2456864.191,null
2014-07-25 18:21:35,2456864.265,null
2014-07-25 22:34:44,2456864.441,null
2014-07-26 00:21:28,2456864.515,null
2014-07-26 04:35:12,2456864.691,null
2014-07-26 06:21:57,2456864.765,null
2014-11-04 01:04:01,2456965.544,null
2014-11-04 05:17:12,2456965.720,null
2014-11-23 05:20:02,2456984.722,null
2014-11-23 07:06:13,2456984.796,null
2015-04-25 22:55:04,2457138.455,null
2015-04-26 00:41:49,2457138.529,null
2015-04-26 04:55:33,2457138.705,null
2015-05-18 18:42:56,2457161.280,null
2015-06-19 16:32:54,2457193.190,null
2015-06-19 18:19:03,2457193.263,null
2015-08-03 23:18:32,2457238.471,null
2015-08-04 05:19:01,2457238.722,null
2015-08-04 09:32:45,2457238.898,null
2015-08-04 11:18:55,2457238.971,null
2015-08-04 15:32:39,2457239.148,null
2015-08-04 17:19:24,2457239.222,null
2015-08-04 21:33:08,2457239.398,null
2015-08-04 23:19:17,2457239.472,null
2015-08-05 05:19:46,2457239.722,null
2015-08-05 11:20:15,2457239.972,null
2015-11-14 00:22:55,2457340.516,null
2015-11-14 02:09:06,2457340.590,null
2015-12-07 12:17:58,2457364.012,null
2016-01-04 18:05:36,2457392.254,null
2016-05-05 18:04:13,2457514.253,null
2016-05-05 19:50:58,2457514.327,null
2016-06-02 07:40:22,2457541.820,null
2016-06-29 17:39:23,2457569.236,null
2016-06-29 19:26:08,2457569.310,null
2016-11-23 07:30:06,2457715.813,18.84
2016-11-23 09:16:41,2457715.887,18.74
2016-12-20 19:17:39,2457743.304,null
2016-12-20 21:03:50,2457743.378,null
2017-01-14 03:02:38,2457767.627,null
2017-01-14 07:16:24,2457767.803,null
2017-06-17 09:59:04,2457921.916,null
2017-06-17 14:12:48,2457922.092,null
2017-10-17 18:32:23,2458044.272,20.67
2017-10-17 22:46:04,2458044.449,untrusted
2017-10-18 00:32:39,2458044.523,21.01
2017-10-18 04:46:48,2458044.699,null
2017-10-24 22:52:41,2458051.453,null
2017-10-25 00:38:52,2458051.527,null
2017-10-25 04:52:38,2458051.703,null
2017-10-25 06:39:23,2458051.777,null
2017-12-03 22:01:50,2458091.418,null
2018-01-04 21:41:07,2458123.404,null
2018-01-04 23:27:53,2458123.478,null
2018-01-24 03:48:56,2458142.659,null
2018-01-24 05:35:41,2458142.733,null
2018-05-28 09:45:00,2458266.906,18.78
2018-07-02 10:54:26,2458301.954,null
2018-07-20 15:09:37,2458320.132,null
2018-07-20 16:56:21,2458320.206,null
2018-10-25 23:44:02,2458417.489,null
2018-10-26 01:30:12,2458417.563,null
2018-11-09 05:51:13,2458431.744,null
2018-11-09 07:37:23,2458431.818,null
2018-12-14 12:58:26,2458467.041,null
2019-01-21 22:47:29,2458505.450,null
2019-01-22 00:34:14,2458505.524,null
2019-01-22 04:48:00,2458505.700,null
2019-01-22 06:34:11,2458505.774,null
2019-01-31 18:42:54,2458515.280,null
2019-01-31 22:56:05,2458515.456,null
2019-02-01 00:42:50,2458515.530,null
2019-02-01 04:56:36,2458515.706,null
2019-02-01 06:43:21,2458515.780,null
2019-02-01 10:57:07,2458515.956,null
2019-04-16 17:16:00,2458590.219,null
2019-04-16 19:02:45,2458590.294,null
2019-04-16 23:16:29,2458590.470,null
2019-04-17 01:02:39,2458590.544,null
2019-05-02 07:10:48,2458605.799,null
2019-05-02 11:24:32,2458605.975,null
2019-06-08 16:53:51,2458643.204,null
2019-06-08 18:40:35,2458643.278,null
2019-07-26 06:16:34,2458690.762,null
2019-07-26 08:03:19,2458690.836,null
2019-07-26 12:16:28,2458691.011,null
2019-07-26 14:03:12,2458691.086,null
2019-07-26 18:16:56,2458691.262,null
2019-08-04 12:25:35,2458700.018,null
2019-08-04 18:25:28,2458700.268,null
2019-08-04 20:12:13,2458700.342,null
2019-08-05 00:25:57,2458700.518,null
2019-08-05 02:12:42,2458700.592,null
2019-08-05 08:12:36,2458700.842,null
2019-10-20 16:16:20,2458777.178,null
2019-10-20 20:30:06,2458777.354,null
2019-10-20 22:16:51,2458777.428,null
2019-11-05 14:52:34,2458793.120,null
2019-11-05 16:39:20,2458793.194,null
2019-12-10 18:17:26,2458828.262,null
2020-01-16 12:34:38,2458865.024,null
2020-01-16 14:21:23,2458865.098,null
2020-01-27 14:36:24,2458876.109,18.89
2020-01-27 18:50:05,2458876.285,untrusted

