Gaia16bym
#Date,JD,averagemag.
2014-08-14 09:53:19,2456883.912,null
2014-08-14 14:07:05,2456884.088,null
2014-08-14 15:53:15,2456884.162,null
2014-08-14 20:07:01,2456884.338,null
2014-08-14 21:53:46,2456884.412,null
2014-08-15 02:07:32,2456884.589,null
2014-11-09 20:29:03,2456971.354,null
2014-11-09 22:15:47,2456971.428,null
2014-11-19 14:34:48,2456981.108,null
2014-11-19 16:21:32,2456981.182,null
2015-01-30 19:08:16,2457053.297,null
2015-01-30 20:54:25,2457053.371,null
2015-02-15 01:15:06,2457068.552,null
2015-02-15 03:01:50,2457068.626,null
2015-02-15 07:15:35,2457068.802,null
2015-02-15 09:01:44,2457068.876,null
2015-05-04 15:28:55,2457147.145,null
2015-05-04 19:42:40,2457147.321,null
2015-05-04 21:29:26,2457147.395,null
2015-05-05 01:43:11,2457147.572,null
2015-05-05 03:29:22,2457147.645,null
2015-05-05 07:43:08,2457147.822,null
2015-05-05 09:29:53,2457147.896,null
2015-05-05 13:43:39,2457148.072,null
2015-05-05 15:29:49,2457148.146,null
2015-05-05 19:43:35,2457148.322,null
2015-06-23 03:13:37,2457196.634,null
2015-06-23 07:27:23,2457196.811,null
2015-07-30 06:52:07,2457233.786,null
2015-07-30 08:38:53,2457233.860,null
2015-08-14 02:46:32,2457248.616,null
2015-08-14 07:00:18,2457248.792,null
2015-11-18 09:27:33,2457344.894,null
2015-12-04 09:29:48,2457360.896,null
2016-01-06 20:48:42,2457394.367,null
2016-01-06 22:34:51,2457394.441,null
2016-05-10 14:47:43,2457519.116,null
2016-05-10 16:34:28,2457519.191,null
2016-05-10 20:48:14,2457519.367,null
2016-05-29 14:57:51,2457538.124,null
2016-05-29 16:44:37,2457538.198,null
2016-07-03 10:24:25,2457572.934,null
2016-07-03 14:38:12,2457573.110,null
2016-08-14 07:51:37,2457614.828,null
2016-08-14 09:37:48,2457614.901,null
2016-08-14 13:51:34,2457615.077,null
2016-08-14 15:38:19,2457615.152,null
2016-08-21 03:44:17,2457621.656,null
2016-08-21 07:58:03,2457621.832,null
2016-08-21 09:44:13,2457621.906,null
2016-11-26 16:29:02,2457719.187,18.98
2016-11-26 18:15:35,2457719.261,18.95
2016-12-17 12:10:22,2457740.007,19.48
2017-01-16 11:43:10,2457769.988,untrusted
2017-05-20 19:07:28,2457894.297,null
2017-05-20 23:20:40,2457894.473,null
2017-07-14 17:10:42,2457949.216,null
2017-12-31 18:41:31,2458119.279,null
2017-12-31 20:28:16,2458119.353,null
2018-01-27 00:28:21,2458145.520,null
2018-01-27 02:14:30,2458145.593,null
2018-05-31 18:31:56,2458270.272,null
2018-05-31 20:18:42,2458270.346,null
2018-06-30 06:23:22,2458299.766,null
2018-06-30 08:09:32,2458299.840,null
2018-07-25 12:19:12,2458325.013,null
2019-01-15 07:37:31,2458498.818,null
2019-01-15 09:24:15,2458498.892,null
2019-02-06 07:36:25,2458520.817,null
2019-02-06 09:23:10,2458520.891,null
2019-06-12 01:43:48,2458646.572,null
2019-06-12 03:30:34,2458646.646,null
2019-07-15 07:22:17,2458679.807,null
2019-07-15 09:08:27,2458679.881,null
2019-07-18 21:14:08,2458683.385,null
2019-07-18 23:00:18,2458683.459,null
2019-08-10 17:43:02,2458706.238,null
2019-08-10 21:56:48,2458706.414,null

