Gaia16cat
#Date,JD,averagemag.
2014-08-28 23:02:45,2456898.460,null
2014-08-29 00:49:30,2456898.534,null
2015-01-02 04:29:21,2457024.687,null
2015-01-02 06:16:06,2457024.761,null
2015-01-24 22:25:39,2457047.434,null
2015-01-25 00:11:50,2457047.508,null
2015-02-22 22:11:22,2457076.425,null
2015-06-27 04:11:19,2457200.675,null
2015-06-27 05:57:28,2457200.748,null
2015-07-24 16:02:33,2457228.168,null
2016-01-12 07:22:59,2457399.808,null
2016-02-08 05:24:44,2457426.726,null
2016-02-08 07:11:29,2457426.800,null
2016-03-04 13:08:54,2457452.048,null
2016-03-04 17:22:40,2457452.224,null
2016-07-07 13:06:53,2457577.046,null
2016-08-07 18:45:09,2457608.281,null
2016-08-31 04:51:21,2457631.702,null
2016-08-31 06:38:06,2457631.776,null
2016-12-06 09:18:25,2457728.888,18.85
2016-12-06 13:32:05,2457729.064,18.86
2016-12-06 15:18:40,2457729.138,18.98
2016-12-06 19:32:21,2457729.314,19.15
2016-12-13 01:37:51,2457735.568,19.98
2016-12-13 03:24:26,2457735.642,19.92
2016-12-13 07:38:07,2457735.818,19.99
2016-12-13 09:24:41,2457735.892,20.04
2017-01-21 20:32:09,2457775.356,null
2017-02-22 07:48:46,2457806.826,null
2017-02-22 09:34:56,2457806.899,null
2017-03-14 21:41:47,2457827.404,untrusted
2017-03-15 01:55:39,2457827.580,null
2017-03-15 03:42:24,2457827.654,null
2017-07-19 01:52:10,2457953.578,null
2017-07-19 03:38:54,2457953.652,null
2017-08-22 15:02:50,2457988.127,null
2017-09-10 09:03:21,2458006.877,null
2017-12-14 11:38:19,2458101.985,null
2017-12-14 15:52:05,2458102.161,null
2017-12-28 03:58:49,2458115.666,null
2018-02-01 11:04:12,2458150.961,null
2018-03-11 02:54:01,2458188.621,null
2018-03-11 04:40:47,2458188.695,null
2018-03-23 16:50:31,2458201.202,null
2018-03-23 21:04:17,2458201.378,null
2018-03-23 22:51:02,2458201.452,null
2018-03-24 03:04:13,2458201.628,null
2018-06-06 15:22:01,2458276.140,null
2018-06-06 21:22:30,2458276.391,null
2018-06-06 23:09:14,2458276.465,null
2018-06-07 05:09:08,2458276.715,null
2018-06-21 21:31:24,2458291.397,null
2018-06-21 23:17:34,2458291.471,null
2018-06-22 03:31:18,2458291.647,null
2018-09-06 14:11:35,2458368.091,null
2018-09-19 20:16:39,2458381.345,20.15
2018-09-19 22:03:13,2458381.419,20.08
2018-12-23 16:53:11,2458476.204,null
2018-12-23 18:39:56,2458476.278,null
2019-01-11 04:56:03,2458494.706,null
2019-01-11 06:42:49,2458494.780,null
2019-02-12 06:15:07,2458526.760,null
2019-02-12 10:28:54,2458526.937,null
2019-06-16 10:30:36,2458650.938,null
2019-06-16 12:16:46,2458651.012,null
2019-06-16 16:30:30,2458651.188,null
2019-06-16 18:17:15,2458651.262,null
2019-07-09 04:32:59,2458673.690,null
2019-07-09 06:19:43,2458673.764,null
2019-08-17 07:15:33,2458712.802,null

