Gaia16cbc
#Date,JD,averagemag.
2014-08-29 13:54:24,2456899.079,null
2015-01-05 03:33:23,2457027.648,null
2015-01-25 15:28:38,2457048.145,null
2015-02-26 14:55:53,2457080.122,null
2015-04-12 20:28:22,2457125.353,null
2015-04-13 00:42:06,2457125.529,null
2015-04-13 02:28:16,2457125.603,null
2015-04-13 06:42:01,2457125.779,null
2015-04-13 08:28:45,2457125.853,null
2015-04-13 12:42:30,2457126.030,null
2015-04-13 14:28:40,2457126.103,null
2015-04-13 18:42:24,2457126.279,null
2015-04-21 06:48:55,2457133.784,null
2015-04-21 08:35:39,2457133.858,null
2015-04-21 12:48:49,2457134.034,null
2015-04-21 14:35:34,2457134.108,null
2015-04-21 18:49:18,2457134.284,null
2015-04-21 20:36:03,2457134.358,null
2015-04-22 00:49:48,2457134.535,null
2015-04-22 02:35:58,2457134.608,null
2015-04-22 06:49:42,2457134.785,null
2015-04-22 08:36:27,2457134.859,null
2015-06-25 02:34:02,2457198.607,null
2015-06-25 06:47:48,2457198.783,null
2015-07-20 18:51:25,2457224.286,null
2015-07-20 20:38:11,2457224.360,null
2015-08-21 18:35:55,2457256.275,null
2015-09-30 17:41:56,2457296.237,null
2015-09-30 19:28:41,2457296.312,null
2015-10-12 05:49:20,2457307.743,null
2015-10-12 07:36:05,2457307.817,null
2015-10-12 11:49:50,2457307.993,null
2015-11-30 04:06:37,2457356.671,null
2015-11-30 05:53:22,2457356.745,null
2015-11-30 10:06:32,2457356.921,null
2015-11-30 11:53:17,2457356.995,null
2015-11-30 16:07:01,2457357.172,null
2015-11-30 17:53:46,2457357.246,null
2015-11-30 22:06:56,2457357.421,null
2015-11-30 23:53:41,2457357.496,null
2015-12-01 04:07:25,2457357.672,null
2015-12-01 05:54:10,2457357.746,null
2015-12-01 10:07:55,2457357.922,null
2015-12-01 11:54:05,2457357.996,null
2015-12-01 16:07:49,2457358.172,null
2015-12-01 17:54:34,2457358.246,null
2015-12-01 22:08:19,2457358.422,null
2015-12-01 23:54:28,2457358.496,null
2015-12-02 04:08:13,2457358.672,null
2015-12-02 05:54:58,2457358.747,null
2015-12-02 10:08:42,2457358.923,null
2015-12-02 11:54:52,2457358.996,null
2015-12-02 16:08:37,2457359.173,null
2015-12-02 17:55:22,2457359.247,null
2015-12-02 22:09:06,2457359.423,null
2016-01-15 10:36:24,2457402.942,null
2016-02-08 14:37:52,2457427.110,null
2016-07-06 01:59:09,2457575.583,null
2016-07-06 03:45:54,2457575.657,null
2016-08-04 07:54:00,2457604.829,null
2016-09-01 01:44:09,2457632.572,null
2016-10-13 18:39:03,2457675.277,null
2016-10-13 20:25:13,2457675.351,null
2016-10-14 00:38:59,2457675.527,null
2016-10-14 02:25:44,2457675.601,null
2016-10-20 08:30:56,2457681.855,null
2016-10-20 12:44:41,2457682.031,null
2016-10-20 14:31:27,2457682.105,null
2016-10-20 18:44:37,2457682.281,null
2016-12-07 10:58:11,2457729.957,18.88
2016-12-07 12:44:45,2457730.031,18.95
2016-12-07 16:58:25,2457730.207,18.98
2016-12-15 23:03:48,2457738.461,19.05
2016-12-16 00:50:22,2457738.535,19.05
2016-12-16 05:04:01,2457738.711,19.05
2017-01-24 23:40:40,2457778.487,19.51
2017-02-21 18:43:49,2457806.280,19.51
2017-03-20 10:49:18,2457832.951,19.57
2017-03-20 12:35:52,2457833.025,19.57
2017-07-17 22:33:13,2457952.440,19.74
2017-07-18 00:19:47,2457952.514,19.76
2017-08-19 04:16:20,2457984.678,19.92
2017-12-16 19:16:11,2458104.303,untrusted
2017-12-16 21:02:45,2458104.377,20.71
2017-12-29 15:07:23,2458117.130,20.56
2017-12-29 19:21:08,2458117.306,null
2018-02-04 18:23:10,2458154.266,null
2018-02-04 20:09:19,2458154.340,null
2018-03-08 17:56:53,2458186.248,null
2018-03-08 19:43:37,2458186.322,null
2018-03-31 17:58:57,2458209.249,null
2018-03-31 19:45:42,2458209.323,null
2018-06-02 07:39:34,2458271.819,null
2018-06-02 11:53:20,2458271.995,null
2018-06-02 13:40:05,2458272.070,null
2018-06-02 17:53:50,2458272.246,null
2018-06-02 19:40:35,2458272.320,null
2018-06-02 23:53:46,2458272.496,null
2018-06-16 06:04:35,2458285.753,null
2018-06-16 07:51:21,2458285.827,null
2018-06-16 12:05:06,2458286.004,null
2018-06-16 13:51:17,2458286.077,null
2018-07-29 19:31:14,2458329.313,null
2018-09-22 13:03:52,2458384.044,null
2018-12-26 10:00:56,2458478.917,null
2019-01-12 08:15:47,2458495.844,null
2019-02-15 19:29:44,2458530.312,null
2019-02-15 21:16:29,2458530.386,null
2019-03-24 20:46:34,2458567.366,null
2019-03-25 01:00:18,2458567.542,null
2019-04-12 01:08:52,2458585.548,null
2019-04-12 02:55:37,2458585.622,null
2019-04-12 07:09:21,2458585.798,null
2019-04-12 08:56:06,2458585.872,null
2019-06-13 14:50:40,2458648.119,null
2019-06-13 19:04:26,2458648.295,null
2019-06-13 20:51:11,2458648.369,null
2019-07-04 19:15:15,2458669.302,null
2019-07-04 21:01:25,2458669.376,null
2019-08-20 22:22:02,2458716.432,null
2019-09-28 12:03:39,2458755.003,null
2019-09-28 13:50:24,2458755.077,null
2019-09-28 18:04:10,2458755.253,null
2019-09-28 19:50:55,2458755.327,null

