Gaia16ccb
#Date,JD,averagemag.
2014-08-11 23:21:59,2456881.474,null
2014-08-12 01:08:44,2456881.548,null
2014-08-12 05:22:28,2456881.724,null
2014-08-12 07:09:12,2456881.798,null
2014-08-12 11:22:21,2456881.974,null
2014-08-12 13:09:06,2456882.048,null
2015-01-26 03:45:10,2457048.656,null
2015-01-26 05:31:21,2457048.730,null
2015-02-06 15:53:11,2457060.162,null
2015-02-06 17:39:56,2457060.236,null
2015-02-06 21:53:43,2457060.412,null
2015-05-19 13:21:53,2457162.057,null
2015-05-19 17:35:02,2457162.233,null
2015-05-19 19:21:46,2457162.307,null
2015-05-19 23:35:30,2457162.483,null
2015-06-27 22:53:59,2457201.454,null
2015-06-28 00:40:44,2457201.528,null
2015-08-10 00:00:28,2457244.500,null
2015-08-10 06:00:56,2457244.751,null
2015-08-10 10:14:40,2457244.927,null
2015-08-10 12:00:50,2457245.001,null
2015-08-10 16:14:34,2457245.177,null
2015-08-10 18:01:18,2457245.251,null
2015-08-10 22:15:02,2457245.427,null
2015-08-11 00:01:12,2457245.501,null
2015-08-11 04:14:55,2457245.677,null
2015-08-11 06:01:40,2457245.751,null
2015-08-11 10:15:24,2457245.927,null
2015-08-11 12:01:34,2457246.001,null
2015-08-11 16:15:17,2457246.177,null
2015-08-11 18:02:02,2457246.251,null
2015-08-11 22:15:46,2457246.428,null
2015-08-12 00:02:30,2457246.502,null
2015-08-12 06:02:24,2457246.752,null
2015-11-14 19:32:03,2457341.314,null
2015-11-14 23:45:49,2457341.490,null
2015-11-15 01:32:34,2457341.564,null
2015-11-28 11:54:36,2457354.996,null
2015-11-28 13:41:21,2457355.070,null
2016-01-01 11:27:04,2457388.977,null
2016-01-01 13:13:15,2457389.051,null
2016-05-17 06:30:14,2457525.771,null
2016-05-17 08:16:58,2457525.845,null
2016-06-04 18:32:52,2457544.273,null
2016-06-04 20:19:36,2457544.347,null
2016-07-08 00:03:09,2457577.502,null
2016-07-08 01:49:18,2457577.576,null
2016-11-22 06:51:09,2457714.786,20.22
2016-11-22 08:38:05,2457714.860,null
2016-12-12 18:54:11,2457735.288,18.92
2016-12-12 20:40:46,2457735.362,18.86
2017-01-10 18:37:32,2457764.276,untrusted
2017-05-26 20:57:53,2457900.374,null
2017-05-26 22:44:38,2457900.448,null
2017-06-20 08:50:31,2457924.868,null
2017-06-20 10:37:16,2457924.943,null
2017-07-18 20:34:09,2457953.357,null
2017-07-18 22:20:18,2457953.431,null
2017-12-01 21:23:02,2458089.391,null
2017-12-01 23:09:13,2458089.465,null
2017-12-27 09:15:15,2458114.886,null
2017-12-27 11:02:00,2458114.960,null
2018-01-20 16:56:46,2458139.206,null
2018-07-05 21:45:53,2458305.407,null
2018-07-05 23:32:03,2458305.481,null
2018-07-29 03:41:29,2458328.654,null
2018-07-29 05:27:39,2458328.728,null
2018-12-12 00:19:50,2458464.514,null
2019-01-10 22:13:25,2458494.426,null
2019-01-11 00:00:11,2458494.500,null
2019-01-30 04:18:18,2458513.679,null
2019-06-17 05:13:51,2458651.718,null
2019-06-17 07:00:35,2458651.792,null
2019-08-03 01:00:18,2458698.542,null
2019-08-03 02:47:02,2458698.616,null

