Gaia16ccx
#Date,JD,averagemag.
2014-11-18 07:17:07,2456979.804,null
2014-11-18 09:03:16,2456979.877,null
2015-03-16 05:26:58,2457097.727,null
2015-03-16 09:40:44,2457097.903,null
2015-03-16 11:27:29,2457097.977,null
2015-03-16 15:41:15,2457098.154,null
2015-03-16 17:27:26,2457098.227,null
2015-03-16 21:41:11,2457098.404,null
2015-03-16 23:27:57,2457098.478,null
2015-03-17 03:41:43,2457098.654,null
2015-03-17 05:28:28,2457098.728,null
2015-03-17 09:41:39,2457098.904,null
2015-03-17 11:28:24,2457098.978,null
2015-03-17 15:42:10,2457099.154,null
2015-03-17 17:28:55,2457099.228,null
2015-03-17 21:42:06,2457099.404,null
2015-03-17 23:28:52,2457099.478,null
2015-03-18 03:42:37,2457099.655,null
2015-03-18 05:29:23,2457099.729,null
2015-03-18 09:43:09,2457099.905,null
2015-03-18 11:29:19,2457099.979,null
2015-03-18 15:43:05,2457100.155,null
2015-03-18 17:29:50,2457100.229,null
2015-03-18 21:43:36,2457100.405,null
2015-03-18 23:29:46,2457100.479,null
2015-03-19 03:43:32,2457100.655,null
2015-03-19 05:30:18,2457100.729,null
2015-03-19 09:44:04,2457100.906,null
2015-03-19 11:30:14,2457100.979,null
2015-05-01 02:54:53,2457143.621,null
2015-05-01 04:41:38,2457143.696,null
2015-06-03 08:36:17,2457176.859,null
2015-06-03 10:22:28,2457176.932,null
2015-06-23 20:45:01,2457197.365,null
2015-06-23 22:31:47,2457197.439,null
2015-10-30 10:35:46,2457325.942,null
2015-12-02 14:11:31,2457359.091,null
2015-12-02 15:57:41,2457359.165,null
2015-12-19 14:12:42,2457376.092,null
2015-12-19 15:59:27,2457376.166,null
2016-03-22 00:22:41,2457469.516,null
2016-03-22 04:36:27,2457469.692,null
2016-04-03 22:43:58,2457482.447,null
2016-04-04 00:30:43,2457482.521,null
2016-05-11 05:51:56,2457519.744,null
2016-06-20 09:42:26,2457559.904,null
2016-06-20 15:42:57,2457560.155,null
2016-06-20 17:29:08,2457560.229,null
2016-06-20 21:42:54,2457560.405,null
2016-06-20 23:29:39,2457560.479,null
2016-06-30 17:38:20,2457570.235,null
2016-06-30 21:52:06,2457570.411,null
2016-06-30 23:38:16,2457570.485,null
2016-07-01 03:52:02,2457570.661,null
2016-07-01 05:38:47,2457570.735,null
2016-09-19 22:22:40,2457651.432,null
2016-09-20 00:09:24,2457651.507,null
2016-09-20 04:23:08,2457651.683,null
2016-09-20 06:09:18,2457651.756,null
2016-10-03 06:17:09,2457664.762,null
2016-10-03 10:30:53,2457664.938,null
2016-10-03 12:17:02,2457665.012,null
2016-11-09 05:43:55,2457701.739,17.25
2016-12-16 03:05:41,2457738.629,18.63
2016-12-16 04:52:15,2457738.703,18.61
2016-12-27 03:11:16,2457749.633,18.98
2016-12-27 04:57:50,2457749.707,19.00
2017-03-31 02:46:39,2457843.616,21.21
2017-05-22 12:39:24,2457896.027,null
2017-09-28 18:52:02,2458025.286,null
2017-09-28 20:38:46,2458025.360,null
2017-10-20 00:53:40,2458046.537,null
2017-10-20 02:40:24,2458046.611,null
2017-11-20 00:27:41,2458077.519,null
2018-04-10 02:06:04,2458218.588,null
2018-05-03 20:03:23,2458242.336,null
2018-06-02 15:37:32,2458272.151,null
2018-06-02 19:51:18,2458272.327,null
2018-10-09 02:00:43,2458400.584,null
2018-10-09 03:46:52,2458400.658,null
2018-11-04 03:36:46,2458426.651,null
2018-11-30 07:33:50,2458452.815,null
2018-11-30 09:20:35,2458452.889,null
2019-04-20 15:14:01,2458594.135,null
2019-05-18 21:02:56,2458622.377,null
2019-05-18 22:49:41,2458622.451,null
2019-06-13 16:49:23,2458648.201,null
2019-06-13 21:03:09,2458648.377,null

