Gaia16cdq
#Date,JD,averagemag.
2014-08-26 00:39:45,2456895.528,null
2014-11-15 01:30:59,2456976.563,null
2014-11-15 05:44:09,2456976.739,null
2014-11-15 07:30:54,2456976.813,null
2014-11-20 23:49:31,2456982.493,null
2014-11-21 01:36:17,2456982.567,null
2014-11-21 05:49:27,2456982.743,null
2014-11-21 07:36:12,2456982.817,null
2015-01-01 16:43:04,2457024.197,null
2015-01-01 18:29:49,2457024.271,null
2015-01-27 22:31:55,2457050.439,null
2015-01-28 00:18:40,2457050.513,null
2015-02-24 06:11:46,2457077.758,null
2015-02-24 10:24:57,2457077.934,null
2015-06-23 04:07:31,2457196.672,null
2015-06-23 05:53:41,2457196.746,null
2015-07-24 05:34:55,2457227.733,null
2015-08-18 15:38:12,2457253.152,null
2015-08-18 17:24:22,2457253.225,null
2015-11-24 00:39:05,2457350.527,null
2015-11-24 02:25:51,2457350.601,null
2015-12-05 00:46:05,2457361.532,null
2015-12-05 02:32:50,2457361.606,null
2016-01-12 07:37:05,2457399.817,null
2016-02-11 11:33:00,2457429.981,null
2016-02-11 13:19:46,2457430.055,null
2016-03-06 11:36:31,2457453.984,null
2016-03-06 13:22:41,2457454.057,null
2016-03-06 17:36:27,2457454.234,null
2016-05-09 05:34:49,2457517.733,null
2016-05-09 11:34:43,2457517.982,null
2016-05-09 13:21:28,2457518.057,null
2016-05-09 17:35:13,2457518.233,null
2016-05-09 19:21:23,2457518.307,null
2016-05-09 23:35:07,2457518.483,null
2016-05-10 01:21:52,2457518.557,null
2016-05-10 05:35:37,2457518.733,null
2016-05-10 07:22:22,2457518.807,null
2016-05-10 11:35:31,2457518.983,null
2016-05-10 13:22:16,2457519.057,null
2016-05-10 19:22:46,2457519.307,null
2016-05-16 13:27:36,2457525.061,null
2016-05-16 17:41:21,2457525.237,null
2016-05-16 19:27:30,2457525.311,null
2016-05-16 23:41:15,2457525.487,null
2016-05-17 01:28:00,2457525.561,null
2016-05-17 05:41:44,2457525.737,null
2016-05-17 07:27:54,2457525.811,null
2016-05-17 11:41:39,2457525.987,null
2016-05-17 13:28:23,2457526.061,null
2016-05-17 17:42:08,2457526.238,null
2016-07-03 23:16:13,2457573.470,null
2016-07-04 01:02:58,2457573.544,null
2016-08-06 22:44:58,2457607.448,null
2016-08-07 00:31:08,2457607.522,null
2016-08-28 10:41:34,2457628.946,null
2016-08-28 12:27:44,2457629.019,null
2016-12-02 13:37:19,2457725.068,19.00
2016-12-17 19:42:45,2457740.321,19.00
2016-12-17 21:29:19,2457740.395,19.00
2017-01-22 06:59:33,2457775.791,untrusted
2017-02-26 01:59:49,2457810.583,20.69
2017-02-26 03:46:49,2457810.658,null
2017-03-17 14:09:36,2457830.090,null
2017-03-17 15:56:21,2457830.164,null
2017-03-17 20:10:07,2457830.340,null
2017-05-19 08:05:54,2457892.837,null
2017-05-19 09:52:39,2457892.912,null
2017-05-19 14:06:23,2457893.088,null
2017-05-19 15:53:08,2457893.162,null
2017-07-15 19:47:41,2457950.325,null
2017-08-21 13:03:03,2457987.044,null
2017-09-07 19:05:10,2458004.295,null
2017-09-07 20:51:20,2458004.369,null
2017-12-12 10:01:38,2458099.918,null
2017-12-31 10:02:57,2458118.919,null
2017-12-31 11:49:08,2458118.992,null
2018-02-02 05:18:26,2458151.721,null
2018-03-15 15:09:53,2458193.132,null
2018-03-15 21:09:49,2458193.382,null
2018-03-15 22:56:35,2458193.456,null
2018-03-16 03:10:20,2458193.632,null
2018-03-16 04:56:30,2458193.706,null
2018-03-27 17:06:07,2458205.213,null
2018-03-27 21:19:53,2458205.389,null
2018-03-27 23:06:38,2458205.463,null
2018-03-28 03:20:24,2458205.639,null
2018-03-28 05:07:09,2458205.713,null
2018-03-28 09:20:19,2458205.889,null
2018-05-30 21:16:20,2458269.386,null
2018-05-30 23:03:05,2458269.460,null
2018-06-23 17:05:28,2458293.212,null
2018-06-23 21:19:12,2458293.388,null
2018-07-27 08:55:15,2458326.872,null
2018-07-27 10:41:24,2458326.945,null
2018-09-04 19:58:01,2458366.332,null
2018-09-04 21:44:46,2458366.406,null
2018-09-17 20:03:51,2458379.336,null
2018-09-17 21:50:01,2458379.410,null
2018-12-22 12:52:08,2458475.036,null
2019-01-14 05:01:20,2458497.709,null
2019-01-14 06:47:31,2458497.783,null
2019-02-13 06:29:05,2458527.770,null
2019-02-13 10:42:51,2458527.946,null
2019-06-11 12:12:45,2458646.009,null
2019-06-11 16:26:30,2458646.185,null
2019-07-09 10:19:17,2458673.930,null
2019-07-09 12:06:01,2458674.004,null
2019-07-17 13:34:40,2458682.066,null
2019-08-18 07:03:52,2458713.794,null
2019-08-18 08:50:36,2458713.868,null

