Gaia16cga
#Date,JD,averagemag.
2014-10-30 14:31:07,2456961.105,null
2014-10-30 16:17:51,2456961.179,null
2014-11-27 08:11:29,2456988.841,null
2015-04-21 03:44:53,2457133.656,null
2015-05-22 09:28:48,2457164.895,null
2015-06-14 15:27:45,2457188.144,null
2015-09-22 16:31:04,2457288.188,null
2015-09-22 18:17:49,2457288.262,null
2015-10-01 16:36:41,2457297.192,null
2015-10-01 18:23:25,2457297.266,null
2015-10-01 22:37:09,2457297.442,null
2015-12-12 09:09:47,2457368.882,null
2016-01-01 09:13:25,2457388.884,null
2016-01-01 10:59:35,2457388.958,null
2016-01-01 15:13:19,2457389.134,null
2016-05-01 10:56:09,2457509.956,null
2016-06-24 02:45:50,2457563.615,null
2016-09-30 11:28:23,2457661.978,null
2016-09-30 13:14:32,2457662.052,null
2016-10-15 13:18:35,2457677.055,null
2016-10-15 17:32:19,2457677.231,null
2016-11-20 04:45:23,2457712.698,null
2016-12-27 23:58:44,2457750.499,18.46
2016-12-28 04:12:23,2457750.675,18.33
2016-12-28 05:58:57,2457750.749,18.41
2017-01-09 04:20:41,2457762.681,null
2017-01-09 06:06:51,2457762.755,null
2017-01-09 10:20:35,2457762.931,null
2017-01-09 12:07:00,2457763.005,untrusted
2017-03-20 11:54:38,2457832.996,null
2017-03-20 13:40:48,2457833.070,null
2017-03-20 17:54:34,2457833.246,null
2017-03-20 19:41:19,2457833.320,null
2017-04-06 00:05:06,2457849.504,null
2017-04-06 01:51:52,2457849.578,null
2017-05-12 19:29:43,2457886.312,null
2017-06-20 05:01:46,2457924.710,null
2017-06-20 06:47:56,2457924.783,null
2017-07-03 18:56:17,2457938.289,null
2017-07-03 23:10:03,2457938.465,null
2017-10-29 21:35:24,2458056.400,null
2017-12-01 01:15:56,2458088.553,null
2017-12-01 03:02:06,2458088.626,null
2018-03-30 08:50:53,2458207.869,null
2018-03-30 13:04:39,2458208.045,null
2018-03-30 14:50:49,2458208.119,null
2018-04-22 08:56:02,2458230.872,null
2018-05-24 00:53:40,2458262.537,null
2018-05-24 02:39:50,2458262.611,null
2018-07-06 00:00:31,2458305.500,null
2018-07-06 01:46:41,2458305.574,null
2018-07-06 06:00:27,2458305.750,null
2018-07-06 07:47:12,2458305.824,null
2018-07-12 00:05:56,2458311.504,null
2018-07-12 01:52:41,2458311.578,null
2018-07-12 06:05:52,2458311.754,null
2018-07-12 07:52:37,2458311.828,null
2018-10-20 08:54:26,2458411.871,null
2018-10-20 10:41:10,2458411.945,null
2018-11-13 04:30:27,2458435.688,null
2018-12-11 20:24:19,2458464.350,null
2018-12-11 22:11:03,2458464.424,null
2019-04-10 08:15:48,2458583.844,null
2019-04-10 10:01:58,2458583.918,null
2019-05-07 20:11:27,2458611.341,null
2019-06-04 03:48:49,2458638.659,null

