Gaia16cgf
#Date,JD,averagemag.
2014-10-29 23:24:10,2456960.475,null
2014-11-26 23:10:47,2456988.466,null
2014-11-27 00:57:32,2456988.540,null
2015-05-23 04:42:09,2457165.696,null
2015-05-23 06:28:53,2457165.770,null
2015-06-14 18:24:02,2457188.267,null
2015-09-22 19:16:12,2457288.303,null
2015-09-22 21:02:22,2457288.377,null
2015-09-23 01:16:08,2457288.553,null
2015-09-23 03:02:53,2457288.627,null
2015-09-30 13:23:01,2457296.058,null
2015-09-30 15:09:11,2457296.131,null
2015-11-09 14:20:08,2457336.097,null
2015-12-12 00:12:33,2457368.509,null
2015-12-12 01:58:44,2457368.582,null
2015-12-30 20:07:13,2457387.338,null
2015-12-31 00:20:58,2457387.515,null
2015-12-31 02:07:09,2457387.588,null
2016-05-02 00:16:17,2457510.511,null
2016-05-02 02:02:26,2457510.585,null
2016-06-06 05:37:30,2457545.734,null
2016-06-23 23:40:14,2457563.486,null
2016-06-24 01:26:23,2457563.560,null
2016-09-30 04:00:39,2457661.667,null
2016-09-30 08:14:25,2457661.843,null
2016-10-14 20:21:34,2457676.348,null
2016-10-14 22:07:44,2457676.422,null
2016-11-19 07:43:44,2457711.822,null
2016-11-19 09:30:30,2457711.896,null
2016-12-28 13:19:00,2457751.055,16.38
2016-12-28 15:05:34,2457751.129,16.36
2016-12-28 19:19:15,2457751.305,16.37
2016-12-28 21:05:50,2457751.379,16.38
2017-01-06 03:13:21,2457759.634,16.70
2017-01-06 07:27:02,2457759.810,16.70
2017-01-06 09:13:49,2457759.885,null
2017-01-06 13:27:17,2457760.061,16.68
2017-01-06 15:14:20,2457760.135,null
2017-01-06 19:27:33,2457760.311,16.75
2017-03-21 21:09:41,2457834.382,untrusted
2017-03-21 22:56:15,2457834.456,19.39
2017-03-22 03:09:54,2457834.632,19.39
2017-03-22 04:56:28,2457834.706,19.42
2017-04-06 17:03:58,2457850.211,19.78
2017-04-06 21:17:37,2457850.387,19.79
2017-05-13 08:47:11,2457886.866,null
2017-06-21 09:42:02,2457925.904,null
2017-06-21 13:55:46,2457926.080,null
2017-07-03 02:01:24,2457937.584,null
2017-07-03 03:48:08,2457937.658,null
2017-07-03 08:01:53,2457937.835,null
2017-07-03 09:48:02,2457937.908,null
2017-10-09 16:38:55,2458036.194,null
2017-10-09 18:25:41,2458036.268,null
2017-10-29 10:41:36,2458055.946,null
2017-11-30 04:17:30,2458087.679,null
2018-03-31 10:17:53,2458208.929,null
2018-03-31 12:04:37,2458209.003,null
2018-04-23 04:18:22,2458231.679,null
2018-04-23 06:04:32,2458231.753,null
2018-05-24 09:54:48,2458262.913,null
2018-05-24 11:40:57,2458262.987,null
2018-10-19 19:31:22,2458411.313,null
2018-11-12 17:40:08,2458435.236,null
2018-11-12 19:26:53,2458435.310,null
2018-12-10 19:14:35,2458463.302,null
2018-12-10 23:28:21,2458463.478,null
2019-04-11 01:13:17,2458584.551,null
2019-05-08 11:15:20,2458611.969,null
2019-05-08 13:02:04,2458612.043,null
2019-06-04 11:01:18,2458638.959,null
2019-06-04 12:48:02,2458639.033,null

