Gaia17abi
#Date,JD,averagemag.
2014-08-01 22:25:54,2456871.435,null
2014-08-02 02:39:40,2456871.611,null
2014-08-02 04:25:51,2456871.685,null
2014-08-02 08:39:37,2456871.861,null
2014-08-02 10:26:22,2456871.935,null
2014-08-02 14:40:08,2456872.111,null
2014-10-31 07:37:35,2456961.818,null
2014-10-31 09:24:19,2456961.892,null
2014-10-31 13:37:28,2456962.068,null
2014-10-31 15:24:13,2456962.142,null
2014-11-11 19:44:46,2456973.323,null
2014-11-11 21:30:56,2456973.396,null
2014-11-12 01:44:40,2456973.573,null
2015-01-25 06:17:10,2457047.762,null
2015-01-25 08:03:55,2457047.836,null
2015-01-25 12:17:39,2457048.012,null
2015-02-01 00:21:49,2457054.515,null
2015-02-01 02:08:33,2457054.589,null
2015-02-01 06:22:17,2457054.765,null
2015-02-01 08:09:02,2457054.840,null
2015-05-07 20:31:43,2457150.355,null
2015-05-07 22:18:29,2457150.430,null
2015-05-26 02:38:18,2457168.610,null
2015-06-29 02:14:35,2457202.593,null
2015-11-08 08:42:02,2457334.863,null
2015-11-08 10:28:47,2457334.937,null
2015-11-28 04:29:42,2457354.687,null
2015-11-28 08:43:26,2457354.863,null
2016-05-16 15:38:04,2457525.151,null
2016-05-16 17:24:49,2457525.226,null
2016-06-09 09:37:17,2457548.901,null
2016-07-09 03:26:04,2457578.643,null
2016-11-17 03:49:41,2457709.660,null
2016-12-11 23:25:29,2457734.476,null
2016-12-12 03:39:12,2457734.652,null
2017-01-06 15:22:46,2457760.141,18.80
2017-01-06 17:09:19,2457760.215,18.88
2017-05-27 01:55:44,2457900.580,null
2017-06-24 17:59:09,2457929.249,null
2017-06-24 19:45:54,2457929.324,null
2017-07-19 19:45:58,2457954.324,null
2017-07-19 23:59:45,2457954.500,null
2017-11-27 06:20:31,2458084.764,null
2017-11-27 08:07:15,2458084.838,null
2017-12-26 11:55:39,2458113.997,null
2018-06-07 01:19:52,2458276.555,null
2018-07-10 19:00:16,2458310.292,null
2018-07-29 14:55:45,2458329.122,null
2018-07-29 19:09:31,2458329.298,null
2018-12-07 19:28:47,2458460.312,null
2018-12-07 21:15:31,2458460.386,null
2019-01-09 20:36:40,2458493.359,null
2019-01-10 00:50:24,2458493.535,null
2019-01-25 06:53:25,2458508.787,null
2019-01-25 08:39:35,2458508.861,null
2019-04-29 16:45:32,2458603.198,null
2019-04-29 20:59:18,2458603.375,null
2019-04-29 22:45:29,2458603.448,null
2019-05-10 09:07:23,2458613.880,null
2019-05-10 10:54:08,2458613.954,null
2019-06-18 02:30:49,2458652.605,null
2019-06-18 04:17:34,2458652.679,null
2019-07-29 00:03:23,2458693.502,null
2019-07-29 04:17:10,2458693.679,null

