Gaia17abm
#Date,JD,averagemag.
2014-10-30 00:31:12,2456960.522,null
2014-10-30 04:44:59,2456960.698,null
2014-11-18 06:36:38,2456979.775,null
2015-05-02 05:26:50,2457144.727,null
2015-05-02 07:13:35,2457144.801,null
2015-05-25 05:22:32,2457167.724,null
2015-05-25 07:08:42,2457167.798,null
2015-06-23 23:02:03,2457197.460,null
2015-11-08 13:39:27,2457335.069,null
2015-12-02 23:48:33,2457359.492,null
2015-12-03 01:35:19,2457359.566,null
2015-12-28 13:26:57,2457385.060,null
2015-12-28 17:40:43,2457385.237,null
2016-05-11 12:34:09,2457520.024,null
2016-05-11 14:20:54,2457520.098,null
2016-06-08 14:03:35,2457548.086,null
2016-06-08 18:17:18,2457548.262,null
2016-07-03 12:09:49,2457573.007,null
2016-11-17 14:49:28,2457710.118,null
2016-12-16 14:33:29,2457739.107,null
2017-01-06 02:35:33,2457759.608,18.23
2017-01-06 06:49:14,2457759.784,18.18
2017-05-22 04:51:26,2457895.702,null
2017-06-24 08:34:58,2457928.858,null
2017-06-24 10:21:43,2457928.932,null
2017-07-13 02:38:40,2457947.610,null
2017-07-13 04:24:49,2457947.684,null
2017-11-27 23:23:31,2458085.475,null
2017-11-28 03:36:42,2458085.650,null
2017-12-31 15:08:42,2458119.131,null
2017-12-31 16:55:27,2458119.205,null
2018-01-14 11:03:37,2458132.961,null
2018-01-14 15:17:23,2458133.137,null
2018-01-14 17:04:09,2458133.211,null
2018-04-17 16:52:54,2458226.203,null
2018-04-17 22:52:48,2458226.453,null
2018-04-18 00:39:32,2458226.527,null
2018-04-18 04:53:16,2458226.704,null
2018-04-18 06:40:01,2458226.778,null
2018-04-18 10:53:10,2458226.954,null
2018-04-18 12:39:54,2458227.028,null
2018-04-18 16:53:38,2458227.204,null
2018-04-18 18:40:23,2458227.278,null
2018-04-18 22:54:07,2458227.454,null
2018-04-19 00:40:16,2458227.528,null
2018-04-19 04:54:00,2458227.704,null
2018-04-19 06:40:45,2458227.778,null
2018-04-19 12:40:38,2458228.028,null
2018-04-19 18:41:07,2458228.279,null
2018-04-20 00:41:00,2458228.528,null
2018-04-20 04:54:44,2458228.705,null
2018-04-20 06:41:28,2458228.779,null
2018-04-20 10:55:12,2458228.955,null
2018-04-20 12:41:22,2458229.029,null
2018-04-20 16:55:06,2458229.205,null
2018-04-20 18:41:50,2458229.279,null
2018-04-20 22:55:34,2458229.455,null
2018-04-21 00:42:19,2458229.529,null
2018-04-21 04:55:28,2458229.705,null
2018-04-21 06:42:12,2458229.779,null
2018-04-21 10:55:56,2458229.956,null
2018-06-02 04:13:17,2458271.676,null
2018-06-02 06:00:02,2458271.750,null
2018-07-11 15:33:18,2458311.148,null
2018-07-11 17:20:03,2458311.222,null
2018-07-11 21:33:46,2458311.398,null
2018-07-11 23:20:31,2458311.473,null
2018-07-20 03:39:28,2458319.652,null
2018-07-20 05:26:13,2458319.727,null
2018-07-20 09:39:57,2458319.903,null
2018-07-20 11:26:06,2458319.976,null
2018-10-22 11:09:00,2458413.965,null
2018-10-22 12:55:46,2458414.039,null
2018-10-22 17:09:32,2458414.215,null
2018-11-02 17:18:13,2458425.221,null
2018-11-02 19:04:59,2458425.295,null
2018-12-08 10:47:56,2458460.950,null
2018-12-08 12:34:42,2458461.024,null
2019-04-23 11:51:22,2458596.994,null
2019-04-23 13:37:31,2458597.068,null
2019-05-09 19:41:49,2458613.321,null
2019-05-09 23:55:33,2458613.497,null
2019-06-13 05:22:28,2458647.724,null
2019-06-13 07:09:12,2458647.798,null

