Gaia17act
#Date,JD,averagemag.
2014-07-30 01:48:08,2456868.575,null
2014-07-30 03:34:54,2456868.649,null
2014-07-30 07:48:05,2456868.825,null
2014-07-30 09:34:50,2456868.899,null
2014-07-30 13:48:36,2456869.075,null
2014-07-30 15:35:21,2456869.150,null
2014-07-30 19:49:07,2456869.326,null
2014-11-22 22:14:17,2456984.427,null
2015-04-26 13:42:07,2457139.071,null
2015-04-26 15:28:18,2457139.145,null
2015-04-26 19:42:04,2457139.321,null
2015-05-17 13:50:36,2457160.077,null
2015-05-17 15:36:46,2457160.151,null
2015-06-20 07:32:15,2457193.814,null
2015-08-01 00:42:33,2457235.530,null
2015-08-01 02:29:18,2457235.604,null
2015-08-01 06:43:04,2457235.780,null
2015-08-01 08:29:49,2457235.854,null
2015-08-08 14:35:33,2457243.108,null
2015-08-08 18:49:19,2457243.284,null
2015-08-08 20:36:04,2457243.358,null
2015-08-09 00:49:50,2457243.535,null
2015-12-07 03:22:36,2457363.641,null
2016-01-05 14:58:03,2457393.124,null
2016-05-06 04:39:30,2457514.694,null
2016-05-06 08:53:16,2457514.870,null
2016-06-01 08:52:43,2457540.870,null
2016-06-01 10:38:54,2457540.944,null
2016-06-30 08:41:53,2457569.862,null
2016-06-30 10:28:03,2457569.936,null
2016-11-24 04:34:51,2457716.691,null
2016-11-24 06:21:00,2457716.765,null
2016-12-20 06:04:27,2457742.753,null
2017-01-15 04:06:40,2457768.671,18.80
2017-01-15 05:53:13,2457768.745,18.76
2017-05-17 07:13:32,2457890.801,null
2017-05-17 11:27:18,2457890.977,null
2017-06-16 17:15:33,2457921.219,null
2017-07-11 06:58:44,2457945.791,null
2017-10-19 20:02:21,2458046.335,null
2017-10-19 21:49:05,2458046.409,null
2017-10-20 02:02:50,2458046.585,null
2017-10-20 03:49:34,2458046.659,null
2017-10-20 08:03:19,2458046.836,null
2017-10-20 09:49:28,2458046.909,null
2017-10-23 15:52:13,2458050.161,null
2017-10-23 20:05:58,2458050.337,null
2017-10-23 21:52:42,2458050.412,null
2017-10-24 02:05:51,2458050.587,null
2017-10-24 03:52:36,2458050.662,null
2017-10-24 08:06:20,2458050.838,null
2018-01-04 00:37:41,2458122.526,null
2018-01-25 12:38:09,2458144.026,null
2018-01-25 14:24:54,2458144.101,null
2018-05-28 18:38:33,2458267.277,null
2018-07-21 18:18:02,2458321.263,null
2018-07-21 20:04:48,2458321.337,null
2018-10-27 08:56:41,2458418.873,null
2018-10-27 10:43:26,2458418.947,null
2018-11-08 21:02:26,2458431.377,null
2018-11-08 22:48:35,2458431.450,null
2018-12-15 08:10:22,2458467.841,null
2018-12-15 09:57:07,2458467.915,null
2019-01-19 21:24:13,2458503.392,null
2019-01-20 01:37:57,2458503.568,null
2019-02-03 13:45:48,2458518.073,null
2019-02-03 15:31:58,2458518.147,null
2019-02-03 19:45:42,2458518.323,null
2019-02-03 21:32:27,2458518.398,null
2019-04-17 21:48:41,2458591.409,null
2019-04-18 02:02:27,2458591.585,null
2019-04-18 03:48:37,2458591.659,null
2019-04-18 08:02:23,2458591.835,null
2019-04-30 02:12:14,2458603.592,null
2019-04-30 03:59:00,2458603.666,null
2019-04-30 08:12:46,2458603.842,null
2019-04-30 09:58:56,2458603.916,null
2019-06-09 03:36:37,2458643.650,null
2019-07-23 21:22:42,2458688.391,null
2019-07-23 23:08:53,2458688.465,null
2019-07-24 03:22:39,2458688.641,null
2019-07-24 05:09:24,2458688.715,null
2019-08-07 17:28:33,2458703.228,null
2019-08-07 21:42:19,2458703.404,null
2019-08-07 23:29:04,2458703.479,null
2019-08-08 03:42:15,2458703.654,null

