Gaia17adl
#Date,JD,averagemag.
2014-12-31 02:58:43,2457022.624,null
2014-12-31 04:45:28,2457022.698,null
2015-02-14 08:37:46,2457067.860,null
2015-02-14 10:24:32,2457067.934,null
2015-03-17 08:18:46,2457098.846,null
2015-03-17 10:05:32,2457098.921,null
2015-04-10 02:13:41,2457122.593,null
2015-04-10 04:00:26,2457122.667,null
2015-05-24 00:59:54,2457166.542,null
2015-05-24 02:46:39,2457166.616,null
2015-05-31 19:06:16,2457174.296,null
2015-05-31 20:53:01,2457174.370,null
2015-06-01 01:06:46,2457174.546,null
2015-07-18 11:30:07,2457221.979,null
2015-07-18 13:16:51,2457222.053,null
2015-08-03 05:34:20,2457237.732,null
2015-09-10 16:39:35,2457276.194,null
2015-09-10 18:26:20,2457276.268,null
2015-10-13 06:01:55,2457308.751,null
2015-10-13 10:15:39,2457308.928,null
2015-11-06 22:16:11,2457333.428,null
2015-11-07 00:02:21,2457333.502,null
2015-12-30 17:46:31,2457387.241,null
2015-12-30 22:00:17,2457387.417,null
2015-12-30 23:46:27,2457387.491,null
2015-12-31 04:00:12,2457387.667,null
2016-01-17 16:10:54,2457405.174,null
2016-01-17 17:57:40,2457405.248,null
2016-01-17 22:11:25,2457405.425,null
2016-01-17 23:58:11,2457405.499,null
2016-02-25 17:34:23,2457444.232,null
2016-03-30 09:18:06,2457477.888,null
2016-04-19 23:04:28,2457498.461,null
2016-06-04 19:55:05,2457544.330,null
2016-06-04 21:41:50,2457544.404,null
2016-06-05 01:55:35,2457544.580,null
2016-06-05 03:41:45,2457544.654,null
2016-06-10 20:00:07,2457550.333,null
2016-06-10 21:46:52,2457550.408,null
2016-06-11 02:00:37,2457550.584,null
2016-06-11 03:47:22,2457550.658,null
2016-07-28 06:29:42,2457597.771,null
2016-07-28 08:16:27,2457597.845,null
2016-08-16 08:16:48,2457616.845,null
2016-09-21 05:46:38,2457652.741,null
2016-09-21 07:33:23,2457652.815,null
2016-10-27 23:18:56,2457689.471,null
2016-10-28 01:05:06,2457689.545,null
2016-10-28 05:18:50,2457689.721,null
2016-11-17 17:26:01,2457710.226,null
2016-11-17 19:12:46,2457710.301,null
2017-01-10 18:57:32,2457764.290,18.80
2017-01-10 23:11:13,2457764.466,18.81
2017-01-11 00:57:47,2457764.540,18.81
2017-02-01 23:18:47,2457786.471,19.30
2017-02-02 01:05:21,2457786.545,null
2017-03-08 02:06:31,2457820.588,20.55
2017-04-13 05:38:29,2457856.735,null
2017-04-13 07:25:14,2457856.809,null
2017-04-30 13:29:31,2457874.062,null
2017-04-30 17:42:42,2457874.238,null
2017-06-16 16:12:01,2457921.175,null
2017-06-16 17:58:46,2457921.249,null
2017-06-16 22:11:56,2457921.425,null
2017-06-16 23:58:41,2457921.499,null
2017-06-23 04:17:21,2457927.679,null
2017-06-23 06:04:06,2457927.753,null
2017-06-23 10:17:16,2457927.929,null
2017-08-08 02:53:45,2457973.621,null
2017-08-08 04:40:29,2457973.695,null
2017-08-30 14:48:55,2457996.117,null
2017-10-02 22:03:52,2458029.419,null
2017-11-13 21:35:42,2458071.400,null
2017-11-14 01:49:26,2458071.576,null
2017-11-14 03:35:36,2458071.650,null
2017-11-14 07:49:20,2458071.826,null
2017-11-29 19:59:23,2458087.333,null
2017-11-29 21:46:08,2458087.407,null
2017-11-30 01:59:18,2458087.583,null
2017-11-30 03:46:03,2458087.657,null
2018-01-22 13:45:04,2458141.073,null
2018-01-22 15:31:49,2458141.147,null
2018-02-17 01:45:37,2458166.573,null
2018-03-19 07:29:09,2458196.812,null
2018-03-19 09:15:19,2458196.886,null
2018-04-27 00:35:51,2458235.525,null
2018-04-27 02:22:36,2458235.599,null
2018-05-11 02:29:17,2458249.604,null
2018-05-11 06:42:27,2458249.779,null
2018-06-27 17:06:10,2458297.213,null
2018-06-27 18:52:55,2458297.287,null
2018-07-06 12:58:29,2458306.041,null
2018-07-06 17:12:13,2458306.217,null
2018-09-13 23:32:13,2458375.481,null
2018-10-14 15:25:56,2458406.143,null
2018-10-14 17:12:06,2458406.217,null
2018-12-02 03:02:26,2458454.627,null
2018-12-02 04:48:36,2458454.700,null
2018-12-02 09:02:21,2458454.877,null
2018-12-02 10:49:05,2458454.951,null
2018-12-02 15:02:50,2458455.127,null
2018-12-02 16:49:00,2458455.201,null
2018-12-02 21:02:45,2458455.377,null
2018-12-13 09:11:25,2458465.883,null
2018-12-13 15:11:55,2458466.133,null
2018-12-13 16:58:05,2458466.207,null
2018-12-13 21:11:50,2458466.383,null
2018-12-13 22:58:35,2458466.457,null
2018-12-14 03:12:20,2458466.634,null
2018-12-14 04:59:05,2458466.708,null
2019-02-03 04:42:34,2458517.696,null
2019-03-03 10:33:58,2458545.940,null
2019-03-30 10:22:57,2458572.933,null
2019-05-10 19:32:25,2458614.314,null
2019-05-10 21:19:11,2458614.388,null
2019-05-21 13:39:48,2458625.069,null
2019-05-21 15:26:34,2458625.143,null
2019-07-08 06:01:31,2458672.751,null
2019-07-08 07:48:15,2458672.825,null
2019-08-07 14:30:35,2458703.105,null
2019-08-07 16:17:19,2458703.179,null
2019-09-06 11:21:44,2458732.973,null

