Gaia17aed
#Date,JD,averagemag.
2014-08-23 23:04:50,2456893.462,null
2014-08-24 00:51:00,2456893.535,null
2015-01-27 22:16:38,2457050.428,null
2015-01-28 00:03:23,2457050.502,null
2015-02-18 06:08:35,2457071.756,null
2015-02-18 10:21:46,2457071.932,null
2015-06-24 16:23:24,2457198.183,null
2015-06-24 18:10:09,2457198.257,null
2015-07-28 11:37:48,2457231.985,null
2015-08-17 05:37:45,2457251.735,null
2015-11-21 14:07:12,2457348.088,null
2015-11-21 18:20:58,2457348.265,null
2015-11-21 20:07:43,2457348.339,null
2015-12-02 14:15:05,2457359.094,null
2015-12-02 18:28:51,2457359.270,null
2016-01-08 11:44:17,2457395.989,null
2016-01-08 13:31:03,2457396.063,null
2016-02-12 23:20:26,2457431.473,null
2016-02-13 01:06:37,2457431.546,null
2016-02-27 05:30:28,2457445.729,null
2016-02-27 07:17:13,2457445.804,null
2016-02-27 11:30:59,2457445.980,null
2016-05-14 23:56:48,2457523.498,null
2016-05-15 01:42:58,2457523.572,null
2016-05-15 05:56:42,2457523.748,null
2016-05-15 07:43:27,2457523.822,null
2016-05-15 11:57:11,2457523.998,null
2016-05-15 13:43:21,2457524.072,null
2016-05-24 13:50:06,2457533.076,null
2016-05-24 18:03:50,2457533.253,null
2016-05-24 19:50:35,2457533.327,null
2016-05-25 00:04:19,2457533.503,null
2016-05-25 01:50:28,2457533.577,null
2016-07-05 01:18:47,2457574.555,null
2016-08-11 16:46:56,2457612.199,null
2016-08-25 16:51:58,2457626.203,null
2016-08-25 18:38:08,2457626.276,null
2016-11-29 09:07:45,2457721.880,null
2016-12-16 03:12:30,2457738.634,18.50
2017-01-18 02:41:27,2457771.612,18.79
2017-01-18 06:55:08,2457771.788,19.00
2017-05-23 02:24:51,2457896.601,null
2017-05-23 04:11:19,2457896.675,18.36
2017-06-12 08:29:58,2457916.854,19.44
2017-06-12 10:16:32,2457916.928,19.24
2017-07-16 08:02:48,2457950.835,19.21
2017-07-16 09:49:22,2457950.909,18.79
2017-08-27 19:05:17,2457993.295,19.35
2017-08-27 20:51:51,2457993.369,18.56
2017-08-28 01:05:30,2457993.545,19.09
2017-08-28 02:52:04,2457993.619,18.61
2017-09-02 07:09:36,2457998.798,18.65
2017-09-02 08:56:09,2457998.872,18.51
2017-09-02 13:09:49,2457999.048,18.45
2017-09-02 14:56:22,2457999.122,19.34
2017-09-02 20:56:36,2457999.373,19.76
2017-12-08 21:47:40,2458096.408,18.75
2017-12-08 23:34:15,2458096.482,19.07
2017-12-30 09:46:46,2458117.907,null
2018-01-28 21:29:02,2458147.395,null
2018-06-02 15:33:34,2458272.148,null
2018-06-02 17:20:18,2458272.222,null
2018-06-28 09:28:28,2458297.895,null
2018-12-18 22:54:44,2458471.455,null
2019-01-13 12:31:26,2458497.022,19.43
2019-02-08 10:39:56,2458522.944,null
2019-02-08 12:26:22,2458523.018,20.26
2019-06-13 16:43:06,2458648.197,null
2019-06-13 18:29:50,2458648.271,null
2019-07-13 16:24:46,2458678.184,null
2019-07-13 18:11:31,2458678.258,null
2019-08-13 00:56:45,2458708.539,null
2019-08-13 02:43:29,2458708.614,null
2019-12-15 10:51:03,2458832.952,null
2020-01-12 18:05:09,2458861.254,null
2020-01-12 19:51:38,2458861.328,21.15

