Gaia17ael
#Date,JD,averagemag.
2015-02-18 09:09:21,2457071.881,null
2015-04-08 16:31:25,2457121.188,null
2015-04-08 20:45:11,2457121.365,null
2015-07-15 10:58:42,2457218.957,null
2015-07-15 12:45:27,2457219.032,null
2015-07-28 11:04:40,2457231.962,null
2015-07-28 12:51:24,2457232.036,null
2015-09-03 22:20:30,2457269.431,null
2016-01-11 06:22:02,2457398.765,null
2016-01-11 10:35:48,2457398.942,null
2016-01-11 12:21:59,2457399.015,null
2016-01-11 16:35:45,2457399.191,null
2016-01-24 22:44:59,2457412.448,null
2016-01-25 00:31:45,2457412.522,null
2016-02-28 22:20:25,2457447.431,null
2016-02-29 00:06:36,2457447.505,null
2016-04-09 03:37:37,2457487.651,null
2016-04-09 05:24:23,2457487.725,null
2016-04-09 09:38:09,2457487.901,null
2016-04-09 11:24:19,2457487.975,null
2016-04-14 15:42:44,2457493.155,null
2016-04-14 17:29:30,2457493.229,null
2016-04-14 21:43:16,2457493.405,null
2016-04-14 23:30:01,2457493.479,null
2016-04-15 03:43:12,2457493.655,null
2016-07-23 11:59:48,2457593.000,null
2016-07-23 13:46:32,2457593.074,null
2016-08-12 01:47:01,2457612.574,null
2016-09-13 23:29:42,2457645.479,null
2017-01-18 19:29:13,2457772.312,18.90
2017-01-18 23:42:54,2457772.488,18.88
2017-02-08 19:09:29,2457793.298,untrusted
2017-02-08 20:56:17,2457793.372,null
2017-03-10 12:52:54,2457823.037,18.29
2017-03-10 14:39:29,2457823.111,18.31
2017-08-02 14:26:36,2457968.102,untrusted
2017-08-02 16:13:24,2457968.176,null
2017-08-27 04:04:22,2457992.670,null
2018-01-28 16:01:49,2458147.168,null
2018-03-20 21:48:40,2458198.409,null
2018-08-13 03:33:16,2458343.648,null
2018-08-13 05:20:01,2458343.722,null
2018-09-11 09:13:11,2458372.884,null
2018-09-11 10:59:55,2458372.958,null
2018-10-05 03:09:20,2458396.631,null
2018-10-05 04:55:30,2458396.705,null
2019-02-07 23:12:51,2458522.467,null
2019-02-08 03:26:38,2458522.643,null
2019-03-10 03:07:54,2458552.630,null
2019-03-10 04:54:04,2458552.704,null
2019-03-30 21:09:27,2458573.382,null
2019-03-30 22:56:12,2458573.456,null
2019-08-12 15:55:58,2458708.164,null
2019-09-13 09:28:18,2458739.895,null
2019-09-13 11:15:02,2458739.969,null

