Gaia17aep
#Date,JD,averagemag.
2014-08-06 16:34:58,2456876.191,19.89
2014-08-06 18:21:32,2456876.265,untrusted
2014-08-06 22:35:11,2456876.441,19.88
2014-08-07 00:21:45,2456876.515,19.77
2014-08-07 04:35:24,2456876.691,untrusted
2014-08-07 06:21:58,2456876.765,untrusted
2014-08-07 10:35:37,2456876.941,19.71
2014-08-07 12:22:11,2456877.015,untrusted
2014-11-07 05:30:12,2456968.729,19.85
2014-11-07 07:16:47,2456968.803,19.76
2014-11-24 07:20:48,2456985.806,19.67
2015-02-03 16:33:05,2457057.190,19.91
2015-02-03 18:19:40,2457057.264,19.94
2015-02-20 10:44:27,2457073.948,null
2015-02-20 12:30:32,2457074.021,untrusted
2015-02-20 16:44:13,2457074.197,19.90
2015-02-20 18:30:47,2457074.271,19.67
2015-04-23 10:38:58,2457135.944,untrusted
2015-04-23 12:25:30,2457136.018,null
2015-05-14 04:45:58,2457156.699,19.70
2015-05-14 06:32:32,2457156.773,19.78
2015-06-19 10:18:45,2457192.930,null
2015-06-19 12:05:29,2457193.004,null
2015-07-27 15:29:30,2457231.145,null
2015-08-12 09:33:31,2457246.898,null
2015-08-12 11:20:15,2457246.972,null
2015-11-17 08:19:27,2457343.847,19.88
2015-12-08 00:32:03,2457364.522,19.72
2015-12-08 02:18:38,2457364.596,19.82
2016-01-08 18:06:40,2457396.255,19.64
2016-02-23 11:46:54,2457441.991,19.66
2016-02-23 17:47:09,2457442.241,19.55
2016-02-23 19:33:43,2457442.315,19.49
2016-02-23 23:47:53,2457442.492,null
2016-02-24 01:33:58,2457442.565,19.72
2016-02-24 05:47:39,2457442.741,19.71
2016-02-24 07:34:13,2457442.815,19.67
2016-02-24 11:48:19,2457442.992,null
2016-02-24 13:34:28,2457443.066,19.56
2016-02-24 17:48:09,2457443.242,19.70
2016-02-24 19:34:43,2457443.316,19.70
2016-02-24 23:48:23,2457443.492,untrusted
2016-02-25 01:34:58,2457443.566,19.71
2016-02-25 07:35:12,2457443.816,19.74
2016-02-25 13:35:27,2457444.066,19.55
2016-02-25 19:35:41,2457444.316,19.71
2016-02-27 07:37:08,2457445.817,19.71
2016-02-27 13:37:22,2457446.068,19.71
2016-02-27 19:37:37,2457446.318,19.69
2016-02-28 01:37:51,2457446.568,19.81
2016-02-28 05:51:31,2457446.744,untrusted
2016-02-28 07:38:06,2457446.818,19.72
2016-02-28 11:51:46,2457446.994,19.63
2016-02-28 13:38:20,2457447.068,19.51
2016-02-28 17:52:01,2457447.244,19.78
2016-02-28 19:38:35,2457447.318,19.71
2016-02-28 23:52:15,2457447.495,19.72
2016-02-29 01:38:50,2457447.569,19.56
2016-02-29 05:52:30,2457447.745,19.63
2016-02-29 07:39:04,2457447.819,19.59
2016-02-29 11:52:45,2457447.995,19.64
2016-02-29 13:39:19,2457448.069,19.79
2016-02-29 17:53:00,2457448.245,19.50
2016-02-29 23:53:15,2457448.495,19.65
2016-05-03 17:48:47,2457512.242,19.31
2016-05-03 19:35:21,2457512.316,null
2016-05-03 23:49:00,2457512.492,untrusted
2016-05-29 07:34:10,2457537.815,19.40
2016-05-29 11:47:49,2457537.992,19.31
2016-06-29 23:26:19,2457569.477,null
2016-06-30 01:13:03,2457569.551,null
2016-08-10 00:11:18,2457610.508,null
2016-08-10 04:24:35,2457610.684,19.76
2016-08-21 04:30:33,2457621.688,19.79
2016-08-21 06:17:07,2457621.762,19.85
2016-08-21 10:30:46,2457621.938,19.95
2016-08-21 12:17:20,2457622.012,19.91
2016-10-11 04:33:57,2457672.690,19.72
2016-10-11 10:34:12,2457672.940,19.48
2016-10-11 14:47:53,2457673.117,19.51
2016-10-11 16:34:27,2457673.191,19.67
2016-10-11 20:48:08,2457673.367,19.44
2016-10-11 22:34:42,2457673.441,19.72
2016-10-12 02:48:23,2457673.617,19.65
2016-10-12 04:34:57,2457673.691,19.46
2016-10-12 08:48:38,2457673.867,19.67
2016-10-12 10:35:12,2457673.941,19.67
2016-10-12 14:48:53,2457674.117,19.59
2016-10-12 16:35:27,2457674.191,19.60
2016-10-12 22:35:42,2457674.441,19.67
2016-11-26 15:24:26,2457719.142,19.86
2016-11-26 19:38:07,2457719.318,19.66
2017-01-18 19:17:19,2457772.304,17.38
2017-01-18 21:03:54,2457772.378,17.62
2017-05-15 14:21:13,2457889.098,19.15
2017-05-15 16:07:47,2457889.172,19.29
2017-06-13 15:55:34,2457918.164,19.45
2017-06-13 20:09:13,2457918.340,19.14
2017-07-11 07:54:32,2457945.830,19.06
2017-07-11 09:41:06,2457945.904,19.13
2017-08-24 18:42:31,2457990.280,null
2017-08-24 20:29:16,2457990.354,null
2017-08-25 00:43:01,2457990.530,null
2017-08-25 02:29:45,2457990.604,null
2017-08-30 06:46:58,2457995.783,19.48
2017-08-30 08:33:32,2457995.857,18.91
2017-08-30 12:47:21,2457996.033,null
2017-08-30 14:34:06,2457996.107,null
2017-10-19 06:48:47,2458045.784,19.49
2017-10-19 11:02:28,2458045.960,19.04
2017-10-19 12:49:02,2458046.034,18.98
2017-10-27 18:55:29,2458054.289,19.44
2017-10-27 23:09:09,2458054.465,19.38
2017-10-28 00:56:03,2458054.539,null
2017-12-07 05:53:52,2458094.746,19.27
2018-01-04 03:53:31,2458122.662,18.85
2018-01-04 05:40:06,2458122.736,18.84
2018-01-29 21:51:06,2458148.410,null
