Gaia17agl
#Date,JD,averagemag.
2014-11-01 09:00:44,2456962.876,null
2014-11-01 10:47:29,2456962.950,null
2015-02-11 03:55:07,2457064.663,null
2015-02-11 08:08:52,2457064.839,null
2015-03-10 02:08:00,2457091.589,null
2015-03-10 03:54:45,2457091.663,null
2015-04-12 21:35:06,2457125.399,null
2015-05-18 14:58:47,2457161.124,null
2015-06-09 14:57:21,2457183.123,null
2015-07-21 23:57:29,2457225.498,null
2015-07-22 01:43:39,2457225.572,null
2015-08-07 01:48:08,2457241.575,null
2015-08-07 06:01:53,2457241.751,null
2015-09-17 10:49:26,2457282.951,null
2015-10-10 16:41:57,2457306.196,null
2015-11-13 04:07:26,2457339.672,null
2015-11-13 05:53:36,2457339.746,null
2015-12-18 11:27:37,2457374.978,null
2015-12-18 15:41:22,2457375.154,null
2016-01-12 23:28:56,2457400.478,null
2016-01-13 03:42:06,2457400.654,null
2016-01-13 05:28:51,2457400.728,null
2016-02-24 03:18:11,2457442.638,null
2016-02-24 05:04:56,2457442.712,null
2016-03-23 15:12:29,2457471.134,null
2016-03-23 16:59:14,2457471.208,null
2016-04-23 20:56:35,2457502.373,null
2016-05-31 08:11:30,2457539.841,null
2016-05-31 09:57:40,2457539.915,null
2016-06-20 08:12:45,2457559.842,null
2016-08-02 00:54:56,2457602.538,null
2016-08-02 02:41:41,2457602.612,null
2016-08-18 18:58:56,2457619.291,null
2016-08-18 20:45:41,2457619.365,null
2016-10-23 07:27:05,2457684.810,null
2016-11-24 05:14:41,2457716.719,null
2016-12-31 22:47:34,2457754.450,null
2017-01-01 00:34:19,2457754.524,null
2017-01-01 04:48:03,2457754.700,null
2017-01-25 16:51:01,2457779.202,17.14
2017-01-25 18:37:36,2457779.276,17.05
2017-01-25 22:51:16,2457779.452,17.16
2017-03-07 17:50:34,2457820.243,null
2017-04-06 23:38:14,2457850.485,null
2017-04-07 01:24:59,2457850.559,null
2017-05-05 17:25:58,2457879.226,null
2017-06-13 16:32:03,2457918.189,null
2017-06-13 18:18:48,2457918.263,null
2017-07-02 00:22:06,2457936.515,null
2017-08-13 21:16:19,2457979.386,null
2017-08-13 23:03:04,2457979.460,null
2017-08-31 21:18:28,2457997.388,null
2017-10-09 10:05:15,2458035.920,null
2017-11-06 03:48:48,2458063.659,null
2017-12-06 03:31:06,2458093.647,null
2018-01-15 07:18:34,2458133.805,null
2018-01-15 09:04:44,2458133.878,null
2018-02-09 01:22:44,2458158.557,null
2018-02-09 03:09:29,2458158.632,null
2018-03-20 00:59:44,2458197.541,null
2018-04-21 02:26:51,2458229.602,null
2018-05-17 12:31:53,2458256.022,null
2018-06-26 23:30:47,2458296.480,null
2018-06-27 01:16:57,2458296.553,null
2018-07-13 23:34:49,2458313.483,null
2018-08-25 16:15:53,2458356.178,null
2018-09-14 00:01:45,2458375.501,null
2018-11-20 03:03:13,2458442.627,null
2018-11-20 04:49:23,2458442.701,null
2018-12-18 14:53:21,2458471.120,null
2019-01-29 04:13:54,2458512.676,null
2019-01-29 08:27:39,2458512.853,null
2019-02-23 20:30:51,2458538.355,null
2019-02-23 22:17:01,2458538.428,null
2019-04-01 02:08:28,2458574.589,null
2019-04-01 03:55:13,2458574.663,null
2019-05-05 01:40:48,2458608.570,null
2019-05-05 03:27:33,2458608.644,null
2019-05-29 03:22:49,2458632.641,null
2019-05-29 07:36:35,2458632.817,null
2019-07-09 18:28:20,2458674.270,null
2019-07-09 20:15:05,2458674.344,null
2019-08-02 14:50:25,2458698.118,null
2019-08-02 16:36:35,2458698.192,null
2019-08-29 11:23:35,2458724.975,null
2019-08-29 15:37:19,2458725.151,null

