Gaia17ahw
#Date,JD,averagemag.
2015-02-28 09:35:12,2457081.899,null
2015-03-28 15:21:59,2457110.140,null
2015-03-28 17:08:44,2457110.214,null
2015-04-21 15:23:21,2457134.141,null
2015-08-30 15:37:48,2457265.151,null
2015-08-30 17:24:33,2457265.225,null
2015-09-30 21:12:11,2457296.383,null
2015-10-21 21:08:25,2457317.381,null
2015-10-21 22:54:34,2457317.455,null
2016-03-09 22:45:03,2457457.448,null
2016-04-12 06:09:56,2457490.757,null
2016-04-30 04:32:33,2457508.689,null
2016-04-30 06:19:19,2457508.763,null
2016-04-30 10:33:05,2457508.940,null
2016-09-09 18:33:12,2457641.273,null
2016-10-14 16:06:54,2457676.171,null
2016-10-14 17:53:39,2457676.246,null
2016-10-30 04:10:31,2457691.674,null
2016-10-30 05:56:41,2457691.748,null
2017-01-31 02:10:46,2457784.591,18.37
2017-01-31 06:24:27,2457784.767,18.41
2017-02-12 19:54:33,2457797.330,18.89
2017-02-12 21:41:08,2457797.404,18.94
2017-03-20 15:04:33,2457833.128,null
2017-05-02 00:54:42,2457875.538,null
2017-05-02 06:54:38,2457875.788,null
2017-05-02 08:41:24,2457875.862,null
2017-05-02 12:55:10,2457876.038,null
2017-05-02 14:41:55,2457876.112,null
2017-05-02 18:55:06,2457876.288,null
2017-05-02 20:41:52,2457876.362,null
2017-05-03 00:55:37,2457876.539,null
2017-05-03 02:42:23,2457876.613,null
2017-05-03 06:55:34,2457876.789,null
2017-05-03 08:42:19,2457876.863,null
2017-05-03 12:56:05,2457877.039,null
2017-05-03 14:42:51,2457877.113,null
2017-05-03 18:56:37,2457877.289,null
2017-05-03 20:42:47,2457877.363,null
2017-05-04 00:56:33,2457877.539,null
2017-05-04 02:43:18,2457877.613,null
2017-05-04 06:57:04,2457877.790,null
2017-05-04 08:43:15,2457877.863,null
2017-05-04 12:57:01,2457878.040,null
2017-05-04 14:43:46,2457878.114,null
2017-05-04 18:57:32,2457878.290,null
2017-05-04 20:43:42,2457878.364,null
2017-05-05 00:57:28,2457878.540,null
2017-05-05 02:44:14,2457878.614,null
2017-05-05 06:58:00,2457878.790,null
2017-05-05 08:44:45,2457878.864,null
2017-05-05 12:57:56,2457879.040,null
2017-05-05 14:44:41,2457879.114,null
2017-05-05 18:58:27,2457879.291,null
2017-05-06 00:58:59,2457879.541,null
2017-07-31 07:42:24,2457965.821,null
2017-07-31 09:28:34,2457965.895,null
2017-07-31 13:42:18,2457966.071,null
2017-07-31 15:29:03,2457966.145,null
2017-08-15 01:50:00,2457980.576,null
2017-08-15 03:36:44,2457980.651,null
2017-08-15 07:50:28,2457980.827,null
2017-09-20 19:17:55,2458017.304,null
2017-09-20 21:04:04,2458017.378,null
2017-10-30 06:24:57,2458056.767,null
2017-10-30 08:11:41,2458056.841,null
2017-10-30 12:25:25,2458057.018,null
2017-11-06 18:30:29,2458064.271,null
2017-11-06 20:16:39,2458064.345,null
2017-11-07 00:30:23,2458064.521,null
2017-11-07 02:17:07,2458064.595,null
2018-02-08 20:49:36,2458158.368,null
2018-03-31 10:16:07,2458208.928,null
2018-03-31 14:29:18,2458209.104,null
2018-08-09 14:49:16,2458340.118,null
2018-08-09 16:35:26,2458340.191,null
2018-08-31 20:49:45,2458362.368,null
2018-08-31 22:35:54,2458362.442,null
2018-10-01 14:25:31,2458393.101,null
2018-10-01 16:12:15,2458393.175,null
2019-02-18 09:55:26,2458532.913,null
2019-02-18 11:41:37,2458532.987,null
2019-03-14 03:51:11,2458556.661,null
2019-04-11 05:27:37,2458584.728,null
2019-04-11 09:40:48,2458584.903,null
2019-08-23 14:01:19,2458719.084,null
2019-08-23 15:48:03,2458719.158,null
2019-09-17 08:52:17,2458743.870,null
2019-09-17 10:38:26,2458743.943,null

