Gaia17aih
#Date,JD,averagemag.
2014-11-16 18:35:18,2456978.275,null
2015-01-13 18:49:35,2457036.284,null
2015-01-13 23:03:20,2457036.461,null
2015-01-24 23:09:20,2457047.465,null
2015-01-25 00:56:06,2457047.539,null
2015-03-06 04:00:09,2457087.667,null
2015-03-31 09:52:13,2457112.911,null
2015-05-01 11:23:11,2457143.974,null
2015-06-17 09:17:59,2457190.887,null
2015-06-17 11:04:10,2457190.961,null
2015-06-17 15:17:55,2457191.137,null
2015-06-17 17:04:40,2457191.212,null
2015-07-05 17:16:53,2457209.220,null
2015-07-05 21:30:03,2457209.396,null
2015-07-05 23:16:48,2457209.470,null
2015-07-06 03:30:33,2457209.646,null
2015-07-06 05:17:18,2457209.720,null
2015-08-24 22:55:44,2457259.455,null
2015-09-23 22:41:29,2457289.445,null
2015-10-21 08:39:36,2457316.861,null
2015-11-29 15:16:49,2457356.137,null
2015-11-29 19:30:34,2457356.313,null
2015-12-12 01:35:55,2457368.567,null
2015-12-12 03:22:05,2457368.640,null
2016-01-24 05:59:23,2457411.750,null
2016-01-24 07:46:08,2457411.824,null
2016-02-06 12:05:30,2457425.004,null
2016-02-06 13:52:15,2457425.078,null
2016-03-16 05:05:55,2457463.712,null
2016-04-13 18:39:20,2457492.277,null
2016-05-12 16:48:08,2457521.200,null
2016-05-12 18:34:19,2457521.274,null
2016-07-02 22:31:38,2457572.439,null
2016-07-03 00:17:48,2457572.512,null
2016-07-03 04:31:33,2457572.689,null
2016-07-03 06:18:18,2457572.763,null
2016-07-22 00:29:49,2457591.521,null
2016-07-22 04:43:33,2457591.697,null
2016-07-22 06:29:43,2457591.771,null
2016-07-22 10:43:28,2457591.947,null
2016-09-05 04:18:18,2457636.679,null
2016-09-05 06:04:27,2457636.753,null
2016-10-07 05:39:52,2457668.736,null
2016-12-11 04:11:20,2457733.675,null
2016-12-11 08:25:04,2457733.851,null
2016-12-21 10:17:35,2457743.929,null
2016-12-21 14:31:20,2457744.105,null
2017-02-02 12:57:40,2457787.040,18.68
2017-02-02 14:44:15,2457787.114,18.68
2017-02-18 14:24:26,2457803.100,19.54
2017-02-18 16:11:00,2457803.174,19.46
2017-03-27 09:23:04,2457839.891,null
2017-03-27 13:36:14,2457840.067,21.00
2017-04-28 19:19:00,2457872.305,null
2017-04-28 21:05:10,2457872.379,null
2017-05-25 03:08:07,2457898.631,null
2017-05-25 07:21:52,2457898.807,null
2017-05-25 09:08:38,2457898.881,null
2017-07-17 13:06:06,2457952.046,null
2017-07-17 14:52:51,2457952.120,null
2017-07-17 19:06:36,2457952.296,null
2017-07-17 20:53:21,2457952.370,null
2017-08-08 09:02:14,2457973.877,null
2017-08-08 13:15:58,2457974.053,null
2017-08-08 15:02:43,2457974.127,null
2017-09-17 02:35:32,2458013.608,null
2017-10-21 01:58:59,2458047.583,null
2017-10-21 06:12:43,2458047.759,null
2017-11-11 00:08:14,2458068.506,null
2017-11-11 01:54:59,2458068.580,null
2017-12-23 04:42:19,2458110.696,null
2017-12-23 06:28:29,2458110.770,null
2018-01-01 10:47:56,2458119.950,null
2018-01-01 12:34:41,2458120.024,null
2018-02-12 23:07:19,2458162.463,null
2018-03-03 23:08:48,2458181.464,null
2018-04-07 22:31:41,2458216.439,null
2018-05-14 14:24:33,2458253.100,null
2018-05-14 16:11:18,2458253.175,null
2018-06-07 02:33:41,2458276.607,null
2018-06-07 04:19:51,2458276.680,null
2018-06-07 08:33:36,2458276.857,null
2018-07-31 02:17:49,2458330.596,null
2018-07-31 04:03:59,2458330.669,null
2018-08-24 20:21:32,2458355.348,null
2018-08-24 22:08:16,2458355.422,null
2018-09-28 19:56:25,2458390.331,null
2018-09-28 21:42:34,2458390.405,null
2018-11-03 19:08:37,2458426.298,null
2018-11-21 13:08:29,2458444.048,null
2018-11-21 14:55:14,2458444.122,null
2019-01-03 11:36:31,2458486.984,null
2019-01-03 13:23:16,2458487.058,null
2019-01-12 23:42:48,2458496.488,null
2019-01-13 01:29:34,2458496.562,null
2019-02-23 16:23:53,2458538.183,null
2019-03-17 16:20:43,2458560.181,null
2019-03-17 18:07:29,2458560.255,null
2019-04-19 17:41:22,2458593.237,null
2019-05-31 09:34:13,2458634.899,null
2019-05-31 11:20:24,2458634.973,null
2019-06-20 21:46:07,2458655.407,null
2019-06-20 23:32:17,2458655.481,null
2019-06-21 03:46:02,2458655.657,null
2019-08-29 01:43:19,2458724.572,null
2019-08-29 03:29:29,2458724.645,null
2019-09-20 22:15:59,2458747.428,null

