Gaia17akf
#Date,JD,averagemag.
2015-01-15 03:36:59,2457037.651,null
2015-02-13 15:19:58,2457067.139,null
2015-02-13 17:06:09,2457067.213,null
2015-07-08 17:01:40,2457212.209,null
2015-07-08 18:47:50,2457212.283,null
2015-08-02 16:51:58,2457237.203,null
2015-08-31 18:21:53,2457266.265,null
2016-01-03 16:42:37,2457391.196,null
2016-01-03 18:29:23,2457391.270,null
2016-01-29 16:36:41,2457417.192,null
2016-01-29 18:22:51,2457417.266,null
2016-02-24 00:14:50,2457442.510,null
2016-07-18 12:07:39,2457588.005,null
2016-07-18 13:54:23,2457588.079,null
2016-08-16 23:48:11,2457617.492,null
2016-08-17 01:34:56,2457617.566,null
2016-09-10 11:44:07,2457641.989,null
2016-09-10 13:30:52,2457642.063,null
2017-01-13 05:54:07,2457766.746,null
2017-02-12 00:57:05,2457796.540,18.56
2017-02-12 02:43:40,2457796.614,18.58
2017-03-05 00:57:46,2457817.540,19.36
2017-06-12 03:29:27,2457916.645,null
2017-06-12 09:29:56,2457916.896,null
2017-06-12 11:16:05,2457916.970,null
2017-06-12 15:29:50,2457917.146,null
2017-06-12 17:16:34,2457917.220,null
2017-06-12 21:30:18,2457917.396,null
2017-06-12 23:16:28,2457917.470,null
2017-06-13 05:16:57,2457917.720,null
2017-06-15 05:18:27,2457919.721,null
2017-06-15 11:18:55,2457919.971,null
2017-06-15 15:32:39,2457920.148,null
2017-06-15 17:18:49,2457920.221,null
2017-06-15 21:32:33,2457920.398,null
2017-06-15 23:19:18,2457920.472,null
2017-06-16 03:33:02,2457920.648,null
2017-06-16 05:19:11,2457920.722,null
2017-06-16 09:32:56,2457920.898,null
2017-07-29 14:37:26,2457964.109,null
2017-09-01 21:55:01,2457998.413,null
2017-09-02 02:08:45,2457998.589,null
2017-09-20 08:14:10,2458016.843,null
2017-09-20 10:00:55,2458016.917,null
2018-01-23 20:27:23,2458142.352,null
2018-03-14 08:01:55,2458191.835,null
2018-03-14 09:48:41,2458191.909,null
2018-06-19 06:11:17,2458288.758,null
2018-06-19 10:25:01,2458288.934,null
2018-06-19 12:11:46,2458289.008,null
2018-07-03 10:30:35,2458302.938,null
2018-08-09 17:32:17,2458340.231,null
2018-09-21 10:59:41,2458382.958,null
2018-09-21 15:13:25,2458383.134,null
2018-09-21 17:00:10,2458383.208,null
2018-09-21 21:13:54,2458383.385,null
2018-09-21 23:00:03,2458383.458,null
2018-09-22 03:13:47,2458383.635,null
2018-09-22 05:00:32,2458383.709,null
2018-09-22 09:14:16,2458383.885,null
2018-09-22 11:00:26,2458383.959,null
2018-09-22 15:14:10,2458384.135,null
2018-09-22 21:14:38,2458384.385,null
2018-09-23 03:14:32,2458384.635,null
2018-09-24 15:16:14,2458386.136,null
2018-09-24 21:16:08,2458386.386,null
2018-09-25 03:16:37,2458386.637,null
2018-09-25 05:02:46,2458386.710,null
2018-09-25 09:16:30,2458386.886,null
2018-09-25 11:03:15,2458386.961,null
2018-09-25 15:16:59,2458387.137,null
2018-09-25 17:03:09,2458387.211,null
2018-09-25 21:16:53,2458387.387,null
2018-09-25 23:03:38,2458387.461,null
2018-09-26 03:17:22,2458387.637,null
2018-09-26 05:04:06,2458387.711,null
2018-09-26 09:17:15,2458387.887,null
2018-09-26 11:04:00,2458387.961,null
2018-12-16 05:39:14,2458468.736,null
2018-12-16 09:53:00,2458468.912,null
2018-12-16 11:39:46,2458468.986,null
2018-12-30 10:02:35,2458482.918,null
2018-12-30 11:49:21,2458482.993,null
2018-12-30 16:03:07,2458483.169,null
2018-12-30 17:49:17,2458483.243,null
2019-02-03 09:38:27,2458517.902,null
2019-02-03 11:24:38,2458517.975,null
2019-03-13 14:53:40,2458556.121,null
2019-03-13 16:40:26,2458556.195,null
2019-03-13 20:54:12,2458556.371,null
2019-03-13 22:40:57,2458556.445,null
2019-03-22 09:01:31,2458564.876,null
2019-03-22 10:47:41,2458564.950,null
2019-03-22 15:01:27,2458565.126,null
2019-06-28 17:26:04,2458663.226,null
2019-06-28 19:12:13,2458663.300,null
2019-08-07 19:48:49,2458703.326,null
2019-08-07 21:35:34,2458703.400,null
2019-09-17 03:48:53,2458743.659,null
2019-09-17 05:35:37,2458743.733,null
2019-09-17 09:49:21,2458743.909,null
2019-09-25 03:57:09,2458751.665,null
2019-09-25 05:43:54,2458751.739,null
2019-09-25 09:57:03,2458751.915,null
2019-09-25 11:43:47,2458751.989,null

