Gaia17akm
#Date,JD,averagemag.
2015-01-14 20:19:27,2457037.347,null
2015-02-12 00:11:36,2457065.508,null
2015-07-08 15:49:36,2457212.159,null
2015-07-08 20:03:22,2457212.336,null
2015-08-04 13:56:29,2457239.081,null
2015-08-04 15:42:39,2457239.155,null
2015-09-01 19:50:20,2457267.327,null
2016-01-01 13:46:39,2457389.074,null
2016-01-29 07:28:47,2457416.812,null
2016-02-22 07:17:16,2457440.804,null
2016-02-22 09:03:25,2457440.877,null
2016-07-18 16:58:37,2457588.207,null
2016-08-18 22:43:48,2457619.447,null
2016-09-11 15:01:33,2457643.126,null
2016-09-11 16:48:19,2457643.200,null
2017-01-11 02:55:01,2457764.622,19.28
2017-01-11 04:41:34,2457764.696,19.22
2017-02-11 09:45:57,2457795.907,17.37
2017-02-11 11:32:30,2457795.981,17.36
2017-03-03 09:42:55,2457815.905,18.22
2017-06-08 18:19:51,2457913.264,null
2017-06-08 20:06:36,2457913.338,null
2017-06-20 12:28:02,2457925.019,null
2017-06-20 14:14:47,2457925.094,null
2017-07-29 23:44:53,2457964.490,null
2017-07-30 01:31:04,2457964.563,null
2017-09-04 11:23:31,2458000.975,null
2017-09-04 13:10:17,2458001.049,null
2017-09-21 13:20:44,2458018.056,null
2017-09-21 17:34:29,2458018.232,null
2017-09-21 19:21:15,2458018.306,null
2017-12-04 11:52:10,2458091.995,null
2017-12-04 13:38:55,2458092.069,null
2017-12-04 17:52:39,2458092.245,null
2017-12-04 19:38:49,2458092.319,null
2017-12-04 23:52:33,2458092.495,null
2017-12-05 01:39:18,2458092.569,null
2017-12-05 07:39:12,2458092.819,null
2017-12-12 19:45:26,2458100.323,null
2017-12-12 23:58:35,2458100.499,null
2017-12-13 01:45:20,2458100.573,null
2017-12-13 05:59:04,2458100.749,null
2017-12-13 07:45:48,2458100.823,null
2017-12-13 11:59:32,2458101.000,null
2018-01-21 23:26:15,2458140.477,null
2018-01-22 01:12:25,2458140.550,null
2018-03-12 18:30:48,2458190.271,null
2018-03-12 22:43:57,2458190.447,null
2018-06-18 01:20:12,2458287.556,null
2018-06-18 03:06:57,2458287.630,null
2018-07-05 19:26:35,2458305.310,null
2018-07-05 21:13:21,2458305.384,null
2018-08-10 08:42:25,2458340.863,null
2018-12-12 06:58:05,2458464.790,null
2018-12-12 08:44:50,2458464.864,null
2018-12-31 01:03:24,2458483.544,null
2019-03-12 07:22:02,2458554.807,null
2019-03-12 11:35:46,2458554.983,null
2019-03-12 13:21:55,2458555.057,null
2019-03-21 05:40:51,2458563.737,null
2019-03-21 07:27:36,2458563.811,null
2019-03-21 11:41:20,2458563.987,null
2019-03-21 13:28:04,2458564.061,null
2019-06-28 08:25:05,2458662.851,null
2019-08-05 22:50:46,2458701.452,null
2019-08-06 00:36:56,2458701.526,null
2019-09-15 19:05:08,2458742.295,null
2019-09-15 20:51:53,2458742.369,null
2019-09-24 07:15:49,2458750.803,null
2019-09-24 09:01:59,2458750.876,null
2019-09-24 13:15:45,2458751.053,null

