Gaia17amp
#Date,JD,averagemag.
2014-08-29 23:25:57,2456899.476,null
2014-08-30 01:12:07,2456899.550,null
2015-02-16 17:42:42,2457070.238,null
2015-02-16 21:56:29,2457070.414,null
2015-07-01 04:34:14,2457204.690,null
2015-07-01 06:20:59,2457204.765,null
2015-07-29 18:03:29,2457233.252,null
2015-07-29 22:17:13,2457233.429,null
2015-08-23 04:09:22,2457257.673,null
2015-08-23 05:56:07,2457257.747,null
2016-01-07 17:18:30,2457395.221,null
2016-01-07 19:05:16,2457395.295,null
2016-02-05 23:01:17,2457424.459,null
2016-02-06 00:48:02,2457424.533,null
2016-02-26 11:05:18,2457444.962,null
2016-02-26 12:52:04,2457445.036,null
2016-07-10 23:43:00,2457580.488,null
2016-07-11 01:29:09,2457580.562,null
2016-08-13 06:58:53,2457613.791,null
2016-08-31 23:14:39,2457632.469,null
2016-09-01 01:00:49,2457632.542,null
2017-01-17 02:15:52,2457770.594,null
2017-02-20 13:24:30,2457805.059,18.92
2017-02-20 15:11:04,2457805.133,18.90
2017-03-05 15:20:13,2457818.139,19.24
2017-03-05 19:33:54,2457818.315,untrusted
2017-03-05 21:20:29,2457818.389,19.28
2017-07-22 02:14:25,2457956.593,null
2017-07-22 04:00:34,2457956.667,null
2017-08-29 15:17:32,2457995.137,null
2017-08-29 19:31:16,2457995.313,null
2017-08-29 21:18:00,2457995.388,null
2017-09-08 19:37:21,2458005.318,null
2017-09-08 21:24:05,2458005.392,null
2017-12-11 05:12:11,2458098.717,null
2017-12-11 09:25:57,2458098.893,null
2017-12-24 03:34:17,2458111.649,null
2017-12-24 05:21:03,2458111.723,null
2018-01-27 10:49:20,2458145.951,null
2018-06-11 15:49:12,2458281.159,null
2018-06-11 17:35:22,2458281.233,null
2018-06-28 11:40:40,2458297.987,null
2018-06-28 15:54:23,2458298.163,null
2018-08-02 03:22:59,2458332.641,null
2018-08-02 05:09:44,2458332.715,null
2018-12-19 12:16:32,2458472.011,null
2018-12-19 16:30:18,2458472.188,null
2019-02-06 22:14:19,2458521.427,null
2019-02-07 00:00:30,2458521.500,null
2019-06-20 22:54:48,2458655.455,null
2019-06-21 00:41:33,2458655.529,null
2019-07-14 16:50:48,2458679.202,null
2019-08-11 13:19:50,2458707.055,null

