Gaia17aoa
#Date,JD,averagemag.
2015-01-13 15:13:21,2457036.134,null
2015-02-08 21:01:58,2457062.376,null
2015-03-21 07:56:46,2457102.831,null
2015-03-21 09:42:57,2457102.905,null
2015-03-31 08:03:13,2457112.836,null
2015-03-31 09:49:58,2457112.910,null
2015-05-17 06:23:26,2457159.766,null
2015-05-17 08:10:11,2457159.840,null
2015-05-29 06:29:20,2457171.770,null
2015-05-29 08:16:05,2457171.845,null
2015-08-08 05:06:26,2457242.713,null
2015-08-08 06:53:11,2457242.787,null
2015-09-05 10:58:41,2457270.957,null
2015-09-05 12:45:26,2457271.032,null
2015-10-30 18:29:15,2457326.270,null
2015-10-30 22:43:00,2457326.447,null
2015-10-31 00:29:10,2457326.520,null
2015-10-31 04:42:55,2457326.696,null
2015-10-31 06:29:41,2457326.771,null
2015-10-31 10:43:26,2457326.947,null
2015-11-11 16:52:46,2457338.203,null
2015-11-11 18:39:31,2457338.277,null
2015-11-11 22:52:42,2457338.453,null
2015-11-12 00:39:27,2457338.527,null
2015-11-12 04:53:12,2457338.704,null
2015-11-12 06:39:57,2457338.778,null
2015-12-27 22:32:47,2457384.439,null
2016-01-27 10:12:48,2457414.926,null
2016-01-27 11:59:33,2457415.000,null
2016-02-19 11:54:41,2457437.996,null
2016-04-02 14:52:04,2457481.119,null
2016-04-02 16:38:50,2457481.194,null
2016-04-09 08:58:10,2457487.874,null
2016-04-09 10:44:20,2457487.947,null
2016-04-09 14:58:05,2457488.124,null
2016-05-26 19:20:21,2457535.306,null
2016-05-26 21:07:06,2457535.380,null
2016-06-11 07:25:15,2457550.809,null
2016-07-20 06:30:52,2457589.771,null
2016-08-22 18:07:13,2457623.255,null
2016-09-16 12:08:49,2457648.006,null
2016-09-16 13:54:59,2457648.080,null
2016-09-16 18:08:43,2457648.256,null
2016-11-11 13:41:22,2457704.070,null
2016-11-11 17:55:08,2457704.247,null
2016-11-11 19:41:18,2457704.320,null
2016-11-11 23:55:03,2457704.497,null
2016-11-29 06:06:27,2457721.754,null
2016-11-29 07:52:38,2457721.828,null
2017-01-07 05:43:15,2457760.738,null
2017-03-01 00:34:09,2457813.524,18.96
2017-03-01 02:20:43,2457813.598,19.02
2017-04-15 05:09:36,2457858.715,null
2017-04-15 06:56:21,2457858.789,null
2017-04-15 11:10:06,2457858.965,null
2017-04-15 12:56:16,2457859.039,null
2017-04-19 23:13:53,2457863.468,null
2017-04-20 01:00:38,2457863.542,null
2017-04-20 05:13:48,2457863.718,null
2017-04-20 07:00:33,2457863.792,null
2017-04-20 11:14:18,2457863.968,null
2017-06-25 11:29:23,2457929.979,null
2017-07-31 22:46:55,2457966.449,null
2017-09-07 22:19:53,2458004.430,null
2017-09-08 02:33:38,2458004.607,null
2017-09-28 14:41:24,2458025.112,null
2017-09-28 16:28:09,2458025.186,null
2017-09-28 20:41:53,2458025.362,null
2017-09-28 22:28:03,2458025.436,null
2017-11-23 14:28:53,2458081.103,null
2017-11-23 16:15:38,2458081.178,null
2017-11-23 20:28:49,2458081.353,null
2017-12-15 14:36:26,2458103.109,null
2017-12-15 16:23:12,2458103.183,null
2018-01-18 08:14:56,2458136.844,null
2018-03-11 07:36:03,2458188.817,null
2018-03-11 09:22:48,2458188.891,null
2018-04-26 18:03:12,2458235.252,null
2018-04-26 19:49:57,2458235.326,null
2018-04-27 00:03:42,2458235.503,null
2018-04-27 01:50:27,2458235.577,null
2018-05-02 01:54:33,2458240.580,null
2018-05-02 06:08:18,2458240.756,null
2018-05-02 07:54:28,2458240.829,null
2018-05-02 12:08:13,2458241.006,null
2018-05-02 13:54:58,2458241.080,null
2018-06-17 06:30:51,2458286.771,null
2018-07-09 22:39:46,2458309.444,null
2018-07-10 00:25:56,2458309.518,null
2018-08-12 22:08:49,2458343.423,null
2018-09-25 11:28:34,2458386.978,null
2018-09-25 15:41:43,2458387.154,null
2018-09-25 17:28:28,2458387.228,null
2018-09-25 21:42:12,2458387.404,null
2018-10-10 21:52:27,2458402.411,null
2018-10-10 23:39:12,2458402.486,null
2018-10-11 03:52:57,2458402.662,null
2018-10-11 05:39:07,2458402.735,null
2018-10-11 09:52:51,2458402.912,null
2018-10-11 11:39:36,2458402.986,null
2018-12-05 05:26:15,2458457.727,null
2018-12-05 09:40:00,2458457.903,null
2019-01-29 05:10:02,2458512.715,null
2019-01-29 09:23:48,2458512.892,null
2019-03-08 02:28:29,2458550.603,null
2019-03-08 04:15:15,2458550.677,null
2019-03-21 10:21:34,2458563.932,null
2019-03-21 14:35:19,2458564.108,null
2019-05-07 06:56:58,2458610.790,null
2019-05-07 08:43:43,2458610.864,null
2019-05-15 14:49:28,2458619.118,null
2019-05-15 19:03:12,2458619.294,null
2019-06-28 11:47:57,2458662.992,null
2019-06-28 13:34:42,2458663.066,null
2019-08-02 07:53:37,2458697.829,null
2019-08-02 09:40:22,2458697.903,null
2019-09-11 05:49:34,2458737.743,null
2019-09-11 10:03:18,2458737.919,null
2019-09-24 16:22:03,2458751.182,null
2019-09-24 18:08:13,2458751.256,null

