Gaia17art
#Date,JD,averagemag.
2015-01-03 10:14:05,2457025.926,null
2015-01-03 12:00:50,2457026.001,null
2015-01-21 04:19:04,2457043.680,null
2015-01-21 06:05:50,2457043.754,null
2015-02-21 23:40:20,2457075.486,null
2015-07-02 22:18:00,2457206.429,null
2015-07-03 00:04:45,2457206.503,null
2015-07-03 04:18:29,2457206.680,null
2015-07-24 16:19:52,2457228.180,null
2015-08-25 09:55:09,2457259.913,null
2016-01-12 19:06:43,2457400.296,null
2016-01-12 23:19:54,2457400.472,null
2016-02-04 13:03:18,2457423.044,null
2016-03-03 12:51:21,2457451.036,null
2016-07-12 11:26:32,2457581.977,null
2016-08-08 07:02:40,2457608.794,null
2016-09-04 00:48:27,2457635.534,null
2017-01-21 18:28:06,2457775.270,null
2017-01-21 20:14:52,2457775.344,null
2017-02-18 01:38:01,2457802.568,null
2017-02-18 03:24:47,2457802.642,null
2017-03-13 19:38:07,2457826.318,18.88
2017-03-13 21:24:41,2457826.392,18.83
2017-07-23 07:57:39,2457957.832,null
2017-07-23 09:44:23,2457957.906,null
2017-08-23 13:33:43,2457989.065,null
2017-09-14 07:30:09,2458010.813,null
2017-09-14 09:16:19,2458010.886,null
2018-02-01 03:00:19,2458150.625,null
2018-02-01 04:47:04,2458150.699,null
2018-03-05 08:38:46,2458182.860,null
2018-03-05 10:25:32,2458182.934,null
2018-03-23 04:33:55,2458200.690,null
2018-03-23 08:47:41,2458200.866,null
2018-08-03 10:53:39,2458333.954,null
2018-09-07 16:15:04,2458369.177,null
2018-09-23 14:32:16,2458385.106,null
2018-09-23 16:19:00,2458385.180,null
2018-12-26 10:41:04,2458478.945,null
2018-12-26 12:27:49,2458479.019,null
2018-12-26 16:41:35,2458479.196,null
2019-01-06 12:35:50,2458490.025,null
2019-01-06 16:49:36,2458490.201,null
2019-01-06 18:35:47,2458490.275,null
2019-02-11 16:11:25,2458526.175,null
2019-03-23 15:45:02,2458566.156,null
2019-03-23 17:31:48,2458566.230,null
2019-03-23 21:45:34,2458566.407,null
2019-03-23 23:32:19,2458566.481,null
2019-03-24 03:45:30,2458566.657,null
2019-03-24 05:32:16,2458566.731,null
2019-03-24 09:46:02,2458566.907,null
2019-03-24 11:32:47,2458566.981,null
2019-03-24 17:32:44,2458567.231,null
2019-03-28 11:36:31,2458570.984,null
2019-03-28 15:50:17,2458571.160,null
2019-03-28 17:37:02,2458571.234,null
2019-03-28 21:50:48,2458571.410,null
2019-03-28 23:36:59,2458571.484,null
2019-03-29 03:50:45,2458571.660,null
2019-03-29 05:37:30,2458571.734,null
2019-03-29 09:51:16,2458571.911,null
2019-06-24 16:40:55,2458659.195,null
2019-06-24 18:27:40,2458659.269,null
2019-06-24 22:41:24,2458659.445,null
2019-06-25 00:28:08,2458659.520,null
2019-07-07 16:48:41,2458672.200,null
2019-07-07 18:35:26,2458672.275,null
2019-07-07 22:49:09,2458672.451,null
2019-08-16 13:31:45,2458712.064,null
2019-09-28 05:03:26,2458754.711,null
2019-09-28 11:03:20,2458754.961,null
2019-09-28 15:17:04,2458755.137,null
2019-09-28 17:03:48,2458755.211,null
2019-09-28 21:17:32,2458755.387,null
2019-09-28 23:03:42,2458755.461,null
2019-09-29 03:17:26,2458755.637,null
2019-09-29 05:04:10,2458755.711,null
2019-09-29 09:17:54,2458755.887,null
2019-09-29 11:04:39,2458755.962,null
2019-09-29 15:17:48,2458756.137,null
2019-09-29 17:04:32,2458756.211,null
2019-09-29 21:18:17,2458756.388,null
2019-09-29 23:05:01,2458756.462,null
2019-09-30 03:18:45,2458756.638,null
2019-09-30 05:04:55,2458756.712,null
2019-09-30 09:18:39,2458756.888,null
2019-09-30 11:05:23,2458756.962,null

