Gaia17ays
#Date,JD,averagemag.
2014-10-21 05:56:14,2456951.747,untrusted
2014-10-21 10:09:55,2456951.924,untrusted
2014-10-21 11:56:29,2456951.998,untrusted
2014-11-12 04:16:25,2456973.678,null
2014-11-12 06:03:01,2456973.752,19.75
2015-01-20 22:50:59,2457043.452,null
2015-01-21 03:04:45,2457043.628,null
2015-01-21 04:50:55,2457043.702,null
2015-01-30 10:57:35,2457052.957,untrusted
2015-01-30 15:11:16,2457053.133,19.68
2015-01-30 16:57:50,2457053.207,19.78
2015-05-07 06:00:16,2457149.750,null
2015-05-07 07:46:27,2457149.824,19.61
2015-05-31 01:38:35,2457173.568,19.74
2015-07-01 11:30:12,2457204.979,untrusted
2015-07-01 13:16:46,2457205.053,19.67
2015-11-01 01:07:50,2457327.547,null
2015-11-01 05:21:01,2457327.723,null
2015-11-27 01:04:29,2457353.545,19.72
2015-12-24 05:05:50,2457380.712,null
2016-05-17 01:04:46,2457525.545,untrusted
2016-05-17 02:51:20,2457525.619,19.73
2016-06-14 02:35:18,2457553.608,19.78
2016-06-14 06:49:07,2457553.784,null
2016-07-12 00:39:50,2457581.528,null
2016-07-12 02:26:35,2457581.602,null
2016-11-11 02:19:02,2457703.597,null
2016-11-11 06:32:48,2457703.773,null
2016-12-10 08:04:29,2457732.836,null
2017-01-02 12:12:37,2457756.009,null
2017-01-02 13:59:22,2457756.083,null
2017-04-08 04:28:55,2457851.687,19.30
2017-04-08 06:15:29,2457851.761,19.05
2017-04-08 10:29:09,2457851.937,19.19
2017-04-08 12:15:43,2457852.011,19.21
2017-04-17 04:34:51,2457860.691,19.41
2017-04-17 06:21:25,2457860.765,19.39
2017-05-28 05:20:15,2457901.722,19.25
2017-06-29 16:56:27,2457934.206,19.22
2017-06-29 21:10:06,2457934.382,19.25
2017-07-23 09:11:56,2457957.883,19.22
2017-07-23 10:58:30,2457957.957,19.19
2017-11-22 03:05:41,2458079.629,19.14
2017-11-22 04:52:16,2458079.703,19.15
2017-12-24 08:38:19,2458111.860,19.25
2017-12-24 10:24:54,2458111.934,19.32
2018-01-12 10:26:18,2458130.935,19.29
2018-01-12 14:39:59,2458131.111,19.41
2018-04-17 05:25:31,2458225.726,19.36
2018-04-17 07:12:04,2458225.800,19.35
2018-05-01 23:30:04,2458240.479,19.42
2018-05-02 01:16:38,2458240.553,19.41
2018-06-08 16:41:26,2458278.195,19.46
2018-06-08 18:28:00,2458278.269,19.43
2018-07-16 16:12:14,2458316.175,19.61
2018-07-16 17:58:48,2458316.249,19.68
2018-07-16 22:12:29,2458316.425,null
2018-08-02 22:21:15,2458333.431,null
2018-08-03 00:08:00,2458333.506,null
2018-08-03 04:21:44,2458333.682,null
2018-08-03 06:07:52,2458333.755,19.54
2018-10-11 12:14:54,2458403.010,19.34
2018-10-11 16:28:34,2458403.187,19.31
2018-10-11 18:15:09,2458403.261,19.42
2018-10-11 22:28:50,2458403.437,19.44
2018-10-26 22:39:34,2458418.444,19.31
2018-10-27 00:26:09,2458418.518,untrusted
2018-12-03 04:16:36,2458455.678,null
2019-01-07 03:35:40,2458490.650,null
2019-01-07 05:22:15,2458490.724,untrusted
2019-01-21 23:28:14,2458505.478,19.55
2019-01-22 03:41:59,2458505.654,null
2019-04-27 06:25:52,2458600.768,19.53
2019-05-16 14:11:42,2458620.091,null
2019-05-16 18:25:26,2458620.268,null
2019-06-20 05:50:11,2458654.743,null
2019-06-20 07:36:29,2458654.817,19.48
2019-07-25 13:21:13,2458690.056,19.64
2019-07-25 15:07:46,2458690.130,19.64
2019-10-31 01:40:02,2458787.569,19.40
2019-11-19 02:17:49,2458806.596,19.42
2019-11-19 04:04:44,2458806.670,null
2019-12-21 11:41:52,2458838.987,19.23
2019-12-21 15:55:33,2458839.164,19.31
2020-04-18 03:43:08,2458957.655,null
2020-04-18 07:56:17,2458957.831,19.67
2020-04-18 09:42:51,2458957.905,19.61
2020-05-11 02:32:51,2458980.606,19.52

