Gaia17ayy
#Date,JD,averagemag.
2014-11-15 01:33:15,2456976.565,null
2014-11-15 03:19:59,2456976.639,null
2015-05-04 22:28:35,2457147.437,null
2015-05-29 14:38:26,2457172.110,null
2015-05-29 16:25:12,2457172.184,null
2015-06-27 20:29:28,2457201.354,null
2015-06-27 22:15:38,2457201.428,null
2015-11-03 14:41:46,2457330.112,null
2015-11-03 16:28:31,2457330.186,null
2015-11-29 20:29:05,2457356.354,null
2015-12-24 22:00:43,2457381.417,null
2016-05-14 11:37:10,2457522.984,null
2016-05-14 15:50:22,2457523.160,null
2016-06-12 21:38:33,2457552.402,null
2016-06-12 23:25:18,2457552.476,null
2016-07-07 17:26:59,2457577.227,null
2016-07-07 21:40:45,2457577.403,null
2016-11-13 03:50:11,2457705.660,null
2016-11-13 05:36:56,2457705.734,null
2016-12-13 03:23:59,2457735.642,null
2016-12-13 05:10:08,2457735.715,null
2017-01-02 17:05:25,2457756.212,null
2017-04-09 08:52:06,2457852.870,18.49
2017-04-09 13:05:47,2457853.046,18.48
2017-04-09 14:52:22,2457853.120,18.49
2017-04-09 19:06:03,2457853.296,18.54
2017-04-09 20:52:38,2457853.370,18.51
2017-04-10 01:06:19,2457853.546,18.41
2017-04-10 02:52:53,2457853.620,18.53
2017-04-10 07:06:34,2457853.796,18.54
2017-04-10 08:53:08,2457853.870,18.58
2017-04-10 13:06:49,2457854.046,18.55
2017-04-10 14:53:24,2457854.120,18.56
2017-04-10 19:07:04,2457854.297,18.59
2017-04-11 01:07:20,2457854.547,18.56
2017-04-11 07:07:35,2457854.797,18.55
2017-04-11 08:54:09,2457854.871,18.62
2017-04-11 13:07:50,2457855.047,18.60
2017-04-11 14:54:25,2457855.121,18.66
2017-04-11 19:08:05,2457855.297,18.60
2017-04-11 20:54:40,2457855.371,18.65
2017-04-12 01:08:21,2457855.547,18.59
2017-04-12 02:54:55,2457855.621,18.64
2017-04-12 07:08:36,2457855.798,18.63
2017-04-12 08:55:11,2457855.872,18.70
2017-04-12 13:08:52,2457856.048,18.71
2017-04-12 14:55:27,2457856.122,18.69
2017-05-25 12:22:57,2457899.016,null
2017-05-25 14:09:28,2457899.090,20.45
2017-06-29 00:02:59,2457933.502,null
2017-06-29 01:49:44,2457933.576,null
2017-07-17 18:13:17,2457952.259,null
2017-07-17 19:59:27,2457952.333,null
2017-07-18 00:13:13,2457952.509,null
2017-11-23 20:08:05,2458081.339,null
2017-12-27 11:40:36,2458114.987,null
2018-01-11 23:43:36,2458130.489,null
2018-01-12 01:29:46,2458130.562,null
2018-04-15 21:47:50,2458224.408,null
2018-04-16 02:01:36,2458224.584,null
2018-04-29 14:09:34,2458238.090,null
2018-04-29 15:56:19,2458238.164,null
2018-06-05 15:20:36,2458275.139,null
2018-06-05 19:34:22,2458275.316,null
2018-07-18 19:11:35,2458318.300,null
2018-07-19 01:12:06,2458318.550,null
2018-07-19 02:58:52,2458318.624,null
2018-07-19 07:12:38,2458318.800,null
2018-07-19 08:58:48,2458318.874,null
2018-07-19 13:12:34,2458319.050,null
2018-07-19 14:59:19,2458319.125,null
2018-07-19 19:13:05,2458319.301,null
2018-07-19 20:59:16,2458319.374,null
2018-07-20 01:13:02,2458319.551,null
2018-07-20 02:59:47,2458319.625,null
2018-07-20 08:59:43,2458319.875,null
2018-07-20 15:00:15,2458320.125,null
2018-07-20 21:00:46,2458320.376,null
2018-07-22 03:01:38,2458321.626,null
2018-07-22 09:02:09,2458321.876,null
2018-07-22 15:02:05,2458322.126,null
2018-07-22 19:15:51,2458322.303,null
2018-07-22 21:02:36,2458322.377,null
2018-07-23 01:16:22,2458322.553,null
2018-07-23 03:02:33,2458322.627,null
2018-07-23 07:16:19,2458322.803,null
2018-07-23 09:03:04,2458322.877,null
2018-07-23 13:16:50,2458323.053,null
2018-07-23 15:03:00,2458323.127,null
2018-07-23 19:16:46,2458323.303,null
2018-07-23 21:03:31,2458323.377,null
2018-07-24 01:17:17,2458323.554,null
2018-10-15 19:55:32,2458407.330,null
2018-10-15 21:41:41,2458407.404,null
2018-10-30 03:48:54,2458421.659,null
2018-10-30 08:02:38,2458421.835,null
2018-10-30 09:49:23,2458421.909,null
2018-12-04 13:29:30,2458457.062,null
2019-01-11 08:21:41,2458494.848,null
2019-01-11 12:35:25,2458495.025,null
2019-01-11 14:22:10,2458495.099,null
2019-01-19 18:41:12,2458503.279,null
2019-01-19 20:27:22,2458503.352,null
2019-04-25 03:04:27,2458598.628,null
2019-04-25 04:50:38,2458598.702,null
2019-05-14 21:08:20,2458618.381,null
2019-06-16 22:32:35,2458651.439,null
2019-07-22 18:04:54,2458687.253,null
2019-07-22 22:18:40,2458687.430,null
2019-07-23 00:04:50,2458687.503,null
2019-07-23 04:18:36,2458687.680,null

