Gaia17bax
#Date,JD,averagemag.
2015-02-18 10:38:09,2457071.943,null
2015-02-18 14:51:56,2457072.119,null
2015-03-20 14:34:01,2457102.107,null
2015-03-20 16:20:47,2457102.181,null
2015-04-11 16:20:09,2457124.181,null
2015-04-11 20:33:20,2457124.356,null
2015-07-20 23:16:27,2457224.470,null
2015-07-21 01:03:11,2457224.544,null
2015-07-21 07:03:05,2457224.794,null
2015-07-27 19:07:59,2457231.297,null
2015-07-27 23:21:43,2457231.473,null
2015-07-28 01:08:27,2457231.548,null
2015-07-28 05:21:37,2457231.723,null
2015-09-07 18:10:17,2457273.257,null
2015-10-10 23:42:52,2457306.488,null
2015-10-11 03:56:01,2457306.664,null
2015-10-30 16:00:23,2457326.167,null
2015-10-30 17:47:08,2457326.241,null
2016-02-29 10:02:48,2457447.919,null
2016-04-03 03:32:26,2457481.648,null
2016-04-03 05:19:11,2457481.722,null
2016-04-20 15:37:49,2457499.151,null
2016-04-20 17:24:35,2457499.225,null
2016-07-28 06:12:47,2457597.759,null
2016-07-28 07:59:31,2457597.833,null
2016-08-12 00:17:30,2457612.512,null
2016-08-12 02:04:15,2457612.586,null
2016-09-17 23:32:08,2457649.481,null
2016-10-27 12:45:30,2457689.032,null
2016-10-27 16:59:14,2457689.208,null
2016-10-27 18:45:59,2457689.282,null
2016-10-27 22:59:43,2457689.458,null
2016-10-28 00:45:52,2457689.532,null
2016-11-06 05:06:22,2457698.713,null
2016-11-06 06:52:32,2457698.786,null
2016-11-06 11:06:16,2457698.963,null
2016-11-06 12:53:01,2457699.037,null
2016-11-06 17:06:45,2457699.213,null
2016-11-06 18:53:29,2457699.287,null
2017-01-19 13:13:29,2457773.051,null
2017-01-19 17:27:15,2457773.227,null
2017-01-19 19:13:25,2457773.301,null
2017-01-19 23:27:11,2457773.477,null
2017-02-03 11:37:06,2457787.984,null
2017-02-03 13:23:52,2457788.058,null
2017-03-11 06:35:58,2457823.775,null
2017-04-17 23:52:48,2457861.495,18.66
2017-04-18 01:39:23,2457861.569,18.67
2017-04-29 18:01:07,2457873.251,null
2017-04-29 19:47:52,2457873.325,null
2017-08-06 22:22:43,2457972.432,null
2017-08-26 22:21:26,2457992.432,untrusted
2017-09-29 02:03:06,2458025.585,null
2017-09-29 03:49:16,2458025.659,null
2018-01-28 19:58:41,2458147.332,null
2018-01-28 21:44:52,2458147.406,null
2018-03-22 01:46:01,2458199.574,19.42
2018-08-17 09:39:52,2458347.903,null
2018-09-10 21:30:29,2458372.396,null
2018-10-10 03:11:55,2458401.633,null
2018-10-10 04:58:39,2458401.707,null
2019-02-08 03:09:28,2458522.632,null
2019-02-08 04:55:38,2458522.705,null
2019-03-06 09:03:52,2458548.878,null
2019-03-06 10:50:38,2458548.952,null
2019-04-01 14:54:54,2458575.121,null
2019-04-01 16:41:40,2458575.196,null
2019-08-12 20:27:29,2458708.352,null
2019-08-12 22:13:38,2458708.426,null
2019-09-09 11:11:12,2458735.966,null

