Gaia17bba
#Date,JD,averagemag.
2014-07-28 17:50:28,2456867.243,null
2014-07-28 19:37:12,2456867.318,null
2014-07-28 23:50:57,2456867.494,null
2014-07-29 01:37:06,2456867.567,null
2014-07-29 05:50:50,2456867.744,null
2014-07-29 07:37:35,2456867.818,null
2014-07-29 11:51:19,2456867.994,null
2014-07-29 13:37:29,2456868.068,null
2014-11-09 22:09:40,2456971.423,null
2014-11-09 23:55:50,2456971.497,null
2015-01-18 09:01:37,2457040.876,null
2015-01-18 10:48:23,2457040.950,null
2015-02-01 21:07:50,2457055.380,null
2015-02-01 22:54:36,2457055.455,null
2015-05-09 00:06:46,2457151.505,null
2015-05-09 01:53:31,2457151.579,null
2015-05-31 18:01:04,2457174.251,null
2015-08-22 18:56:49,2457257.289,null
2015-08-23 00:56:43,2457257.539,null
2015-08-23 05:10:28,2457257.716,null
2015-08-23 06:57:12,2457257.790,null
2015-08-23 11:10:57,2457257.966,null
2015-08-23 12:57:07,2457258.040,null
2015-08-23 17:10:52,2457258.216,null
2015-08-23 18:57:36,2457258.290,null
2015-08-23 23:11:21,2457258.466,null
2015-08-24 00:57:31,2457258.540,null
2015-08-24 05:11:15,2457258.716,null
2015-08-24 06:58:00,2457258.790,null
2015-08-24 11:11:45,2457258.966,null
2015-08-24 12:57:55,2457259.040,null
2015-08-24 17:11:39,2457259.216,null
2015-08-24 18:58:24,2457259.291,null
2015-08-24 23:12:09,2457259.467,null
2015-08-25 00:58:19,2457259.540,null
2015-08-25 05:12:03,2457259.717,null
2015-08-25 06:58:48,2457259.791,null
2015-08-25 11:12:33,2457259.967,null
2015-08-25 12:59:18,2457260.041,null
2015-08-25 17:12:27,2457260.217,null
2015-08-25 18:59:12,2457260.291,null
2015-08-25 23:12:57,2457260.467,null
2015-08-26 00:59:42,2457260.541,null
2015-08-26 05:13:26,2457260.718,null
2015-08-26 06:59:36,2457260.791,null
2015-08-26 11:13:21,2457260.968,null
2015-08-26 13:00:06,2457261.042,null
2015-08-26 17:13:50,2457261.218,null
2015-08-26 19:00:00,2457261.292,null
2015-08-26 23:13:45,2457261.468,null
2015-08-27 01:00:30,2457261.542,null
2015-08-27 05:14:15,2457261.718,null
2015-08-27 07:00:24,2457261.792,null
2015-08-27 11:14:09,2457261.968,null
2015-08-27 13:00:54,2457262.042,null
2015-08-27 17:14:39,2457262.219,null
2015-08-27 19:00:49,2457262.292,null
2015-08-27 23:14:33,2457262.468,null
2015-08-28 01:01:18,2457262.543,null
2015-08-28 05:15:03,2457262.719,null
2015-08-28 07:01:48,2457262.793,null
2015-08-28 11:14:57,2457262.969,null
2015-08-28 13:01:42,2457263.043,null
2015-08-28 19:02:12,2457263.293,null
2015-10-30 17:12:32,2457326.217,null
2015-10-30 18:59:17,2457326.291,null
2015-11-25 05:12:47,2457351.717,null
2015-12-24 04:56:53,2457380.706,null
2016-01-31 21:58:30,2457419.416,null
2016-01-31 23:44:41,2457419.489,null
2016-02-11 05:51:49,2457429.744,null
2016-02-11 10:05:34,2457429.921,null
2016-02-11 11:52:20,2457429.995,null
2016-03-30 08:21:25,2457477.848,null
2016-03-30 14:21:19,2457478.098,null
2016-03-30 16:08:04,2457478.172,null
2016-03-30 20:21:49,2457478.348,null
2016-03-30 22:08:34,2457478.423,null
2016-04-04 10:12:08,2457482.925,null
2016-04-04 14:25:53,2457483.101,null
2016-04-04 16:12:03,2457483.175,null
2016-04-04 20:25:47,2457483.351,null
2016-06-14 08:44:45,2457553.864,null
2016-06-14 12:57:54,2457554.040,null
2016-07-14 18:42:30,2457584.280,null
2016-07-14 20:29:14,2457584.354,null
2016-11-10 02:10:14,2457702.590,null
2016-11-10 06:24:00,2457702.767,null
2016-12-08 12:13:22,2457731.009,null
2016-12-08 14:00:07,2457731.083,null
2017-01-02 18:04:07,2457756.253,null
2017-01-02 19:50:53,2457756.327,null
2017-02-13 18:17:20,2457798.262,null
2017-02-13 20:04:05,2457798.336,null
2017-02-14 00:17:15,2457798.512,null
2017-02-14 02:04:01,2457798.586,null
2017-02-19 02:08:24,2457803.589,null
2017-02-19 06:22:09,2457803.765,null
2017-02-19 08:08:54,2457803.840,null
2017-02-19 12:22:40,2457804.016,null
2017-04-08 16:37:38,2457852.193,null
2017-04-08 18:23:48,2457852.267,null
2017-04-18 22:43:16,2457862.447,18.93
2017-04-19 00:29:50,2457862.521,18.92
