Gaia17bct
#Date,JD,averagemag.
2014-11-20 12:42:12,2456982.029,null
2014-11-20 14:28:21,2456982.103,null
2014-11-29 20:33:59,2456991.357,null
2014-11-30 00:47:43,2456991.533,null
2014-11-30 02:34:28,2456991.607,null
2015-03-04 21:46:29,2457086.407,null
2015-03-04 23:33:14,2457086.481,null
2015-03-29 03:41:04,2457110.654,null
2015-03-29 05:27:14,2457110.727,null
2015-04-28 03:28:31,2457140.645,null
2015-04-28 05:14:42,2457140.719,null
2015-08-28 17:04:52,2457263.212,null
2015-08-28 21:18:01,2457263.388,null
2015-09-25 22:53:38,2457291.454,null
2015-10-22 20:51:22,2457318.369,null
2015-12-06 03:24:54,2457362.642,null
2015-12-06 09:24:48,2457362.892,null
2015-12-06 15:25:17,2457363.143,null
2015-12-06 21:25:47,2457363.393,null
2015-12-07 03:25:41,2457363.643,null
2016-01-27 05:50:57,2457414.744,null
2016-01-27 07:37:42,2457414.818,null
2016-01-27 11:51:28,2457414.994,null
2016-01-27 13:37:38,2457415.068,null
2016-02-01 11:55:55,2457419.997,null
2016-02-01 13:42:40,2457420.071,null
2016-02-01 17:55:51,2457420.247,null
2016-02-01 19:42:36,2457420.321,null
2016-03-14 12:39:55,2457462.028,null
2016-04-11 22:41:02,2457490.445,null
2016-04-12 00:27:48,2457490.519,null
2016-05-08 12:26:19,2457517.018,null
2016-05-08 16:40:05,2457517.195,null
2016-09-08 06:14:14,2457639.760,null
2016-10-09 11:49:50,2457670.993,null
2016-11-01 09:55:18,2457693.913,null
2017-02-03 14:32:15,2457788.106,null
2017-02-03 18:46:01,2457788.282,null
2017-02-15 02:15:51,2457799.594,null
2017-02-15 04:02:02,2457799.668,null
2017-03-25 09:11:11,2457837.883,null
2017-04-27 07:05:54,2457870.796,18.66
2017-04-27 08:52:29,2457870.870,18.70
2017-05-19 21:00:00,2457893.375,19.78
2017-05-20 01:13:41,2457893.551,untrusted
2017-05-20 03:00:15,2457893.625,19.75
2017-07-28 01:19:11,2457962.555,null
2017-07-28 03:05:56,2457962.629,null
2017-07-28 07:19:41,2457962.805,null
2017-07-28 09:05:50,2457962.879,null
2017-07-28 13:19:35,2457963.055,null
2017-07-28 15:06:20,2457963.129,null
2017-07-28 19:20:04,2457963.306,null
2017-07-28 21:06:49,2457963.380,null
2017-07-29 03:06:43,2457963.630,null
2017-08-05 15:13:08,2457971.134,null
2017-08-05 19:26:17,2457971.310,null
2017-08-05 21:13:02,2457971.384,null
2017-08-06 01:26:46,2457971.560,null
2017-08-06 03:13:31,2457971.634,null
2017-08-06 07:27:15,2457971.811,null
2017-09-19 18:59:00,2458016.291,null
2017-09-19 20:45:09,2458016.365,null
2017-10-23 18:21:07,2458050.265,null
2017-11-11 12:20:03,2458069.014,null
2017-11-11 14:06:48,2458069.088,null
2018-02-12 22:54:09,2458162.454,null
2018-02-13 03:07:55,2458162.630,null
2018-03-01 03:12:47,2458178.634,null
2018-03-01 04:59:32,2458178.708,null
2018-04-05 14:34:30,2458214.107,null
2018-04-05 16:21:16,2458214.181,null
2018-05-14 08:12:40,2458252.842,null
2018-05-14 09:59:26,2458252.916,null
2018-05-14 14:13:11,2458253.092,null
2018-05-14 15:59:22,2458253.166,null
2018-05-30 10:10:58,2458268.924,null
2018-05-30 14:24:44,2458269.101,null
2018-05-30 16:10:54,2458269.174,null
2018-05-30 20:24:40,2458269.350,null
2018-08-06 08:27:35,2458336.852,null
2018-08-06 10:13:45,2458336.926,null
2018-08-06 14:27:29,2458337.102,null
2018-08-06 16:14:14,2458337.177,null
2018-08-25 16:22:10,2458356.182,null
2018-08-25 20:35:19,2458356.358,null
2018-10-01 02:06:35,2458392.588,null
2018-10-01 03:53:19,2458392.662,null
2018-11-06 19:16:00,2458429.303,null
2018-11-21 03:06:08,2458443.629,null
2019-02-22 22:09:55,2458537.424,null
2019-03-15 04:10:29,2458557.674,null
2019-03-15 05:57:14,2458557.748,null
2019-04-16 21:45:44,2458590.407,null
2019-04-16 23:31:54,2458590.480,null
2019-08-28 07:55:27,2458723.830,null
2019-09-18 14:35:10,2458745.108,null

