Gaia17bei
#Date,JD,averagemag.
2014-08-23 10:26:38,2456892.935,null
2014-11-09 00:01:27,2456970.501,null
2014-11-09 01:48:12,2456970.575,null
2014-11-29 11:59:25,2456991.000,null
2014-11-29 13:45:35,2456991.073,null
2015-01-04 00:58:46,2457026.541,null
2015-02-01 16:56:23,2457055.206,null
2015-02-01 18:43:08,2457055.280,null
2015-03-04 00:29:05,2457085.520,null
2015-03-04 04:42:50,2457085.696,null
2015-04-11 04:19:08,2457123.680,null
2015-04-11 06:05:53,2457123.754,null
2015-06-15 09:52:41,2457188.912,null
2015-06-15 11:38:50,2457188.985,null
2015-07-20 05:08:32,2457223.714,null
2015-08-15 03:12:25,2457249.634,null
2015-09-23 09:56:24,2457288.914,null
2015-10-12 14:10:39,2457308.091,null
2015-11-20 13:02:58,2457347.044,null
2015-12-12 06:58:24,2457368.791,null
2015-12-12 08:45:09,2457368.865,null
2016-01-15 18:18:23,2457403.263,null
2016-02-15 11:59:46,2457434.000,null
2016-02-15 13:46:32,2457434.074,null
2016-03-15 23:50:56,2457463.494,null
2016-03-16 01:37:42,2457463.568,null
2016-04-23 23:27:38,2457502.478,null
2016-04-24 01:14:22,2457502.552,null
2016-05-24 01:06:32,2457532.546,null
2016-05-24 05:20:16,2457532.722,null
2016-08-02 04:22:00,2457602.682,null
2016-10-04 21:08:36,2457666.381,null
2016-10-23 15:09:24,2457685.132,null
2016-10-23 16:55:34,2457685.205,null
2016-11-30 21:52:00,2457723.411,null
2017-01-26 13:25:21,2457780.059,null
2017-02-28 08:27:04,2457812.852,null
2017-02-28 10:13:50,2457812.926,null
2017-03-29 08:21:35,2457841.848,null
2017-03-29 10:08:20,2457841.922,null
2017-05-07 13:58:02,2457881.082,15.23
2017-05-07 15:44:36,2457881.156,15.24
2017-07-09 13:27:25,2457944.061,17.78
2017-07-09 15:13:59,2457944.135,17.76
2017-08-15 18:43:32,2457981.280,null
2017-09-07 00:39:22,2458003.527,null
2017-09-07 02:25:29,2458003.601,19.22
2017-10-16 19:16:25,2458043.303,19.93
2017-10-16 23:30:05,2458043.479,19.91
2017-12-12 10:31:31,2458099.939,null
2018-01-06 06:07:49,2458124.755,null
2018-02-07 11:41:52,2458156.987,null
2018-03-14 09:33:05,2458191.898,null
2018-03-14 11:19:50,2458191.972,null
2018-04-12 03:29:39,2458220.646,null
2018-04-12 05:16:24,2458220.720,null
2018-05-20 21:06:06,2458259.379,null
2018-06-22 02:49:17,2458291.618,null
2018-06-22 04:35:27,2458291.691,null
2018-08-29 01:41:51,2458359.571,null
2018-09-18 21:26:20,2458380.393,null
2018-10-28 14:16:24,2458420.095,null
2018-10-28 18:30:09,2458420.271,null
2018-11-17 06:28:48,2458439.770,null
2018-11-17 08:15:34,2458439.844,null
2018-12-23 19:21:51,2458476.307,null
2019-01-19 13:09:08,2458503.048,null
2019-02-19 18:49:45,2458534.285,null
2019-03-28 12:26:51,2458571.019,null
2019-04-26 06:23:38,2458599.766,null
2019-04-26 10:37:23,2458599.943,null
2019-06-02 22:13:52,2458637.426,null
2019-07-06 09:50:34,2458670.910,null
2019-07-06 11:37:19,2458670.984,null
2019-07-23 05:36:40,2458687.734,null
2019-07-23 07:22:50,2458687.808,null
2019-08-25 02:43:07,2458720.613,null

