Gaia17bhx
#Date,JD,averagemag.
2014-08-30 22:45:34,2456900.448,null
2014-10-05 01:41:24,2456935.570,untrusted
2014-10-05 03:27:58,2456935.644,untrusted
2014-11-20 07:58:52,2456981.833,null
2014-11-20 12:12:37,2456982.009,null
2014-11-20 13:59:22,2456982.083,null
2014-11-20 18:13:07,2456982.259,null
2014-11-20 19:59:52,2456982.333,null
2014-11-21 00:13:02,2456982.509,null
2014-11-21 01:59:47,2456982.583,null
2014-11-21 06:13:32,2456982.759,null
2014-11-21 08:00:17,2456982.834,null
2014-11-21 12:14:02,2456983.010,null
2014-11-21 14:00:12,2456983.083,null
2014-11-21 18:13:57,2456983.260,null
2014-11-21 20:00:42,2456983.334,null
2014-11-22 00:14:27,2456983.510,null
2014-11-22 02:00:37,2456983.584,null
2014-11-22 06:14:22,2456983.760,null
2014-11-22 08:01:07,2456983.834,null
2014-11-22 14:01:02,2456984.084,null
2015-01-07 16:43:33,2457030.197,null
2015-01-25 00:32:58,2457047.523,null
2015-02-28 16:07:46,2457082.172,null
2015-04-06 09:46:05,2457118.907,null
2015-04-06 11:32:50,2457118.981,null
2015-04-26 09:56:59,2457138.915,null
2015-04-26 11:43:10,2457138.988,null
2015-04-26 15:56:55,2457139.165,null
2015-04-26 17:43:40,2457139.239,null
2015-06-25 03:47:27,2457198.658,null
2015-06-25 05:34:12,2457198.732,null
2015-07-17 11:41:03,2457220.987,null
2015-07-17 15:54:48,2457221.163,null
2015-08-22 21:28:15,2457257.395,null
2015-08-22 23:14:59,2457257.469,null
2015-09-28 20:39:34,2457294.361,19.29
2015-10-15 10:28:24,2457310.936,null
2015-12-01 02:51:33,2457357.619,null
2015-12-01 07:05:19,2457357.795,null
2015-12-01 08:52:04,2457357.869,null
2015-12-01 13:05:49,2457358.046,null
2015-12-01 14:52:02,2457358.119,20.90
2015-12-01 19:05:42,2457358.296,untrusted
2015-12-01 20:52:29,2457358.370,null
2015-12-02 01:06:14,2457358.546,null
2015-12-02 02:52:59,2457358.620,null
2015-12-02 07:06:09,2457358.796,null
2015-12-02 13:06:40,2457359.046,null
2015-12-02 19:07:10,2457359.297,null
2015-12-03 01:07:05,2457359.547,null
2015-12-03 07:07:35,2457359.797,null
2015-12-03 08:53:45,2457359.871,null
2015-12-03 13:07:30,2457360.047,null
2015-12-03 14:54:16,2457360.121,null
2015-12-03 19:08:01,2457360.297,null
2015-12-03 20:54:09,2457360.371,untrusted
2015-12-04 01:07:56,2457360.547,null
2015-12-04 02:54:24,2457360.621,untrusted
2015-12-04 07:08:26,2457360.798,null
2015-12-04 08:55:11,2457360.872,null
2016-01-17 19:32:09,2457405.314,null
2016-03-10 23:17:43,2457458.471,null
2016-03-11 01:04:29,2457458.545,null
2016-04-23 04:56:47,2457501.706,null
2016-04-23 10:57:18,2457501.956,null
2016-04-23 12:43:28,2457502.030,null
2016-04-23 16:57:13,2457502.206,null
2016-04-23 18:43:59,2457502.281,null
2016-05-07 06:54:36,2457515.788,null
2016-05-07 11:08:21,2457515.964,null
2016-05-07 12:55:06,2457516.038,null
2016-05-07 17:08:52,2457516.214,null
2016-05-07 18:55:02,2457516.288,null
2016-05-07 23:08:47,2457516.464,null
2016-07-06 10:58:09,2457575.957,null
2016-07-06 12:44:53,2457576.031,null
2016-08-01 16:57:10,2457602.206,null
2016-08-01 18:43:20,2457602.280,null
2016-09-02 10:35:15,2457633.941,null
2016-09-02 12:22:00,2457634.015,null
2016-10-11 15:34:56,2457673.149,null
2016-10-11 17:21:41,2457673.223,null
