Gaia17bkj
#Date,JD,averagemag.
2014-08-26 11:20:11,2456895.972,null
2014-08-26 13:06:55,2456896.046,null
2015-02-15 22:05:16,2457069.420,null
2015-02-15 23:52:01,2457069.494,null
2015-06-28 10:33:07,2457201.940,null
2015-06-28 12:19:51,2457202.014,null
2015-07-30 10:07:00,2457233.922,null
2015-07-30 11:53:45,2457233.996,null
2015-08-20 05:52:23,2457254.745,null
2016-01-07 01:14:48,2457394.552,null
2016-02-08 17:04:45,2457427.212,null
2016-02-08 18:50:55,2457427.285,null
2016-02-24 18:59:44,2457443.291,null
2016-02-24 23:13:30,2457443.468,null
2016-08-14 00:48:42,2457614.534,null
2016-08-14 05:02:26,2457614.710,null
2016-08-28 05:07:51,2457628.714,null
2016-08-28 06:54:36,2457628.788,null
2016-11-30 14:52:59,2457723.120,null
2016-11-30 19:06:45,2457723.296,null
2016-11-30 20:53:31,2457723.370,null
2016-12-11 19:14:49,2457734.302,null
2016-12-11 21:01:35,2457734.376,null
2017-01-16 12:39:10,2457770.027,null
2017-05-29 20:39:34,2457903.361,18.81
2017-05-29 22:26:08,2457903.435,18.80
2017-06-12 22:33:09,2457917.440,19.32
2017-06-13 02:46:47,2457917.616,19.39
2017-06-13 04:33:21,2457917.690,19.31
2017-07-19 20:13:21,2457954.343,20.54
2017-12-08 17:17:51,2458096.221,null
2017-12-08 21:31:37,2458096.397,null
2017-12-26 21:36:04,2458114.400,null
2017-12-26 23:22:50,2458114.474,null
2018-01-26 22:59:22,2458145.458,null
2018-06-07 15:45:15,2458277.156,null
2018-06-07 17:32:00,2458277.231,null
2018-06-29 17:31:52,2458299.230,null
2018-12-18 04:38:09,2458470.693,null
2019-02-06 06:10:30,2458520.757,null
2019-06-17 22:53:16,2458652.454,null
2019-06-18 00:40:01,2458652.528,null
2019-07-15 06:27:18,2458679.769,null
2019-08-10 19:08:34,2458706.298,null
2019-08-10 20:55:19,2458706.372,null

