Gaia17bon
#Date,JD,averagemag.
2014-08-26 05:36:35,2456895.734,null
2014-08-26 07:22:45,2456895.807,null
2014-08-26 11:36:29,2456895.984,null
2014-08-26 13:23:13,2456896.058,null
2015-01-22 15:48:02,2457045.158,null
2015-02-11 15:50:28,2457065.160,null
2015-02-11 17:37:13,2457065.234,null
2015-06-30 16:48:59,2457204.201,null
2015-06-30 18:35:43,2457204.275,null
2015-08-03 12:05:12,2457238.004,null
2015-08-21 10:22:32,2457255.932,null
2015-08-21 12:09:16,2457256.006,null
2016-01-03 17:16:24,2457391.220,null
2016-02-06 16:47:08,2457425.199,null
2016-02-06 18:33:19,2457425.273,null
2016-02-20 00:42:09,2457438.529,null
2016-02-20 04:55:55,2457438.705,null
2016-05-24 06:35:10,2457532.774,null
2016-05-24 08:21:54,2457532.849,null
2016-05-24 12:35:38,2457533.025,null
2016-05-24 14:21:48,2457533.098,null
2016-05-24 18:35:32,2457533.275,null
2016-05-24 20:22:16,2457533.349,null
2016-05-30 20:26:38,2457539.352,null
2016-05-31 00:40:22,2457539.528,null
2016-05-31 02:27:07,2457539.602,null
2016-05-31 06:40:16,2457539.778,null
2016-07-10 17:58:08,2457580.249,null
2016-07-10 19:44:17,2457580.322,null
2016-08-20 11:18:13,2457620.971,null
2016-08-20 13:04:58,2457621.045,null
2016-08-20 17:18:06,2457621.221,null
2016-08-20 19:04:51,2457621.295,null
2016-08-20 23:18:35,2457621.471,null
2016-08-26 11:22:35,2457626.974,null
2016-08-26 13:09:20,2457627.048,null
2016-08-26 17:23:04,2457627.224,null
2016-08-26 19:09:48,2457627.298,null
2016-08-26 23:22:57,2457627.474,null
2016-08-27 01:09:42,2457627.548,null
2016-11-27 02:34:16,2457719.607,null
2016-11-27 06:48:02,2457719.783,null
2016-11-27 08:34:12,2457719.857,null
2016-12-09 00:56:34,2457731.539,null
2016-12-09 02:43:19,2457731.613,null
2017-01-13 00:27:37,2457766.519,null
2017-01-13 02:13:48,2457766.593,null
2017-05-31 04:43:54,2457904.697,null
2017-05-31 08:57:37,2457904.873,null
2017-05-31 10:44:22,2457904.947,null
2017-06-17 16:47:33,2457922.200,18.48
2017-06-17 21:01:12,2457922.376,18.42
2017-07-21 20:29:12,2457956.354,18.19
2017-07-21 22:15:45,2457956.428,18.18
2017-12-05 03:14:49,2458092.635,18.82
2017-12-05 05:01:24,2458092.709,18.86
2017-12-24 15:19:12,2458112.138,18.98
2017-12-24 17:05:47,2458112.212,18.94
2018-01-23 09:00:45,2458141.876,19.15
2018-01-23 10:47:20,2458141.950,19.16
2018-06-09 16:02:36,2458279.168,null
2018-06-09 17:48:45,2458279.242,null
2018-07-03 11:43:31,2458302.989,null
2018-08-01 17:24:26,2458332.225,null
2018-12-14 12:09:49,2458467.007,null
2018-12-14 16:23:35,2458467.183,null
2019-02-02 10:11:09,2458516.924,null
2019-02-02 11:57:55,2458516.999,null
2019-06-20 05:09:49,2458654.715,null
2019-06-20 06:56:33,2458654.789,null
2019-08-06 19:14:25,2458702.302,null

